Fol_.14_.txt     Output is probe cell, reduced cell, NCDist distance between
0    1356.21201 2962.35457 1224.89234 -7086.51121 -3191.39211 -7617.38565       (-179.486,-142.055) (-61.811,-57.495) (-417.157,-73.825)      0
1    1354.78054 2959.20959 1223.60867 -7079.83518 -3188.33972 -7609.82252       (-181.633,-143.258) (-60.600,-56.893) (-418.178,-74.279)      3.0227
2    1353.34907 2956.06460 1222.32499 -7073.15915 -3185.28733 -7602.25938       (-183.780,-144.462) (-59.390,-56.291) (-419.200,-74.733)      6.0454
3    1351.91760 2952.91962 1221.04132 -7066.48312 -3182.23494 -7594.69624       (-185.927,-145.666) (-58.179,-55.689) (-420.221,-75.187)      9.06811
4    1350.48613 2949.77463 1219.75765 -7059.80708 -3179.18255 -7587.13310       (-188.074,-146.869) (-56.968,-55.088) (-421.242,-75.641)      12.0908
5    1349.05466 2946.62965 1218.47398 -7053.13105 -3176.13016 -7579.56997       (-190.221,-148.073) (-55.757,-54.486) (-422.264,-76.095)      15.1135
6    1347.62320 2943.48466 1217.19031 -7046.45502 -3173.07777 -7572.00683       (-192.369,-149.277) (-54.546,-53.884) (-423.285,-76.549)      18.1362
7    1346.19173 2940.33967 1215.90664 -7039.77899 -3170.02538 -7564.44369       (-194.516,-150.481) (-53.335,-53.283) (-424.307,-77.002)      21.1589
8    1344.76026 2937.19469 1214.62297 -7033.10296 -3166.97299 -7556.88055       (-196.663,-151.684) (-52.124,-52.681) (-425.328,-77.456)      24.1816
9    1343.32879 2934.04970 1213.33930 -7026.42693 -3163.92060 -7549.31742       (-198.810,-152.888) (-50.914,-52.079) (-426.349,-77.910)      27.2043
10    1341.89732 2930.90472 1212.05563 -7019.75090 -3160.86821 -7541.75428       (-200.957,-154.092) (-49.703,-51.478) (-427.371,-78.364)      30.227
11    1340.46585 2927.75973 1210.77196 -7013.07487 -3157.81582 -7534.19114       (-203.104,-155.295) (-48.492,-50.876) (-428.392,-78.818)      33.2497
12    1339.03438 2924.61475 1209.48829 -7006.39884 -3154.76343 -7526.62800       (-205.251,-156.499) (-47.281,-50.274) (-429.414,-79.272)      36.2724
13    1337.60292 2921.46976 1208.20462 -6999.72281 -3151.71104 -7519.06487       (-207.399,-157.703) (-46.070,-49.672) (-430.435,-79.726)      39.2951
14    1336.17145 2918.32478 1206.92095 -6993.04678 -3148.65865 -7511.50173       (-209.546,-158.907) (-44.859,-49.071) (-431.457,-80.180)      42.3178
15    1334.73998 2915.17979 1205.63728 -6986.37075 -3145.60626 -7503.93859       (-211.693,-160.110) (-43.648,-48.469) (-432.478,-80.634)      45.3405
16    1333.30851 2912.03481 1204.35361 -6979.69472 -3142.55387 -7496.37545       (-213.840,-161.314) (-42.437,-47.867) (-433.499,-81.088)      48.3632
17    1331.87704 2908.88982 1203.06994 -6973.01869 -3139.50148 -7488.81232       (-215.987,-162.518) (-41.227,-47.266) (-434.521,-81.541)      51.3859
18    1330.44557 2905.74484 1201.78627 -6966.34266 -3136.44909 -7481.24918       (-218.134,-163.721) (-40.016,-46.664) (-435.542,-81.995)      54.4086
19    1329.01410 2902.59985 1200.50260 -6959.66663 -3133.39670 -7473.68604       (-220.282,-164.925) (-38.805,-46.062) (-436.564,-82.449)      57.4313
20    1327.58264 2899.45487 1199.21893 -6952.99060 -3130.34431 -7466.12290       (-222.429,-166.129) (-37.594,-45.461) (-437.585,-82.903)      60.454
21    1326.15117 2896.30988 1197.93525 -6946.31457 -3127.29192 -7458.55977       (-224.576,-167.332) (-36.383,-44.859) (-438.606,-83.357)      63.4767
22    1324.71970 2893.16490 1196.65158 -6939.63854 -3124.23953 -7450.99663       (-226.723,-168.536) (-35.172,-44.257) (-439.628,-83.811)      66.4995
23    1323.28823 2890.01991 1195.36791 -6932.96251 -3121.18714 -7443.43349       (-228.870,-169.740) (-33.961,-43.656) (-440.649,-84.265)      69.5222
24    1321.85676 2886.87493 1194.08424 -6926.28648 -3118.13475 -7435.87035       (-231.017,-170.944) (-32.751,-43.054) (-441.671,-84.719)      72.5449
25    1320.42529 2883.72994 1192.80057 -6919.61044 -3115.08236 -7428.30722       (-233.164,-172.147) (-31.540,-42.452) (-442.692,-85.173)      75.5676
26    1318.99382 2880.58496 1191.51690 -6912.93441 -3112.02997 -7420.74408       (-235.312,-173.351) (-30.329,-41.850) (-443.713,-85.627)      78.5903
27    1317.56235 2877.43997 1190.23323 -6906.25838 -3108.97758 -7413.18094       (-237.459,-174.555) (-29.118,-41.249) (-444.735,-86.080)      81.613
28    1316.13089 2874.29499 1188.94956 -6899.58235 -3105.92519 -7405.61780       (-239.606,-175.758) (-27.907,-40.647) (-445.756,-86.534)      84.6357
29    1314.69942 2871.15000 1187.66589 -6892.90632 -3102.87280 -7398.05467       (-241.753,-176.962) (-26.696,-40.045) (-446.778,-86.988)      87.6584
30    1313.26795 2868.00502 1186.38222 -6886.23029 -3099.82041 -7390.49153       (-243.900,-178.166) (-25.485,-39.444) (-447.799,-87.442)      90.6811
31    1311.83648 2864.86003 1185.09855 -6879.55426 -3096.76802 -7382.92839       (-246.047,-179.370) (-24.275,-38.842) (-448.821,-87.896)      93.7038
32    1310.40501 2861.71505 1183.81488 -6872.87823 -3093.71563 -7375.36525       (-248.195,-180.573) (-23.064,-38.240) (-449.842,-88.350)      96.7265
33    1308.97354 2858.57006 1182.53121 -6866.20220 -3090.66324 -7367.80212       (-250.342,-181.777) (-21.853,-37.639) (-450.863,-88.804)      99.7492
34    1307.54207 2855.42507 1181.24754 -6859.52617 -3087.61085 -7360.23898       (-252.489,-182.981) (-20.642,-37.037) (-451.885,-89.258)      102.772
35    1306.11061 2852.28009 1179.96387 -6852.85014 -3084.55846 -7352.67584       (-254.636,-184.184) (-19.431,-36.435) (-452.906,-89.712)      105.795
36    1304.67914 2849.13510 1178.68020 -6846.17411 -3081.50607 -7345.11270       (-256.783,-185.388) (-18.220,-35.833) (-453.928,-90.165)      108.817
37    1303.24767 2845.99012 1177.39653 -6839.49808 -3078.45368 -7337.54957       (-258.930,-186.592) (-17.009,-35.232) (-454.949,-90.619)      111.84
38    1301.81620 2842.84513 1176.11286 -6832.82205 -3075.40129 -7329.98643       (-261.078,-187.796) (-15.798,-34.630) (-455.970,-91.073)      114.863
39    1300.38473 2839.70015 1174.82919 -6826.14602 -3072.34890 -7322.42329       (-263.225,-188.999) (-14.588,-34.028) (-456.992,-91.527)      117.885
40    1298.95326 2836.55516 1173.54552 -6819.46999 -3069.29651 -7314.86015       (-265.372,-190.203) (-13.377,-33.427) (-458.013,-91.981)      120.908
41    1297.52179 2833.41018 1172.26184 -6812.79396 -3066.24412 -7307.29702       (-267.519,-191.407) (-12.166,-32.825) (-459.035,-92.435)      123.931
42    1296.09033 2830.26519 1170.97817 -6806.11793 -3063.19173 -7299.73388       (-269.666,-192.610) (-10.955,-32.223) (-460.056,-92.889)      126.953
43    1294.65886 2827.12021 1169.69450 -6799.44190 -3060.13934 -7292.17074       (-271.813,-193.814) (-9.744,-31.622) (-461.077,-93.343)      129.976
44    1293.22739 2823.97522 1168.41083 -6792.76587 -3057.08695 -7284.60760       (-273.960,-195.018) (-8.533,-31.020) (-462.099,-93.797)      132.999
45    1291.79592 2820.83024 1167.12716 -6786.08984 -3054.03456 -7277.04447       (-276.108,-196.222) (-7.322,-30.418) (-463.120,-94.251)      136.022
46    1290.36445 2817.68525 1165.84349 -6779.41381 -3050.98217 -7269.48133       (-278.255,-197.425) (-6.112,-29.817) (-464.142,-94.704)      139.044
47    1288.93298 2814.54027 1164.55982 -6772.73777 -3047.92978 -7261.91819       (-280.402,-198.629) (-4.901,-29.215) (-465.163,-95.158)      142.067
