Fol_.41_.txt     Output is probe cell, reduced cell, NCDist distance between
0    1601.37754 592.53807 1419.02490 -2545.34962 -6923.97157 -2883.92452       (-187.401,-245.506) (-1.032,-21.064) (-11.557,-5.066)      0
1    1599.58697 591.94390 1417.59289 -2543.04748 -6917.06175 -2881.04278       (-189.226,-246.440) (-0.407,-19.706) (-12.735,-6.287)      3.05252
2    1597.79640 591.34974 1416.16088 -2540.74533 -6910.15194 -2878.16104       (-7.290,-247.156) (-18.565,-0.218) (-190.834,-13.695)      5.64222
3    1596.00583 590.75557 1414.72886 -2538.44318 -6903.24212 -2875.27930       (-7.886,-247.465) (-17.831,-0.843) (-192.034,-14.248)      7.38002
4    1594.21526 590.16141 1413.29685 -2536.14104 -6896.33230 -2872.39756       (-8.483,-247.775) (-17.098,-1.468) (-193.234,-14.801)      9.12939
5    1592.42469 589.56724 1411.86483 -2533.83889 -6889.42248 -2869.51582       (-9.079,-248.084) (-16.364,-2.093) (-194.434,-15.353)      10.8848
6    1590.63412 588.97308 1410.43282 -2531.53675 -6882.51267 -2866.63408       (-9.675,-248.393) (-15.631,-2.717) (-195.634,-15.906)      12.6436
7    1588.84355 588.37892 1409.00081 -2529.23460 -6875.60285 -2863.75234       (-10.271,-248.702) (-14.897,-3.342) (-196.834,-16.459)      14.4047
8    1587.05298 587.78475 1407.56879 -2526.93245 -6868.69303 -2860.87060       (-10.867,-249.011) (-14.164,-3.967) (-198.035,-17.012)      16.1673
9    1585.26241 587.19059 1406.13678 -2524.63031 -6861.78321 -2857.98886       (-11.463,-249.321) (-13.430,-4.592) (-199.235,-17.565)      17.9309
10    1583.47184 586.59642 1404.70477 -2522.32816 -6854.87340 -2855.10712       (-12.059,-249.630) (-12.696,-5.217) (-200.435,-18.118)      19.6953
11    1581.68128 586.00226 1403.27275 -2520.02601 -6847.96358 -2852.22538       (-12.655,-249.939) (-11.963,-5.842) (-201.635,-18.671)      21.4603
12    1579.89071 585.40809 1401.84074 -2517.72387 -6841.05376 -2849.34364       (-13.251,-250.248) (-11.229,-6.467) (-202.835,-19.224)      23.2257
13    1578.10014 584.81393 1400.40872 -2515.42172 -6834.14395 -2846.46190       (-13.847,-250.557) (-10.496,-7.092) (-204.035,-19.776)      24.8402
14    1576.30957 584.21976 1398.97671 -2513.11958 -6827.23413 -2843.58016       (-14.443,-250.866) (-9.762,-7.717) (-205.235,-20.329)      26.3404
15    1574.51900 583.62560 1397.54470 -2510.81743 -6820.32431 -2840.69842       (-15.039,-251.176) (-9.029,-8.342) (-206.436,-20.882)      27.872
16    1572.72843 583.03144 1396.11268 -2508.51528 -6813.41449 -2837.81668       (-15.635,-251.485) (-8.295,-8.967) (-207.636,-21.435)      29.4302
17    1570.93786 582.43727 1394.68067 -2506.21314 -6806.50468 -2834.93494       (-16.231,-251.794) (-7.562,-9.592) (-208.836,-21.988)      31.0108
