Fol_2018-03-05.09_12_30.29_.txt     Output is probe cell, reduced cell, NCDist distance between
0     -9.68351 -40.67298   4.05074 -52.86690   1.60035 -43.50647       (-2.414,-54.467) (-30.935,-1.600) (-0.018,-38.705)      0
1     -9.67623 -40.66323   4.04666 -52.86850   1.59714 -43.50167       (-2.421,-54.466) (-30.944,-1.597) (-0.014,-38.710)      0.0141598
2     -9.66896 -40.65348   4.04259 -52.87010   1.59394 -43.49686       (-2.428,-54.464) (-30.954,-1.594) (-0.010,-38.715)      0.0283196
3     -9.66168 -40.64374   4.03852 -52.87170   1.59074 -43.49206       (-2.436,-54.462) (-30.964,-1.591) (-0.006,-38.720)      0.0424794
4     -9.65440 -40.63399   4.03445 -52.87331   1.58753 -43.48725       (-2.443,-54.461) (-30.974,-1.588) (-0.002,-38.725)      0.0566392
5     -9.64713 -40.62424   4.03037 -52.87491   1.58433 -43.48244       (-2.448,-30.981) (-54.457,-1.582) (-0.002,-38.732)      0.0698668
6     -9.63985 -40.61449   4.02630 -52.87651   1.58112 -43.47764       (-2.451,-30.987) (-54.452,-1.575) (-0.006,-38.740)      0.0828291
7     -9.63257 -40.60474   4.02223 -52.87811   1.57792 -43.47283       (-2.455,-30.993) (-54.446,-1.568) (-0.010,-38.749)      0.0963642
8     -9.62529 -40.59499   4.01815 -52.87971   1.57472 -43.46803       (-2.458,-30.998) (-54.440,-1.560) (-0.014,-38.758)      0.110261
9     -9.61802 -40.58525   4.01408 -52.88132   1.57151 -43.46322       (-2.461,-31.004) (-54.434,-1.553) (-0.018,-38.767)      0.124399
10     -9.61074 -40.57550   4.01001 -52.88292   1.56831 -43.45841       (-2.464,-31.010) (-54.429,-1.546) (-0.022,-38.776)      0.138705
11     -9.60346 -40.56575   4.00593 -52.88452   1.56510 -43.45361       (-2.467,-31.015) (-54.423,-1.539) (-0.026,-38.785)      0.15313
12     -9.59619 -40.55600   4.00186 -52.88612   1.56190 -43.44880       (-2.471,-31.021) (-54.417,-1.531) (-0.031,-38.794)      0.167645
13     -9.58891 -40.54625   3.99779 -52.88772   1.55870 -43.44400       (-2.474,-31.027) (-54.412,-1.524) (-0.035,-38.803)      0.182228
14     -9.58163 -40.53651   3.99371 -52.88933   1.55549 -43.43919       (-2.477,-31.032) (-54.406,-1.517) (-0.039,-38.811)      0.196863
15     -9.57436 -40.52676   3.98964 -52.89093   1.55229 -43.43438       (-2.480,-31.038) (-54.400,-1.510) (-0.043,-38.820)      0.211541
16     -9.56708 -40.51701   3.98557 -52.89253   1.54908 -43.42958       (-2.483,-31.044) (-54.395,-1.502) (-0.047,-38.829)      0.226252
17     -9.55980 -40.50726   3.98149 -52.89413   1.54588 -43.42477       (-2.487,-31.049) (-54.389,-1.495) (-0.051,-38.838)      0.240991
18     -9.55252 -40.49751   3.97742 -52.89573   1.54268 -43.41997       (-2.490,-31.055) (-54.383,-1.488) (-0.055,-38.847)      0.255752
19     -9.54525 -40.48776   3.97335 -52.89734   1.53947 -43.41516       (-2.493,-31.061) (-54.378,-1.480) (-0.059,-38.856)      0.270533
20     -9.53797 -40.47802   3.96928 -52.89894   1.53627 -43.41036       (-2.496,-31.066) (-54.372,-1.473) (-0.063,-38.865)      0.28533
21     -9.53069 -40.46827   3.96520 -52.90054   1.53307 -43.40555       (-2.499,-31.072) (-54.366,-1.466) (-0.067,-38.874)      0.30014
22     -9.52342 -40.45852   3.96113 -52.90214   1.52986 -43.40074       (-2.503,-31.078) (-54.361,-1.459) (-0.071,-38.882)      0.314962
23     -9.51614 -40.44877   3.95706 -52.90374   1.52666 -43.39594       (-2.506,-31.083) (-54.355,-1.451) (-0.075,-38.891)      0.329795
24     -9.50886 -40.43902   3.95298 -52.90535   1.52345 -43.39113       (-2.509,-31.089) (-54.349,-1.444) (-0.079,-38.900)      0.344636
25     -9.50158 -40.42928   3.94891 -52.90695   1.52025 -43.38633       (-2.512,-31.095) (-54.344,-1.437) (-0.084,-38.909)      0.359485
26     -9.49431 -40.41953   3.94484 -52.90855   1.51705 -43.38152       (-2.515,-31.100) (-54.338,-1.429) (-0.088,-38.918)      0.374341
27     -9.48703 -40.40978   3.94076 -52.91015   1.51384 -43.37671       (-2.519,-31.106) (-54.332,-1.422) (-0.092,-38.927)      0.389203
28     -9.47975 -40.40003   3.93669 -52.91175   1.51064 -43.37191       (-2.522,-31.112) (-54.327,-1.415) (-0.096,-38.936)      0.40407
29     -9.47248 -40.39028   3.93262 -52.91335   1.50743 -43.36710       (-2.525,-31.117) (-54.321,-1.408) (-0.100,-38.945)      0.418943
30     -9.46520 -40.38053   3.92854 -52.91496   1.50423 -43.36230       (-2.528,-31.123) (-54.315,-1.400) (-0.104,-38.953)      0.433819
31     -9.45792 -40.37079   3.92447 -52.91656   1.50103 -43.35749       (-2.531,-31.129) (-54.310,-1.393) (-0.108,-38.962)      0.4487
32     -9.45065 -40.36104   3.92040 -52.91816   1.49782 -43.35269       (-2.535,-31.134) (-54.304,-1.386) (-0.112,-38.971)      0.463583
33     -9.44337 -40.35129   3.91632 -52.91976   1.49462 -43.34788       (-2.538,-31.140) (-54.298,-1.379) (-0.116,-38.980)      0.478471
34     -9.43609 -40.34154   3.91225 -52.92136   1.49141 -43.34307       (-2.541,-31.146) (-54.293,-1.371) (-0.120,-38.989)      0.493361
