Fol_2018-03-05.14_03_57.408_.txt     Output is probe cell, reduced cell, NCDist distance between
0      5.37332 -43.66091  13.80848 -31.21960 -52.86473 -24.20965       (-14.501,-43.661) (-3.603,-5.373) (-13.808,-13.463)      0
1      5.35343 -43.62081  13.78083 -31.23205 -52.81719 -24.19890       (-14.549,-43.621) (-3.670,-5.353) (-13.781,-13.492)      0.102273
2      5.33353 -43.58072  13.75319 -31.24451 -52.76965 -24.18814       (-14.596,-43.581) (-3.738,-5.334) (-13.753,-13.521)      0.204546
3      5.31364 -43.54062  13.72554 -31.25696 -52.72211 -24.17738       (-14.644,-43.541) (-3.806,-5.314) (-13.726,-13.550)      0.306819
4      5.29374 -43.50052  13.69790 -31.26941 -52.67457 -24.16662       (-14.691,-43.501) (-3.874,-5.294) (-13.698,-13.579)      0.409092
5      5.27385 -43.46042  13.67025 -31.28187 -52.62704 -24.15587       (-14.739,-43.460) (-3.941,-5.274) (-13.670,-13.608)      0.511365
6      5.25395 -43.42032  13.64261 -31.29432 -52.57950 -24.14511       (-14.786,-43.420) (-4.009,-5.254) (-13.643,-13.637)      0.613638
7      5.23406 -43.38022  13.61496 -31.30678 -52.53196 -24.13435       (-14.834,-43.380) (-4.077,-5.234) (-13.615,-13.666)      0.715911
8      5.21417 -43.34013  13.58732 -31.31923 -52.48442 -24.12359       (-14.881,-43.340) (-4.145,-5.214) (-13.587,-13.695)      0.818184
9      5.19427 -43.30003  13.55967 -31.33168 -52.43688 -24.11284       (-14.929,-43.300) (-4.212,-5.194) (-13.560,-13.724)      0.920457
10      5.17438 -43.25993  13.53203 -31.34414 -52.38934 -24.10208       (-14.977,-43.260) (-4.280,-5.174) (-13.532,-13.753)      1.02273
11      5.15448 -43.21983  13.50439 -31.35659 -52.34180 -24.09132       (-15.024,-43.220) (-4.348,-5.154) (-13.504,-13.782)      1.125
12      5.13459 -43.17973  13.47674 -31.36904 -52.29426 -24.08057       (-15.072,-43.180) (-4.416,-5.135) (-13.477,-13.811)      1.22728
13      5.11469 -43.13963  13.44910 -31.38150 -52.24672 -24.06981       (-15.119,-43.140) (-4.483,-5.115) (-13.449,-13.840)      1.32955
14      5.09480 -43.09954  13.42145 -31.39395 -52.19919 -24.05905       (-15.167,-43.100) (-4.551,-5.095) (-13.421,-13.869)      1.43182
15      5.07491 -43.05944  13.39381 -31.40641 -52.15165 -24.04829       (-15.214,-43.059) (-4.619,-5.075) (-13.394,-13.898)      1.53409
16      5.05501 -43.01934  13.36616 -31.41886 -52.10411 -24.03754       (-15.262,-43.019) (-4.687,-5.055) (-13.366,-13.928)      1.63637
17      5.03512 -42.97924  13.33852 -31.43131 -52.05657 -24.02678       (-15.309,-42.979) (-4.754,-5.035) (-13.339,-13.957)      1.73864
18      5.01522 -42.93914  13.31087 -31.44377 -52.00903 -24.01602       (-15.357,-42.939) (-4.822,-5.015) (-13.311,-13.986)      1.84091
19      4.99533 -42.89904  13.28323 -31.45622 -51.96149 -24.00526       (-15.404,-42.899) (-4.890,-4.995) (-13.283,-14.015)      1.90905
20      4.97543 -42.85895  13.25558 -31.46867 -51.91395 -23.99451       (-15.452,-42.859) (-4.958,-4.975) (-13.256,-14.044)      1.92429
21      4.95554 -42.81885  13.22794 -31.48113 -51.86641 -23.98375       (-15.499,-42.819) (-5.025,-4.956) (-13.228,-14.073)      1.9448
22      4.93565 -42.77875  13.20029 -31.49358 -51.81887 -23.97299       (-15.547,-42.779) (-5.093,-4.936) (-13.200,-14.102)      1.97041
23      4.91575 -42.73865  13.17265 -31.50604 -51.77133 -23.96223       (-15.595,-42.739) (-5.161,-4.916) (-13.173,-14.131)      2.00092
24      4.89586 -42.69855  13.14501 -31.51849 -51.72380 -23.95148       (-15.642,-42.699) (-5.228,-4.896) (-13.145,-14.160)      2.03612
25      4.87596 -42.65845  13.11736 -31.53094 -51.67626 -23.94072       (-15.690,-42.658) (-5.296,-4.876) (-13.117,-14.189)      2.07576
26      4.85607 -42.61836  13.08972 -31.54340 -51.62872 -23.92996       (-15.737,-42.618) (-5.364,-4.856) (-13.090,-14.218)      2.1196
27      4.83617 -42.57826  13.06207 -31.55585 -51.58118 -23.91920       (-15.785,-42.578) (-5.432,-4.836) (-13.062,-14.247)      2.16739
28      4.81628 -42.53816  13.03443 -31.56830 -51.53364 -23.90845       (-15.832,-42.538) (-5.499,-4.816) (-13.034,-14.276)      2.21886
29      4.79638 -42.49806  13.00678 -31.58076 -51.48610 -23.89769       (-15.880,-42.498) (-5.567,-4.796) (-13.007,-14.305)      2.27377
30      4.77649 -42.45796  12.97914 -31.59321 -51.43856 -23.88693       (-15.927,-42.458) (-5.635,-4.776) (-12.979,-14.334)      2.33188
31      4.75660 -42.41786  12.95149 -31.60567 -51.39102 -23.87617       (-15.975,-42.418) (-5.703,-4.757) (-12.951,-14.363)      2.39295
32      4.73670 -42.37777  12.92385 -31.61812 -51.34348 -23.86542       (-16.022,-42.378) (-5.770,-4.737) (-12.924,-14.392)      2.45675
33      4.71681 -42.33767  12.89620 -31.63057 -51.29595 -23.85466       (-16.070,-42.338) (-5.838,-4.717) (-12.896,-14.421)      2.5231
34      4.69691 -42.29757  12.86856 -31.64303 -51.24841 -23.84390       (-16.117,-42.298) (-5.906,-4.697) (-12.869,-14.450)      2.59178
35      4.67702 -42.25747  12.84092 -31.65548 -51.20087 -23.83314       (-16.165,-42.257) (-5.974,-4.677) (-12.841,-14.479)      2.66261
36      4.65712 -42.21737  12.81327 -31.66794 -51.15333 -23.82239       (-16.213,-42.217) (-6.041,-4.657) (-12.813,-14.508)      2.73544
37      4.63723 -42.17727  12.78563 -31.68039 -51.10579 -23.81163       (-16.260,-42.177) (-6.109,-4.637) (-12.786,-14.537)      2.81011
38      4.61734 -42.13718  12.75798 -31.69284 -51.05825 -23.80087       (-16.308,-42.137) (-6.177,-4.617) (-12.758,-14.566)      2.88646
39      4.59744 -42.09708  12.73034 -31.70530 -51.01071 -23.79012       (-16.355,-42.097) (-6.245,-4.597) (-12.730,-14.595)      2.96438
40      4.57755 -42.05698  12.70269 -31.71775 -50.96317 -23.77936       (-16.403,-42.057) (-6.312,-4.578) (-12.703,-14.624)      3.04374
41      4.55765 -42.01688  12.67505 -31.73020 -50.91563 -23.76860       (-16.450,-42.017) (-6.380,-4.558) (-12.675,-14.653)      3.12443
42      4.53776 -41.97678  12.64740 -31.74266 -50.86809 -23.75784       (-16.498,-41.977) (-6.448,-4.538) (-12.647,-14.682)      3.20636
43      4.51786 -41.93668  12.61976 -31.75511 -50.82056 -23.74709       (-16.545,-41.937) (-6.516,-4.518) (-12.620,-14.711)      3.28942
44      4.49797 -41.89659  12.59211 -31.76757 -50.77302 -23.73633       (-16.593,-41.897) (-6.583,-4.498) (-12.592,-14.740)      3.37354
45      4.47807 -41.85649  12.56447 -31.78002 -50.72548 -23.72557       (-16.640,-41.856) (-6.651,-4.478) (-12.564,-14.769)      3.45864
46      4.45818 -41.81639  12.53682 -31.79247 -50.67794 -23.71481       (-16.688,-41.816) (-6.719,-4.458) (-12.537,-14.798)      3.54465
47      4.43829 -41.77629  12.50918 -31.80493 -50.63040 -23.70406       (-16.735,-41.776) (-6.787,-4.438) (-12.509,-14.827)      3.6315
48      4.41839 -41.73619  12.48154 -31.81738 -50.58286 -23.69330       (-16.783,-41.736) (-6.854,-4.418) (-12.482,-14.857)      3.71913
49      4.39850 -41.69609  12.45389 -31.82983 -50.53532 -23.68254       (-16.831,-41.696) (-6.922,-4.398) (-12.454,-14.886)      3.80749
50      4.37860 -41.65600  12.42625 -31.84229 -50.48778 -23.67178       (-16.878,-41.656) (-6.990,-4.379) (-12.426,-14.915)      3.89654
51      4.35871 -41.61590  12.39860 -31.85474 -50.44024 -23.66103       (-16.926,-41.616) (-7.058,-4.359) (-12.399,-14.944)      3.98622
