Fol_.23_.txt     Output is probe cell, reduced cell, NCDist distance between
0    1109.75535 516.05452 4413.40646 -7422.85456 -14505.87639 -2053.51343       (-88.351,-573.990) (-1149.610,-77.646) (-261.706,-651.027)      0
1    1108.06992 514.88627 4407.83788 -7415.51271 -14491.61796 -2051.53559       (-86.307,-581.179) (-1149.252,-78.297) (-263.975,-656.037)      9.30908
2    1106.38449 513.71802 4402.26929 -7408.17087 -14477.35953 -2049.55774       (-84.263,-588.368) (-1148.894,-78.948) (-266.244,-661.046)      18.6182
3    1104.69906 512.54977 4396.70070 -7400.82902 -14463.10110 -2047.57990       (-82.219,-595.557) (-1148.535,-79.600) (-268.513,-666.056)      27.9272
4    1103.01363 511.38152 4391.13212 -7393.48718 -14448.84267 -2045.60205       (-80.175,-602.746) (-1148.177,-80.251) (-270.782,-671.066)      37.2363
5    1101.32820 510.21327 4385.56353 -7386.14533 -14434.58425 -2043.62421       (-78.131,-609.936) (-1147.819,-80.902) (-273.051,-676.075)      46.5454
6    1099.64277 509.04502 4379.99495 -7378.80349 -14420.32582 -2041.64636       (-76.086,-617.125) (-1147.461,-81.553) (-275.319,-681.085)      55.8545
7    1097.95734 507.87677 4374.42636 -7371.46164 -14406.06739 -2039.66852       (-74.042,-624.314) (-1147.103,-82.204) (-277.588,-686.094)      65.1636
8    1096.27191 506.70852 4368.85778 -7364.11980 -14391.80896 -2037.69067       (-71.998,-631.503) (-1146.744,-82.855) (-279.857,-691.104)      74.4726
9    1094.58648 505.54027 4363.28919 -7356.77795 -14377.55053 -2035.71283       (-69.954,-638.692) (-1146.386,-83.506) (-282.126,-696.114)      83.7817
10    1092.90105 504.37202 4357.72061 -7349.43610 -14363.29210 -2033.73498       (-67.910,-645.882) (-1146.028,-84.157) (-284.395,-701.123)      93.0908
11    1091.21562 503.20377 4352.15202 -7342.09426 -14349.03367 -2031.75714       (-65.866,-653.071) (-1145.670,-84.808) (-286.664,-706.133)      102.4
12    1089.53019 502.03552 4346.58344 -7334.75241 -14334.77525 -2029.77929       (-63.822,-660.260) (-1145.311,-85.459) (-288.933,-711.143)      111.709
13    1087.84476 500.86727 4341.01485 -7327.41057 -14320.51682 -2027.80145       (-61.778,-667.449) (-1144.953,-86.110) (-291.201,-716.152)      121.018
14    1086.15933 499.69902 4335.44627 -7320.06872 -14306.25839 -2025.82360       (-59.734,-674.638) (-1144.595,-86.761) (-293.470,-721.162)      130.327
15    1084.47390 498.53077 4329.87768 -7312.72688 -14291.99996 -2023.84576       (-57.690,-681.827) (-1144.237,-87.412) (-295.739,-726.172)      139.636
16    1082.78847 497.36252 4324.30910 -7305.38503 -14277.74153 -2021.86791       (-55.646,-689.017) (-1143.879,-88.063) (-298.008,-731.181)      148.945
17    1081.10304 496.19427 4318.74051 -7298.04319 -14263.48310 -2019.89007       (-53.602,-696.206) (-1143.520,-88.714) (-300.277,-736.191)      158.254
18    1079.41760 495.02602 4313.17193 -7290.70134 -14249.22468 -2017.91222       (-51.557,-703.395) (-1143.162,-89.366) (-302.546,-741.200)      167.563
19    1077.73217 493.85777 4307.60334 -7283.35950 -14234.96625 -2015.93438       (-49.513,-710.584) (-1142.804,-90.017) (-304.814,-746.210)      176.873
20    1076.04674 492.68952 4302.03476 -7276.01765 -14220.70782 -2013.95653       (-47.469,-717.773) (-1142.446,-90.668) (-307.083,-751.220)      186.182
21    1074.36131 491.52127 4296.46617 -7268.67580 -14206.44939 -2011.97869       (-45.425,-724.963) (-1142.087,-91.319) (-309.352,-756.229)      195.491
22    1072.67588 490.35302 4290.89759 -7261.33396 -14192.19096 -2010.00084       (-43.381,-732.152) (-1141.729,-91.970) (-311.621,-761.239)      204.8
23    1070.99045 489.18477 4285.32900 -7253.99211 -14177.93253 -2008.02300       (-41.337,-739.341) (-1141.371,-92.621) (-313.890,-766.249)      214.109
24    1069.30502 488.01652 4279.76042 -7246.65027 -14163.67410 -2006.04515       (-39.293,-746.530) (-1141.013,-93.272) (-316.159,-771.258)      223.418
25    1067.61959 486.84827 4274.19183 -7239.30842 -14149.41568 -2004.06731       (-37.249,-753.719) (-1140.655,-93.923) (-318.428,-776.268)      232.727
26    1065.93416 485.68002 4268.62325 -7231.96658 -14135.15725 -2002.08946       (-35.205,-760.908) (-1140.296,-94.574) (-320.696,-781.277)      242.036
27    1064.24873 484.51177 4263.05466 -7224.62473 -14120.89882 -2000.11162       (-33.161,-768.098) (-1139.938,-95.225) (-322.965,-786.287)      251.345
28    1062.56330 483.34352 4257.48608 -7217.28289 -14106.64039 -1998.13377       (-31.117,-775.287) (-1139.580,-95.876) (-325.234,-791.297)      260.654
29    1060.87787 482.17527 4251.91749 -7209.94104 -14092.38196 -1996.15593       (-29.072,-782.476) (-1139.222,-96.527) (-327.503,-796.306)      269.963
30    1059.19244 481.00702 4246.34891 -7202.59920 -14078.12353 -1994.17808       (-27.028,-789.665) (-1138.863,-97.178) (-329.772,-801.316)      279.272
31    1057.50701 479.83877 4240.78032 -7195.25735 -14063.86510 -1992.20024       (-24.984,-796.854) (-1138.505,-97.829) (-332.041,-806.326)      288.581
32    1055.82158 478.67052 4235.21173 -7187.91550 -14049.60668 -1990.22239       (-22.940,-804.044) (-1138.147,-98.481) (-334.310,-811.335)      297.891
33    1054.13615 477.50227 4229.64315 -7180.57366 -14035.34825 -1988.24455       (-20.896,-811.233) (-1137.789,-99.132) (-336.578,-816.345)      307.2
34    1052.45072 476.33402 4224.07456 -7173.23181 -14021.08982 -1986.26670       (-18.852,-818.422) (-1137.431,-99.783) (-338.847,-821.355)      316.509
35    1050.76529 475.16577 4218.50598 -7165.88997 -14006.83139 -1984.28886       (-16.808,-825.611) (-1137.072,-100.434) (-341.116,-826.364)      325.818
36    1049.07986 473.99752 4212.93739 -7158.54812 -13992.57296 -1982.31101       (-14.764,-832.800) (-1136.714,-101.085) (-343.385,-831.374)      335.127
37    1047.39443 472.82927 4207.36881 -7151.20628 -13978.31453 -1980.33317       (-12.720,-839.990) (-1136.356,-101.736) (-345.654,-836.383)      344.436
38    1045.70899 471.66103 4201.80022 -7143.86443 -13964.05610 -1978.35532       (-10.676,-847.179) (-1135.998,-102.387) (-347.923,-841.393)      353.745
39    1044.02356 470.49278 4196.23164 -7136.52259 -13949.79768 -1976.37748       (-8.632,-854.368) (-1135.639,-103.038) (-350.191,-846.403)      363.054
40    1042.33813 469.32453 4190.66305 -7129.18074 -13935.53925 -1974.39963       (-6.588,-861.557) (-1135.281,-103.689) (-352.460,-851.412)      372.363
