2BOUNDS_2018-03-07.14_37_56.441_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -31.26060 -41.89693   2.13681 -47.84536   5.78078 -10.95632       (-37.018,-47.240) (-5.176,-14.820) (-0.605,-2.742)      1.48886e-14
1    -31.26636 -41.86017   2.13407 -47.84476   5.76016 -10.94809       (-37.020,-47.273) (-5.188,-14.906) (-0.572,-2.706)      0.104356
2    -31.27212 -41.82341   2.13132 -47.84415   5.73954 -10.93987       (-37.022,-47.305) (-5.200,-14.991) (-0.539,-2.671)      0.208712
3    -31.27789 -41.78666   2.12858 -47.84354   5.71891 -10.93165       (-37.023,-47.337) (-5.213,-15.077) (-0.506,-2.635)      0.313068
4    -31.28365 -41.74990   2.12583 -47.84294   5.69829 -10.92343       (-37.025,-47.370) (-5.225,-15.162) (-0.473,-2.599)      0.417424
5    -31.28941 -41.71314   2.12309 -47.84233   5.67767 -10.91520       (-37.027,-47.402) (-5.238,-15.248) (-0.440,-2.563)      0.52178
6    -31.29518 -41.67638   2.12034 -47.84173   5.65705 -10.90698       (-37.029,-47.435) (-5.250,-15.333) (-0.407,-2.527)      0.626135
7    -31.30094 -41.63962   2.11760 -47.84112   5.63643 -10.89876       (-37.030,-47.467) (-5.262,-15.419) (-0.374,-2.492)      0.730491
8    -31.30670 -41.60287   2.11485 -47.84051   5.61581 -10.89054       (-37.032,-47.499) (-5.275,-15.504) (-0.341,-2.456)      0.834847
9    -31.31246 -41.56611   2.11211 -47.83991   5.59519 -10.88231       (-37.034,-47.532) (-5.287,-15.590) (-0.308,-2.420)      0.939203
10    -31.31823 -41.52935   2.10936 -47.83930   5.57456 -10.87409       (-37.036,-47.564) (-5.300,-15.675) (-0.275,-2.384)      1.04356
11    -31.32399 -41.49259   2.10662 -47.83870   5.55394 -10.86587       (-37.037,-47.597) (-5.312,-15.761) (-0.242,-2.349)      1.14792
12    -31.32975 -41.45583   2.10387 -47.83809   5.53332 -10.85765       (-37.039,-47.629) (-5.324,-15.846) (-0.209,-2.313)      1.25227
13    -31.33552 -41.41908   2.10113 -47.83749   5.51270 -10.84942       (-37.041,-47.662) (-5.337,-15.932) (-0.176,-2.277)      1.35663
14    -31.34128 -41.38232   2.09838 -47.83688   5.49208 -10.84120       (-37.043,-47.694) (-5.349,-16.017) (-0.143,-2.241)      1.46098
15    -31.34704 -41.34556   2.09564 -47.83627   5.47146 -10.83298       (-37.044,-47.726) (-5.362,-16.103) (-0.110,-2.206)      1.56534
16    -31.35281 -41.30880   2.09289 -47.83567   5.45083 -10.82476       (-37.046,-47.759) (-5.374,-16.188) (-0.077,-2.170)      1.66969
17    -31.35857 -41.27204   2.09015 -47.83506   5.43021 -10.81654       (-37.048,-47.791) (-5.386,-16.274) (-0.044,-2.134)      1.77405
