Fol_2018-03-05.14_04_56.630_.txt     Output is probe cell, reduced cell, NCDist distance between
0     19.42363 -28.75015 -27.88095   3.98055 -21.10039 -31.69878       (-19.424,-15.443) (-9.327,-8.457) (-1.677,-12.275)      3.55271e-15
1     19.38474 -28.73071 -27.85472   3.96111 -21.08773 -31.67934       (-19.385,-15.424) (-9.346,-8.470) (-1.703,-12.295)      0.0591137
2     19.34585 -28.71127 -27.82849   3.94166 -21.07508 -31.65989       (-19.346,-15.404) (-9.365,-8.483) (-1.729,-12.314)      0.118227
3     19.30697 -28.69182 -27.80226   3.92222 -21.06242 -31.64045       (-19.307,-15.385) (-9.385,-8.495) (-1.755,-12.333)      0.177341
4     19.26808 -28.67238 -27.77603   3.90278 -21.04976 -31.62101       (-19.268,-15.365) (-9.404,-8.508) (-1.782,-12.353)      0.236455
5     19.22920 -28.65294 -27.74979   3.88333 -21.03711 -31.60156       (-19.229,-15.346) (-9.424,-8.521) (-1.808,-12.372)      0.295569
6     19.19031 -28.63350 -27.72356   3.86389 -21.02445 -31.58212       (-19.190,-15.326) (-9.443,-8.533) (-1.834,-12.392)      0.354682
7     19.15142 -28.61405 -27.69733   3.84445 -21.01180 -31.56268       (-19.151,-15.307) (-9.463,-8.546) (-1.860,-12.411)      0.413796
8     19.11254 -28.59461 -27.67110   3.82500 -20.99914 -31.54323       (-19.113,-15.288) (-9.482,-8.559) (-1.887,-12.431)      0.47291
9     19.07365 -28.57517 -27.64487   3.80556 -20.98649 -31.52379       (-19.074,-15.268) (-9.502,-8.571) (-1.913,-12.450)      0.532024
10     19.03477 -28.55572 -27.61864   3.78612 -20.97383 -31.50435       (-19.035,-15.249) (-9.521,-8.584) (-1.939,-12.470)      0.591137
11     18.99588 -28.53628 -27.59241   3.76668 -20.96117 -31.48491       (-18.996,-15.229) (-9.540,-8.597) (-1.965,-12.489)      0.650251
12     18.95699 -28.51684 -27.56618   3.74723 -20.94852 -31.46546       (-18.957,-15.210) (-9.560,-8.609) (-1.992,-12.508)      0.709365
13     18.91811 -28.49739 -27.53995   3.72779 -20.93586 -31.44602       (-18.918,-15.190) (-9.579,-8.622) (-2.018,-12.528)      0.768478
14     18.87922 -28.47795 -27.51372   3.70835 -20.92321 -31.42658       (-18.879,-15.171) (-9.599,-8.635) (-2.044,-12.547)      0.827592
15     18.84033 -28.45851 -27.48749   3.68890 -20.91055 -31.40713       (-18.840,-15.151) (-9.618,-8.647) (-2.070,-12.567)      0.886706
16     18.80145 -28.43906 -27.46126   3.66946 -20.89790 -31.38769       (-18.801,-15.132) (-9.638,-8.660) (-2.096,-12.586)      0.94582
17     18.76256 -28.41962 -27.43503   3.65002 -20.88524 -31.36825       (-18.763,-15.113) (-9.657,-8.672) (-2.123,-12.606)      1.00493
18     18.72368 -28.40018 -27.40880   3.63057 -20.87258 -31.34880       (-18.724,-15.093) (-9.677,-8.685) (-2.149,-12.625)      1.06405
19     18.68479 -28.38074 -27.38257   3.61113 -20.85993 -31.32936       (-18.685,-15.074) (-9.696,-8.698) (-2.175,-12.645)      1.12316
20     18.64590 -28.36129 -27.35634   3.59169 -20.84727 -31.30992       (-18.646,-15.054) (-9.715,-8.710) (-2.201,-12.664)      1.18227
21     18.60702 -28.34185 -27.33011   3.57224 -20.83462 -31.29047       (-18.607,-15.035) (-9.735,-8.723) (-2.228,-12.683)      1.24139
22     18.56813 -28.32241 -27.30388   3.55280 -20.82196 -31.27103       (-18.568,-15.015) (-9.754,-8.736) (-2.254,-12.703)      1.3005
23     18.52925 -28.30296 -27.27765   3.53336 -20.80931 -31.25159       (-18.529,-14.996) (-9.774,-8.748) (-2.280,-12.722)      1.35962
24     18.49036 -28.28352 -27.25142   3.51392 -20.79665 -31.23215       (-18.490,-14.976) (-9.793,-8.761) (-2.306,-12.742)      1.41873
25     18.45147 -28.26408 -27.22519   3.49447 -20.78399 -31.21270       (-18.451,-14.957) (-9.813,-8.774) (-2.333,-12.761)      1.47784
26     18.41259 -28.24463 -27.19896   3.47503 -20.77134 -31.19326       (-18.413,-14.938) (-9.832,-8.786) (-2.359,-12.781)      1.53696
27     18.37370 -28.22519 -27.17273   3.45559 -20.75868 -31.17382       (-18.374,-14.918) (-9.851,-8.799) (-2.385,-12.800)      1.59607
28     18.33482 -28.20575 -27.14650   3.43614 -20.74603 -31.15437       (-18.335,-14.899) (-9.871,-8.812) (-2.411,-12.820)      1.65518
29     18.29593 -28.18630 -27.12026   3.41670 -20.73337 -31.13493       (-18.296,-14.879) (-9.890,-8.824) (-2.437,-12.839)      1.7143
30     18.25704 -28.16686 -27.09403   3.39726 -20.72072 -31.11549       (-18.257,-14.860) (-9.910,-8.837) (-2.464,-12.858)      1.77341
31     18.21816 -28.14742 -27.06780   3.37781 -20.70806 -31.09604       (-18.218,-14.840) (-9.929,-8.850) (-2.490,-12.878)      1.83253
32     18.17927 -28.12798 -27.04157   3.35837 -20.69540 -31.07660       (-18.179,-14.821) (-9.949,-8.862) (-2.516,-12.897)      1.89164
33     18.14038 -28.10853 -27.01534   3.33893 -20.68275 -31.05716       (-18.140,-14.801) (-9.968,-8.875) (-2.542,-12.917)      1.95075
34     18.10150 -28.08909 -26.98911   3.31948 -20.67009 -31.03771       (-18.101,-14.782) (-9.988,-8.888) (-2.569,-12.936)      2.00987
35     18.06261 -28.06965 -26.96288   3.30004 -20.65744 -31.01827       (-18.063,-14.763) (-10.007,-8.900) (-2.595,-12.956)      2.06898
36     18.02373 -28.05020 -26.93665   3.28060 -20.64478 -30.99883       (-18.024,-14.743) (-10.026,-8.913) (-2.621,-12.975)      2.12809
37     17.98484 -28.03076 -26.91042   3.26116 -20.63213 -30.97939       (-17.985,-14.724) (-10.046,-8.926) (-2.647,-12.995)      2.18721
38     17.94595 -28.01132 -26.88419   3.24171 -20.61947 -30.95994       (-17.946,-14.704) (-10.065,-8.938) (-2.674,-13.014)      2.24632
39     17.90707 -27.99187 -26.85796   3.22227 -20.60681 -30.94050       (-17.907,-14.685) (-10.085,-8.951) (-2.700,-13.033)      2.30544
40     17.86818 -27.97243 -26.83173   3.20283 -20.59416 -30.92106       (-17.868,-14.665) (-10.104,-8.964) (-2.726,-13.053)      2.36455
41     17.82930 -27.95299 -26.80550   3.18338 -20.58150 -30.90161       (-17.829,-14.646) (-10.124,-8.976) (-2.752,-13.072)      2.42366
