2BOUNDS_2018-03-07.14_47_41.701_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -66.07962 -47.68780   4.67281   5.28051  11.48976 -61.28241       (-32.454,-38.427) (-6.817,-0.608) (-4.673,-32.415)      0
1    -66.04596 -47.64689   4.66345   5.23676  11.47765 -61.25352       (-32.510,-38.427) (-6.814,-0.573) (-4.663,-32.488)      0.099026
2    -66.01231 -47.60598   4.65410   5.19300  11.46555 -61.22462       (-32.566,-38.427) (-6.811,-0.539) (-4.654,-32.562)      0.198052
3    -65.97865 -47.56506   4.64474   5.14925  11.45344 -61.19572       (-32.622,-38.427) (-6.809,-0.505) (-4.645,-32.635)      0.297078
4    -65.94499 -47.52415   4.63539   5.10550  11.44133 -61.16683       (-32.678,-38.427) (-6.806,-0.470) (-4.635,-32.709)      0.396104
5    -65.91133 -47.48324   4.62603   5.06175  11.42922 -61.13793       (-32.734,-38.427) (-6.803,-0.436) (-4.626,-32.782)      0.49513
6    -65.87767 -47.44233   4.61668   5.01800  11.41711 -61.10903       (-32.790,-38.427) (-6.800,-0.401) (-4.617,-32.856)      0.594156
7    -65.84401 -47.40142   4.60732   4.97425  11.40500 -61.08014       (-32.846,-38.427) (-6.798,-0.367) (-4.607,-32.929)      0.693182
8    -65.81035 -47.36050   4.59797   4.93049  11.39289 -61.05124       (-32.902,-38.427) (-6.795,-0.333) (-4.598,-33.002)      0.792208
9    -65.77669 -47.31959   4.58861   4.88674  11.38078 -61.02234       (-32.957,-38.427) (-6.792,-0.298) (-4.589,-33.076)      0.891234
10    -65.74303 -47.27868   4.57926   4.84299  11.36867 -60.99345       (-33.013,-38.426) (-6.789,-0.264) (-4.579,-33.149)      0.99026
11    -65.70937 -47.23777   4.56990   4.79924  11.35656 -60.96455       (-33.069,-38.426) (-6.787,-0.229) (-4.570,-33.223)      1.08929
12    -65.67571 -47.19686   4.56055   4.75549  11.34445 -60.93565       (-33.125,-38.426) (-6.784,-0.195) (-4.561,-33.296)      1.18831
13    -65.64205 -47.15595   4.55119   4.71174  11.33234 -60.90676       (-33.181,-38.426) (-6.781,-0.161) (-4.551,-33.370)      1.28734
14    -65.60839 -47.11503   4.54184   4.66799  11.32023 -60.87786       (-33.237,-38.426) (-6.778,-0.126) (-4.542,-33.443)      1.38636
15    -65.57473 -47.07412   4.53248   4.62423  11.30812 -60.84896       (-33.293,-38.426) (-6.776,-0.092) (-4.532,-33.517)      1.48539
16    -65.54107 -47.03321   4.52313   4.58048  11.29601 -60.82007       (-33.349,-38.426) (-6.773,-0.057) (-4.523,-33.590)      1.58442
17    -65.50742 -46.99230   4.51377   4.53673  11.28390 -60.79117       (-33.405,-38.426) (-6.770,-0.023) (-4.514,-33.664)      1.68344
18    -65.47376 -46.95139   4.50442   4.49298  11.27179 -60.76227       (-33.726,-33.450) (-4.493,-38.414) (-0.011,-6.779)      1.76842
19    -65.44010 -46.91048   4.49506   4.44923  11.25968 -60.73338       (-33.765,-33.471) (-4.449,-38.380) (-0.046,-6.810)      1.82668
20    -65.40644 -46.86956   4.48571   4.40548  11.24757 -60.70448       (-33.804,-33.493) (-4.405,-38.345) (-0.080,-6.842)      1.887
21    -65.37278 -46.82865   4.47635   4.36172  11.23546 -60.67558       (-33.843,-33.514) (-4.362,-38.311) (-0.115,-6.874)      1.94919
22    -65.33912 -46.78774   4.46700   4.31797  11.22335 -60.64669       (-33.882,-33.536) (-4.318,-38.276) (-0.149,-6.905)      2.01307
23    -65.30546 -46.74683   4.45764   4.27422  11.21124 -60.61779       (-33.921,-33.557) (-4.274,-38.242) (-0.183,-6.937)      2.07849
24    -65.27180 -46.70592   4.44829   4.23047  11.19913 -60.58889       (-33.960,-33.579) (-4.230,-38.207) (-0.218,-6.969)      2.14532
25    -65.23814 -46.66500   4.43893   4.18672  11.18703 -60.56000       (-33.999,-33.600) (-4.187,-38.173) (-0.252,-7.000)      2.21341
26    -65.20448 -46.62409   4.42958   4.14297  11.17492 -60.53110       (-34.038,-33.622) (-4.143,-38.138) (-0.287,-7.032)      2.28266
27    -65.17082 -46.58318   4.42022   4.09922  11.16281 -60.50220       (-34.077,-33.644) (-4.099,-38.104) (-0.321,-7.064)      2.35296
28    -65.13716 -46.54227   4.41087   4.05546  11.15070 -60.47331       (-34.116,-33.665) (-4.055,-38.069) (-0.355,-7.095)      2.42423
29    -65.10350 -46.50136   4.40151   4.01171  11.13859 -60.44441       (-34.156,-33.687) (-4.012,-38.035) (-0.390,-7.127)      2.49638
30    -65.06984 -46.46045   4.39216   3.96796  11.12648 -60.41551       (-34.195,-33.708) (-3.968,-38.001) (-0.424,-7.159)      2.56934
31    -65.03619 -46.41953   4.38280   3.92421  11.11437 -60.38662       (-34.234,-33.730) (-3.924,-37.966) (-0.459,-7.190)      2.64304
32    -65.00253 -46.37862   4.37345   3.88046  11.10226 -60.35772       (-34.273,-33.751) (-3.880,-37.932) (-0.493,-7.222)      2.71742
33    -64.96887 -46.33771   4.36409   3.83671  11.09015 -60.32882       (-34.312,-33.773) (-3.837,-37.897) (-0.527,-7.253)      2.79242
34    -64.93521 -46.29680   4.35474   3.79295  11.07804 -60.29993       (-34.351,-33.794) (-3.793,-37.863) (-0.562,-7.285)      2.868
35    -64.90155 -46.25589   4.34538   3.74920  11.06593 -60.27103       (-34.390,-33.816) (-3.749,-37.828) (-0.596,-7.317)      2.94411
36    -64.86789 -46.21498   4.33603   3.70545  11.05382 -60.24213       (-34.429,-33.837) (-3.705,-37.794) (-0.631,-7.348)      3.02072
37    -64.83423 -46.17406   4.32667   3.66170  11.04171 -60.21324       (-34.468,-33.859) (-3.662,-37.759) (-0.665,-7.380)      3.09777
38    -64.80057 -46.13315   4.31732   3.61795  11.02960 -60.18434       (-34.507,-33.881) (-3.618,-37.725) (-0.699,-7.412)      3.17526
39    -64.76691 -46.09224   4.30796   3.57420  11.01749 -60.15544       (-34.546,-33.902) (-3.574,-37.690) (-0.734,-7.443)      3.25313
40    -64.73325 -46.05133   4.29861   3.53045  11.00538 -60.12655       (-34.585,-33.924) (-3.530,-37.656) (-0.768,-7.475)      3.33137
41    -64.69959 -46.01042   4.28925   3.48669  10.99327 -60.09765       (-34.624,-33.945) (-3.487,-37.621) (-0.803,-7.507)      3.40994
42    -64.66593 -45.96951   4.27990   3.44294  10.98116 -60.06875       (-34.663,-33.967) (-3.443,-37.587) (-0.837,-7.538)      3.48884
43    -64.63227 -45.92859   4.27054   3.39919  10.96905 -60.03986       (-34.703,-33.988) (-3.399,-37.552) (-0.871,-7.570)      3.56803
44    -64.59861 -45.88768   4.26119   3.35544  10.95694 -60.01096       (-34.742,-34.010) (-3.355,-37.518) (-0.906,-7.602)      3.64749
45    -64.56496 -45.84677   4.25183   3.31169  10.94483 -59.98206       (-34.781,-34.031) (-3.312,-37.483) (-0.940,-7.633)      3.72722
46    -64.53130 -45.80586   4.24248   3.26794  10.93272 -59.95317       (-34.820,-34.053) (-3.268,-37.449) (-0.975,-7.665)      3.80718
47    -64.49764 -45.76495   4.23312   3.22418  10.92061 -59.92427       (-34.859,-34.075) (-3.224,-37.414) (-1.009,-7.696)      3.88738
48    -64.46398 -45.72403   4.22377   3.18043  10.90850 -59.89537       (-34.898,-34.096) (-3.180,-37.380) (-1.043,-7.728)      3.96779
49    -64.43032 -45.68312   4.21441   3.13668  10.89640 -59.86648       (-34.937,-34.118) (-3.137,-37.345) (-1.078,-7.760)      4.0484
50    -64.39666 -45.64221   4.20506   3.09293  10.88429 -59.83758       (-34.976,-34.139) (-3.093,-37.311) (-1.112,-7.791)      4.12919
51    -64.36300 -45.60130   4.19570   3.04918  10.87218 -59.80868       (-35.015,-34.161) (-3.049,-37.276) (-1.147,-7.823)      4.21017
52    -64.32934 -45.56039   4.18635   3.00543  10.86007 -59.77979       (-35.054,-34.182) (-3.005,-37.242) (-1.181,-7.855)      4.29131
