2BOUNDS_2018-03-07.14_54_17.858_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -48.62739 -53.45820   5.16065   6.13110   9.68775 -38.31416       (-36.035,-24.091) (-4.527,-0.970) (-5.161,-11.837)      2.51215e-15
1    -48.61478 -53.40922   5.15032   6.10085   9.67708 -38.28766       (-36.057,-24.110) (-4.527,-0.951) (-5.150,-11.882)      0.0580567
2    -48.60218 -53.36024   5.13998   6.07059   9.66641 -38.26115       (-36.079,-24.129) (-4.526,-0.931) (-5.140,-11.927)      0.116113
3    -48.58957 -53.31126   5.12965   6.04034   9.65574 -38.23465       (-36.101,-24.148) (-4.526,-0.911) (-5.130,-11.972)      0.17417
4    -48.57697 -53.26228   5.11932   6.01009   9.64507 -38.20815       (-36.123,-24.168) (-4.526,-0.891) (-5.119,-12.017)      0.232227
5    -48.56437 -53.21330   5.10899   5.97984   9.63440 -38.18164       (-36.145,-24.187) (-4.525,-0.871) (-5.109,-12.062)      0.290284
6    -48.55176 -53.16432   5.09866   5.94958   9.62373 -38.15514       (-36.166,-24.206) (-4.525,-0.851) (-5.099,-12.107)      0.34834
7    -48.53916 -53.11534   5.08833   5.91933   9.61306 -38.12864       (-36.188,-24.225) (-4.525,-0.831) (-5.088,-12.152)      0.406397
8    -48.52655 -53.06636   5.07799   5.88908   9.60239 -38.10213       (-36.210,-24.244) (-4.524,-0.811) (-5.078,-12.197)      0.464454
9    -48.51395 -53.01738   5.06766   5.85883   9.59173 -38.07563       (-36.232,-24.263) (-4.524,-0.791) (-5.068,-12.242)      0.52251
10    -48.50134 -52.96840   5.05733   5.82857   9.58106 -38.04913       (-36.254,-24.282) (-4.524,-0.771) (-5.057,-12.287)      0.580567
11    -48.48874 -52.91942   5.04700   5.79832   9.57039 -38.02262       (-36.276,-24.301) (-4.523,-0.751) (-5.047,-12.332)      0.638624
12    -48.47613 -52.87044   5.03667   5.76807   9.55972 -37.99612       (-36.298,-24.320) (-4.523,-0.731) (-5.037,-12.377)      0.69668
13    -48.46353 -52.82146   5.02634   5.73782   9.54905 -37.96961       (-36.319,-24.339) (-4.523,-0.711) (-5.026,-12.422)      0.754737
14    -48.45092 -52.77248   5.01601   5.70756   9.53838 -37.94311       (-36.341,-24.358) (-4.522,-0.692) (-5.016,-12.467)      0.812794
15    -48.43832 -52.72350   5.00567   5.67731   9.52771 -37.91661       (-36.363,-24.377) (-4.522,-0.672) (-5.006,-12.512)      0.870851
16    -48.42571 -52.67452   4.99534   5.64706   9.51704 -37.89010       (-36.385,-24.396) (-4.522,-0.652) (-4.995,-12.557)      0.928907
17    -48.41311 -52.62554   4.98501   5.61681   9.50637 -37.86360       (-36.407,-24.415) (-4.521,-0.632) (-4.985,-12.602)      0.986964
18    -48.40051 -52.57656   4.97468   5.58655   9.49571 -37.83710       (-36.429,-24.434) (-4.521,-0.612) (-4.975,-12.647)      1.04502
19    -48.38790 -52.52758   4.96435   5.55630   9.48504 -37.81059       (-36.451,-24.453) (-4.521,-0.592) (-4.964,-12.692)      1.10308
20    -48.37530 -52.47860   4.95402   5.52605   9.47437 -37.78409       (-36.472,-24.473) (-4.520,-0.572) (-4.954,-12.737)      1.16113
21    -48.36269 -52.42962   4.94368   5.49580   9.46370 -37.75759       (-36.494,-24.492) (-4.520,-0.552) (-4.944,-12.782)      1.21919
22    -48.35009 -52.38064   4.93335   5.46554   9.45303 -37.73108       (-36.516,-24.511) (-4.520,-0.532) (-4.933,-12.827)      1.27725
23    -48.33748 -52.33166   4.92302   5.43529   9.44236 -37.70458       (-36.538,-24.530) (-4.519,-0.512) (-4.923,-12.872)      1.3353
24    -48.32488 -52.28268   4.91269   5.40504   9.43169 -37.67808       (-36.560,-24.549) (-4.519,-0.492) (-4.913,-12.917)      1.39336
25    -48.31227 -52.23370   4.90236   5.37478   9.42102 -37.65157       (-36.582,-24.568) (-4.519,-0.472) (-4.902,-12.962)      1.45142
26    -48.29967 -52.18472   4.89203   5.34453   9.41036 -37.62507       (-36.604,-24.587) (-4.518,-0.453) (-4.892,-13.007)      1.50947
27    -48.28706 -52.13574   4.88169   5.31428   9.39969 -37.59857       (-36.625,-24.606) (-4.518,-0.433) (-4.882,-13.052)      1.56753
28    -48.27446 -52.08676   4.87136   5.28403   9.38902 -37.57206       (-36.647,-24.625) (-4.518,-0.413) (-4.871,-13.097)      1.62559
29    -48.26185 -52.03778   4.86103   5.25377   9.37835 -37.54556       (-36.669,-24.644) (-4.517,-0.393) (-4.861,-13.142)      1.68364
30    -48.24925 -51.98880   4.85070   5.22352   9.36768 -37.51905       (-36.691,-24.663) (-4.517,-0.373) (-4.851,-13.187)      1.7417
31    -48.23664 -51.93982   4.84037   5.19327   9.35701 -37.49255       (-36.713,-24.682) (-4.517,-0.353) (-4.840,-13.232)      1.79976
32    -48.22404 -51.89084   4.83004   5.16302   9.34634 -37.46605       (-36.735,-24.701) (-4.516,-0.333) (-4.830,-13.277)      1.85781
33    -48.21144 -51.84186   4.81970   5.13276   9.33567 -37.43954       (-36.757,-24.720) (-4.516,-0.313) (-4.820,-13.322)      1.91587
