Fol_.0_.txt     Output is probe cell, reduced cell, NCDist distance between
0    3353.15029 1503.68630 2361.54010 -5157.10190 -13432.63679 -7968.37829       (-2649.089,-211.811) (-857.854,-567.989) (-222.211,-616.245)      0
1    3347.14204 1501.32240 2358.95376 -5152.15166 -13419.75927 -7961.01880       (-2651.259,-209.447) (-857.631,-569.294) (-224.797,-623.044)      8.05983
2    3341.13379 1498.95850 2356.36742 -5147.20142 -13406.88174 -7953.65931       (-2653.429,-207.083) (-857.409,-570.600) (-227.384,-629.842)      16.1197
3    3335.12555 1496.59459 2353.78109 -5142.25118 -13394.00422 -7946.29981       (-2655.599,-204.719) (-857.186,-571.906) (-229.970,-636.641)      24.1795
4    3329.11730 1494.23069 2351.19475 -5137.30094 -13381.12669 -7938.94032       (-2657.769,-202.355) (-856.964,-573.212) (-232.556,-643.439)      32.2393
5    3323.10905 1491.86678 2348.60841 -5132.35070 -13368.24916 -7931.58083       (-2659.939,-199.991) (-856.742,-574.518) (-235.143,-650.238)      40.2992
6    3317.10081 1489.50288 2346.02207 -5127.40046 -13355.37164 -7924.22134       (-2662.110,-197.627) (-856.519,-575.824) (-237.729,-657.036)      48.359
7    3311.09256 1487.13898 2343.43574 -5122.45021 -13342.49411 -7916.86184       (-2664.280,-195.263) (-856.297,-577.130) (-240.315,-663.835)      56.4188
8    3305.08431 1484.77507 2340.84940 -5117.49997 -13329.61659 -7909.50235       (-2666.450,-192.900) (-856.074,-578.436) (-242.902,-670.633)      64.4787
9    3299.07606 1482.41117 2338.26306 -5112.54973 -13316.73906 -7902.14286       (-2668.620,-190.536) (-855.852,-579.742) (-245.488,-677.431)      72.5385
10    3293.06782 1480.04726 2335.67672 -5107.59949 -13303.86154 -7894.78337       (-2670.790,-188.172) (-855.629,-581.048) (-248.074,-684.230)      80.5983
11    3287.05957 1477.68336 2333.09039 -5102.64925 -13290.98401 -7887.42387       (-2672.960,-185.808) (-855.407,-582.353) (-250.661,-691.028)      88.6582
12    3281.05132 1475.31946 2330.50405 -5097.69901 -13278.10648 -7880.06438       (-2675.131,-183.444) (-855.185,-583.659) (-253.247,-697.827)      96.718
13    3275.04308 1472.95555 2327.91771 -5092.74877 -13265.22896 -7872.70489       (-2677.301,-181.080) (-854.962,-584.965) (-255.833,-704.625)      104.778
14    3269.03483 1470.59165 2325.33137 -5087.79852 -13252.35143 -7865.34539       (-2679.471,-178.716) (-854.740,-586.271) (-258.420,-711.424)      112.838
15    3263.02658 1468.22774 2322.74504 -5082.84828 -13239.47391 -7857.98590       (-2681.641,-176.352) (-854.517,-587.577) (-261.006,-718.222)      120.897
16    3257.01833 1465.86384 2320.15870 -5077.89804 -13226.59638 -7850.62641       (-2683.811,-173.988) (-854.295,-588.883) (-263.592,-725.021)      128.957
17    3251.01009 1463.49994 2317.57236 -5072.94780 -13213.71886 -7843.26692       (-2685.981,-171.624) (-854.072,-590.189) (-266.179,-731.819)      137.017
18    3245.00184 1461.13603 2314.98602 -5067.99756 -13200.84133 -7835.90742       (-2688.152,-169.261) (-853.850,-591.495) (-268.765,-738.618)      145.077
19    3238.99359 1458.77213 2312.39969 -5063.04732 -13187.96380 -7828.54793       (-2690.322,-166.897) (-853.628,-592.801) (-271.351,-745.416)      153.137
20    3232.98535 1456.40822 2309.81335 -5058.09708 -13175.08628 -7821.18844       (-2692.492,-164.533) (-853.405,-594.107) (-273.938,-752.215)      161.197
21    3226.97710 1454.04432 2307.22701 -5053.14684 -13162.20875 -7813.82895       (-2694.662,-162.169) (-853.183,-595.412) (-276.524,-759.013)      169.256
22    3220.96885 1451.68042 2304.64068 -5048.19659 -13149.33123 -7806.46945       (-2696.832,-159.805) (-852.960,-596.718) (-279.110,-765.812)      177.316
23    3214.96060 1449.31651 2302.05434 -5043.24635 -13136.45370 -7799.10996       (-2699.003,-157.441) (-852.738,-598.024) (-281.697,-772.610)      185.376
24    3208.95236 1446.95261 2299.46800 -5038.29611 -13123.57618 -7791.75047       (-2701.173,-155.077) (-852.515,-599.330) (-284.283,-779.409)      193.436
25    3202.94411 1444.58870 2296.88166 -5033.34587 -13110.69865 -7784.39098       (-2703.343,-152.713) (-852.293,-600.636) (-286.869,-786.207)      201.496
26    3196.93586 1442.22480 2294.29533 -5028.39563 -13097.82112 -7777.03148       (-2705.513,-150.349) (-852.071,-601.942) (-289.456,-793.005)      209.556
27    3190.92762 1439.86090 2291.70899 -5023.44539 -13084.94360 -7769.67199       (-2707.683,-147.985) (-851.848,-603.248) (-292.042,-799.804)      217.615
28    3184.91937 1437.49699 2289.12265 -5018.49515 -13072.06607 -7762.31250       (-2709.853,-145.621) (-851.626,-604.554) (-294.628,-806.602)      225.675
