10PERCENT_2018-03-07.11_26_52.316_.txt     Output is probe cell, reduced cell, NCDist distance between
0     -2.12036 -28.24607  17.20708 -40.81454 -26.66128 -25.99537       (-2.744,-0.624) (-5.318,-2.888) (-23.381,-29.612)      3.55271e-15
1     -2.12098 -28.22312  17.16645 -40.77431 -26.63748 -25.99899       (-2.586,-0.465) (-5.552,-2.988) (-23.516,-29.775)      0.399261
2     -2.12161 -28.20017  17.12582 -40.73408 -26.61368 -26.00261       (-2.429,-0.307) (-5.786,-3.088) (-23.650,-29.939)      0.798522
3     -2.12223 -28.17722  17.08519 -40.69385 -26.58989 -26.00623       (-2.271,-0.149) (-6.020,-3.187) (-23.784,-30.102)      1.19778
4     -2.12286 -28.15427  17.04456 -40.65362 -26.56609 -26.00985       (-2.123,-0.010) (-23.909,-3.277) (-6.244,-30.256)      1.57761
5     -2.12348 -28.13132  17.00393 -40.61339 -26.54229 -26.01347       (-2.123,-0.168) (-23.884,-3.219) (-6.320,-30.260)      1.67296
6     -2.12411 -28.10837  16.96331 -40.57316 -26.51850 -26.01710       (-2.124,-0.327) (-23.860,-3.160) (-6.395,-30.265)      1.78282
7     -2.12473 -28.08542  16.92268 -40.53293 -26.49470 -26.02072       (-2.125,-0.485) (-23.836,-3.101) (-6.471,-30.270)      1.90469
8     -2.12536 -28.06247  16.88205 -40.49270 -26.47090 -26.02434       (-2.125,-0.644) (-23.812,-3.042) (-6.546,-30.275)      2.03642
9     -2.12598 -28.03952  16.84142 -40.45247 -26.44711 -26.02796       (-2.126,-0.802) (-23.788,-2.984) (-6.622,-30.280)      2.17621
10     -2.12660 -28.01656  16.80079 -40.41223 -26.42331 -26.03158       (-2.127,-0.961) (-23.763,-2.925) (-6.697,-30.285)      2.3226
11     -2.12723 -27.99361  16.76016 -40.37200 -26.39951 -26.03520       (-2.127,-1.119) (-23.739,-2.866) (-6.773,-30.290)      2.47444
12     -2.12785 -27.97066  16.71953 -40.33177 -26.37571 -26.03882       (-2.128,-1.277) (-23.715,-2.808) (-6.849,-30.295)      2.63077
13     -2.12848 -27.94771  16.67890 -40.29154 -26.35192 -26.04244       (-2.128,-1.436) (-23.691,-2.749) (-6.924,-30.299)      2.79084
14     -2.12910 -27.92476  16.63827 -40.25131 -26.32812 -26.04606       (-2.129,-1.594) (-23.667,-2.690) (-7.000,-30.304)      2.95404
15     -2.12973 -27.90181  16.59764 -40.21108 -26.30432 -26.04968       (-2.130,-1.753) (-23.642,-2.632) (-7.075,-30.309)      3.11988
