Fol_2018-04-23.15_12_08.1_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -12.53537  16.43158 -19.24833 -13.50885 -22.60344 -40.28080       (-13.297,-6.819) (-2.923,-12.922) (-22.474,-0.106)      5.0243e-15
1    -12.63577  16.13129 -19.08343 -13.37347 -22.44400 -40.00445       (-2.563,-6.059) (-13.568,-14.319) (-23.505,-0.194)      1.94938
2    -12.73616  15.83100 -18.91852 -13.23809 -22.28456 -39.72811       (-2.098,-5.193) (-13.733,-15.609) (-24.642,-0.495)      3.94725
3    -12.83656  15.53071 -18.75362 -13.10270 -22.12512 -39.45176       (-1.633,-4.327) (-13.898,-16.900) (-25.778,-0.795)      5.95342
4    -12.93695  15.23042 -18.58871 -12.96732 -21.96568 -39.17541       (-1.168,-3.461) (-14.063,-18.190) (-26.915,-1.095)      7.96161
5    -13.03734  14.93014 -18.42381 -12.83194 -21.80624 -38.89906       (-2.596,-0.703) (-19.481,-14.227) (-28.052,-1.395)      9.97061
6    -13.13774  14.62985 -18.25890 -12.69655 -21.64680 -38.62271       (-1.730,-0.238) (-20.771,-14.392) (-29.188,-1.696)      11.98
7    -13.23813  14.32956 -18.09400 -12.56117 -21.48736 -38.34636       (-0.228,-1.091) (-14.330,-30.097) (-21.834,-1.768)      12.7219
8    -13.33853  14.02927 -17.92909 -12.42579 -21.32793 -38.07001       (-0.693,-0.691) (-14.029,-30.769) (-22.659,-1.603)      13.7914
9    -13.43892  13.72899 -17.76419 -12.29041 -21.16849 -37.79366       (-1.158,-0.290) (-13.729,-31.440) (-23.485,-1.439)      14.8933
10    -13.53932  13.42870 -17.59928 -12.15502 -21.00905 -37.51731       (-1.734,-0.111) (-24.199,-32.001) (-13.318,-1.163)      15.8847
11    -13.63971  13.12841 -17.43438 -12.01964 -20.84961 -37.24096       (-2.600,-0.511) (-24.624,-32.272) (-12.617,-0.597)      15.9605
12    -13.74011  12.82812 -17.26947 -11.88426 -20.69017 -36.96461       (-3.466,-0.912) (-25.048,-32.543) (-11.916,-0.032)      16.1587
13    -13.84050  12.52783 -17.10457 -11.74888 -20.53073 -36.68826       (-24.939,-0.779) (-3.798,-32.280) (-11.749,-0.534)      15.7592
14    -13.94090  12.22755 -16.93966 -11.61349 -20.37129 -36.41191       (-24.798,-0.614) (-4.098,-31.985) (-11.613,-1.099)      15.3437
15    -14.04129  11.92726 -16.77476 -11.47811 -20.21185 -36.13556       (-24.657,-0.449) (-4.398,-31.690) (-11.478,-1.665)      14.9543
16    -14.14168  11.62697 -16.60985 -11.34273 -20.05241 -35.85921       (-24.516,-0.284) (-4.699,-31.395) (-11.343,-2.230)      14.5931
17    -14.24208  11.32668 -16.44495 -11.20735 -19.89297 -35.58286       (-24.376,-0.119) (-4.999,-31.100) (-11.207,-2.796)      14.2622
18    -14.34247  11.02640 -16.28004 -11.07196 -19.73353 -35.30651       (-24.280,-0.046) (-11.026,-30.760) (-5.254,-3.316)      13.9822
19    -14.44287  10.72611 -16.11514 -10.93658 -19.57409 -35.03016       (-24.304,-0.210) (-10.726,-30.300) (-5.389,-3.717)      13.784
20    -14.54326  10.42582 -15.95023 -10.80120 -19.41465 -34.75381       (-24.328,-0.375) (-10.426,-29.840) (-5.524,-4.117)      13.6202
21    -14.64366  10.12553 -15.78533 -10.66581 -19.25521 -34.47746       (-24.352,-0.540) (-10.126,-29.381) (-5.660,-4.518)      13.4921
22    -14.74405   9.82524 -15.62042 -10.53043 -19.09577 -34.20111       (-24.376,-0.705) (-9.825,-28.921) (-5.795,-4.919)      13.4008
23    -14.84445   9.52496 -15.45552 -10.39505 -18.93633 -33.92476       (-24.400,-0.870) (-9.525,-28.461) (-5.931,-5.319)      13.3471
24    -14.94484   9.22467 -15.29061 -10.25967 -18.77689 -33.64841       (-24.424,-1.035) (-9.225,-28.002) (-6.066,-5.720)      13.3312
25    -15.04524   8.92438 -15.12571 -10.12428 -18.61745 -33.37206       (-24.448,-1.200) (-8.924,-27.542) (-6.201,-6.121)      13.3535
26    -15.14563   8.62409 -14.96080  -9.98890 -18.45801 -33.09571       (-24.472,-1.365) (-8.624,-27.082) (-6.337,-6.522)      13.4136
27    -15.24603   8.32380 -14.79590  -9.85352 -18.29857 -32.81936       (-24.496,-1.530) (-8.324,-26.622) (-6.472,-6.922)      13.5112
28    -15.34642   8.02352 -14.63099  -9.71814 -18.13913 -32.54301       (-24.519,-1.695) (-8.024,-26.163) (-6.607,-7.323)      13.6453
29    -15.44681   7.72323 -14.46608  -9.58275 -17.97970 -32.26666       (-24.543,-1.860) (-7.723,-25.703) (-6.743,-7.724)      13.815
30    -15.54721   7.42294 -14.30118  -9.44737 -17.82026 -31.99031       (-24.567,-2.024) (-7.423,-25.243) (-6.878,-8.124)      14.0189
31    -15.64760   7.12265 -14.13627  -9.31199 -17.66082 -31.71396       (-24.591,-2.189) (-7.123,-24.783) (-7.014,-8.525)      14.2555
32    -15.74800   6.82237 -13.97137  -9.17661 -17.50138 -31.43761       (-24.615,-2.354) (-6.822,-24.324) (-7.149,-8.926)      14.0384
33    -15.84839   6.52208 -13.80646  -9.04122 -17.34194 -31.16126       (-24.639,-2.519) (-6.522,-23.864) (-7.284,-9.326)      13.6245
34    -15.94879   6.22179 -13.64156  -8.90584 -17.18250 -30.88491       (-24.663,-2.684) (-6.222,-23.404) (-7.420,-9.727)      13.2361
