Fol_.12_.txt     Output is probe cell, reduced cell, NCDist distance between
0    311.47621 483.94424 -1847.87142 -3039.22353 650.50549 -4844.51219       (-349.689,-3.551) (-1378.741,-479.132) (-460.109,-72.541)      0
1    311.09180 483.10977 -1846.50131 -3036.64183 649.85078 -4841.04295       (-355.548,-7.233) (-1388.860,-480.879) (-454.627,-68.151)      14.2362
2    310.70740 482.27530 -1845.13120 -3034.06014 649.19607 -4837.57371       (-361.407,-10.914) (-1398.980,-482.626) (-449.145,-63.762)      28.4724
3    310.32300 481.44083 -1843.76109 -3031.47844 648.54136 -4834.10447       (-367.267,-14.596) (-1409.100,-484.374) (-443.663,-59.372)      42.7086
4    309.93860 480.60637 -1842.39098 -3028.89674 647.88665 -4830.63523       (-373.126,-18.277) (-1419.220,-486.121) (-438.180,-54.982)      56.9448
5    309.55420 479.77190 -1841.02087 -3026.31505 647.23193 -4827.16599       (-378.985,-21.959) (-1429.340,-487.868) (-432.698,-50.593)      71.181
6    309.16980 478.93743 -1839.65076 -3023.73335 646.57722 -4823.69675       (-384.844,-25.640) (-1439.459,-489.615) (-427.216,-46.203)      85.4173
7    308.78540 478.10296 -1838.28065 -3021.15165 645.92251 -4820.22751       (-390.704,-29.322) (-1449.579,-491.363) (-421.734,-41.814)      99.6535
8    308.40099 477.26850 -1836.91054 -3018.56996 645.26780 -4816.75826       (-396.563,-33.003) (-1459.699,-493.110) (-416.252,-37.424)      113.89
9    308.01659 476.43403 -1835.54043 -3015.98826 644.61309 -4813.28902       (-402.422,-36.685) (-1469.819,-494.857) (-410.770,-33.034)      128.126
10    307.63219 475.59956 -1834.17032 -3013.40657 643.95838 -4809.81978       (-408.281,-40.366) (-1479.939,-496.604) (-405.288,-28.645)      134.121
11    307.24779 474.76509 -1832.80021 -3010.82487 643.30367 -4806.35054       (-414.141,-44.048) (-1490.058,-498.351) (-399.806,-24.255)      136.478
12    306.86339 473.93063 -1831.43010 -3008.24317 642.64895 -4802.88130       (-420.000,-47.729) (-1500.178,-500.099) (-394.323,-19.865)      140.248
13    306.47899 473.09616 -1830.05999 -3005.66148 641.99424 -4799.41206       (-425.859,-51.411) (-1510.298,-501.846) (-388.841,-15.476)      145.32
14    306.09459 472.26169 -1828.68988 -3003.07978 641.33953 -4795.94282       (-431.718,-55.092) (-1520.418,-503.593) (-383.359,-11.086)      151.564
15    305.71019 471.42722 -1827.31977 -3000.49808 640.68482 -4792.47358       (-437.577,-58.774) (-1530.538,-505.340) (-377.877,-6.697)      158.842
16    305.32578 470.59276 -1825.94966 -2997.91639 640.03011 -4789.00434       (-443.437,-62.455) (-1540.657,-507.088) (-372.395,-2.307)      167.019
17    304.94138 469.75829 -1824.57955 -2995.33469 639.37540 -4785.53510       (-1548.695,-64.054) (-447.213,-506.752) (-368.995,-2.083)      174.04
18    304.55698 468.92382 -1823.20945 -2992.75300 638.72069 -4782.06586       (-1554.425,-63.346) (-448.683,-504.110) (-367.903,-6.472)      179.265
19    304.17258 468.08935 -1821.83934 -2990.17130 638.06597 -4778.59662       (-1560.155,-62.638) (-450.153,-501.467) (-366.810,-10.862)      184.684
20    303.78818 467.25489 -1820.46923 -2987.58960 637.41126 -4775.12738       (-1565.885,-61.930) (-451.622,-498.825) (-365.718,-15.251)      190.279
21    303.40378 466.42042 -1819.09912 -2985.00791 636.75655 -4771.65813       (-1571.615,-61.222) (-453.092,-496.183) (-364.625,-19.641)      196.035
22    303.01938 465.58595 -1817.72901 -2982.42621 636.10184 -4768.18889       (-1577.345,-60.513) (-454.562,-493.540) (-363.533,-24.031)      201.939
23    302.63497 464.75148 -1816.35890 -2979.84451 635.44713 -4764.71965       (-1583.076,-59.805) (-456.031,-490.898) (-362.440,-28.420)      207.978
