Fol_.24_.txt     Output is probe cell, reduced cell, NCDist distance between
0    3419.96826 -319.91022 -488.80543 229.21621 -9290.88523 -7370.97791       (-850.952,-90.694) (-3100.058,-168.895) (-2770.859,-319.910)      4.54747e-13
1    3416.22464 -322.69315 -488.40692 226.21313 -9281.75411 -7364.45136       (-854.695,-96.480) (-3093.531,-165.714) (-2771.998,-322.693)      10.4524
2    3412.48102 -325.47608 -488.00841 223.21005 -9272.62299 -7357.92480       (-858.439,-102.266) (-3087.005,-162.532) (-2773.137,-325.476)      20.9048
3    3408.73740 -328.25901 -487.60990 220.20697 -9263.49187 -7351.39825       (-862.182,-108.052) (-3080.478,-159.351) (-2774.276,-328.259)      31.3571
4    3404.99378 -331.04194 -487.21139 217.20389 -9254.36074 -7344.87170       (-865.926,-113.838) (-3073.952,-156.169) (-2775.415,-331.042)      41.8095
5    3401.25015 -333.82488 -486.81288 214.20082 -9245.22962 -7338.34515       (-869.670,-119.624) (-3067.425,-152.988) (-2776.554,-333.825)      52.2619
6    3397.50653 -336.60781 -486.41437 211.19774 -9236.09850 -7331.81859       (-873.413,-125.410) (-3060.899,-149.807) (-2777.693,-336.608)      62.7143
7    3393.76291 -339.39074 -486.01586 208.19466 -9226.96738 -7325.29204       (-877.157,-131.196) (-3054.372,-146.625) (-2778.832,-339.391)      73.1666
8    3390.01929 -342.17367 -485.61735 205.19158 -9217.83626 -7318.76549       (-880.901,-136.982) (-3047.846,-143.444) (-2779.971,-342.174)      83.619
9    3386.27566 -344.95660 -485.21884 202.18850 -9208.70514 -7312.23893       (-884.644,-142.768) (-3041.319,-140.262) (-2781.110,-344.957)      94.0714
10    3382.53204 -347.73953 -484.82033 199.18542 -9199.57402 -7305.71238       (-888.388,-148.554) (-3034.793,-137.081) (-2782.249,-347.740)      104.524
11    3378.78842 -350.52246 -484.42182 196.18235 -9190.44290 -7299.18583       (-892.131,-154.340) (-3028.266,-133.899) (-2783.389,-350.522)      114.976
12    3375.04480 -353.30539 -484.02331 193.17927 -9181.31178 -7292.65928       (-895.875,-160.126) (-3021.739,-130.718) (-2784.528,-353.305)      125.429
13    3371.30118 -356.08832 -483.62480 190.17619 -9172.18065 -7286.13272       (-899.619,-165.912) (-3015.213,-127.536) (-2785.667,-356.088)      135.881
14    3367.55755 -358.87125 -483.22630 187.17311 -9163.04953 -7279.60617       (-903.362,-171.698) (-3008.686,-124.355) (-2786.806,-358.871)      146.333
15    3363.81393 -361.65418 -482.82779 184.17003 -9153.91841 -7273.07962       (-907.106,-177.484) (-3002.160,-121.174) (-2787.945,-361.654)      156.786
16    3360.07031 -364.43711 -482.42928 181.16695 -9144.78729 -7266.55306       (-910.850,-183.270) (-2995.633,-117.992) (-2789.084,-364.437)      167.238
17    3356.32669 -367.22004 -482.03077 178.16388 -9135.65617 -7260.02651       (-914.593,-189.056) (-2989.107,-114.811) (-2790.223,-367.220)      177.69
18    3352.58307 -370.00297 -481.63226 175.16080 -9126.52505 -7253.49996       (-918.337,-194.842) (-2982.580,-111.629) (-2791.362,-370.003)      188.143
19    3348.83944 -372.78591 -481.23375 172.15772 -9117.39393 -7246.97341       (-922.080,-200.628) (-2976.054,-108.448) (-2792.501,-372.786)      198.595
20    3345.09582 -375.56884 -480.83524 169.15464 -9108.26281 -7240.44685       (-925.824,-206.414) (-2969.527,-105.266) (-2793.640,-375.569)      209.048
21    3341.35220 -378.35177 -480.43673 166.15156 -9099.13169 -7233.92030       (-929.568,-212.200) (-2963.000,-102.085) (-2794.779,-378.352)      219.5
22    3337.60858 -381.13470 -480.03822 163.14849 -9090.00056 -7227.39375       (-933.311,-217.986) (-2956.474,-98.904) (-2795.918,-381.135)      229.952
23    3333.86496 -383.91763 -479.63971 160.14541 -9080.86944 -7220.86719       (-937.055,-223.772) (-2949.947,-95.722) (-2797.057,-383.918)      240.405
24    3330.12133 -386.70056 -479.24120 157.14233 -9071.73832 -7214.34064       (-940.799,-229.558) (-2943.421,-92.541) (-2798.196,-386.701)      250.857
25    3326.37771 -389.48349 -478.84269 154.13925 -9062.60720 -7207.81409       (-944.542,-235.344) (-2936.894,-89.359) (-2799.335,-389.483)      261.309
26    3322.63409 -392.26642 -478.44418 151.13617 -9053.47608 -7201.28754       (-948.286,-241.130) (-2930.368,-86.178) (-2800.474,-392.266)      271.762
27    3318.89047 -395.04935 -478.04567 148.13309 -9044.34496 -7194.76098       (-952.029,-246.916) (-2923.841,-82.996) (-2801.613,-395.049)      282.214
28    3315.14684 -397.83228 -477.64716 145.13002 -9035.21384 -7188.23443       (-955.773,-252.702) (-2917.315,-79.815) (-2802.752,-397.832)      292.667
29    3311.40322 -400.61521 -477.24865 142.12694 -9026.08272 -7181.70788       (-959.517,-258.488) (-2910.788,-76.633) (-2803.891,-400.615)      303.119
30    3307.65960 -403.39814 -476.85014 139.12386 -9016.95160 -7175.18132       (-963.260,-264.274) (-2904.261,-73.452) (-2805.031,-403.398)      313.571
31    3303.91598 -406.18107 -476.45163 136.12078 -9007.82047 -7168.65477       (-967.004,-270.060) (-2897.735,-70.271) (-2806.170,-406.181)      324.024
32    3300.17236 -408.96401 -476.05312 133.11770 -8998.68935 -7162.12822       (-970.748,-275.846) (-2891.208,-67.089) (-2807.309,-408.964)      334.476
33    3296.42873 -411.74694 -475.65461 130.11463 -8989.55823 -7155.60167       (-974.491,-281.632) (-2884.682,-63.908) (-2808.448,-411.747)      344.928
34    3292.68511 -414.52987 -475.25610 127.11155 -8980.42711 -7149.07511       (-978.235,-287.418) (-2878.155,-60.726) (-2809.587,-414.530)      355.381
35    3288.94149 -417.31280 -474.85759 124.10847 -8971.29599 -7142.54856       (-981.978,-293.204) (-2871.629,-57.545) (-2810.726,-417.313)      365.833
