Fol_2018-04-30.17_40_21.4_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -11.66012   0.12255 -47.91169  15.21444 -32.38872 -58.96646       (-58.966,-17.238) (-0.123,-1.960) (-15.214,-11.415)      0
1    -11.65764   0.12007 -47.60185  14.90708 -32.08135 -58.96646       (-58.966,-17.548) (-0.120,-2.267) (-14.907,-11.417)      0
2    -11.65517   0.11760 -47.29201  14.59972 -31.77399 -58.96646       (-58.966,-17.857) (-0.118,-2.575) (-14.600,-11.420)      0
3    -11.65269   0.11512 -46.98218  14.29236 -31.46663 -58.96646       (-58.966,-18.167) (-0.115,-2.882) (-14.292,-11.422)      0
4    -11.65021   0.11265 -46.67234  13.98499 -31.15927 -58.96646       (-58.966,-18.477) (-0.113,-3.189) (-13.985,-11.425)      0
5    -11.64774   0.11017 -46.36250  13.67763 -30.85190 -58.96646       (-58.966,-18.787) (-0.110,-3.497) (-13.678,-11.427)      0
6    -11.64526   0.10769 -46.05266  13.37027 -30.54454 -58.96646       (-58.966,-19.097) (-0.108,-3.804) (-13.370,-11.430)      0
7    -11.64279   0.10522 -45.74282  13.06291 -30.23718 -58.96646       (-58.966,-19.407) (-0.105,-4.111) (-13.063,-11.432)      0
8    -11.64031   0.10274 -45.43298  12.75554 -29.92982 -58.96646       (-58.966,-19.716) (-0.103,-4.419) (-12.756,-11.435)      0
9    -11.63784   0.10027 -45.12315  12.44818 -29.62245 -58.96646       (-58.966,-20.026) (-0.100,-4.726) (-12.448,-11.437)      0
10    -11.63536   0.09779 -44.81331  12.14082 -29.31509 -58.96646       (-58.966,-20.336) (-0.098,-5.033) (-12.141,-11.440)      0
11    -11.63288   0.09532 -44.50347  11.83346 -29.00773 -58.96646       (-58.966,-20.646) (-0.095,-5.341) (-11.833,-11.442)      0
12    -11.63041   0.09284 -44.19363  11.52609 -28.70037 -58.96646       (-58.966,-20.956) (-0.093,-5.648) (-11.526,-11.445)      0
13    -11.62793   0.09036 -43.88379  11.21873 -28.39300 -58.96646       (-58.966,-21.266) (-0.090,-5.956) (-11.219,-11.447)      0
14    -11.62546   0.08789 -43.57396  10.91137 -28.08564 -58.96646       (-58.966,-21.575) (-0.088,-6.263) (-10.911,-11.450)      0
15    -11.62298   0.08541 -43.26412  10.60401 -27.77828 -58.96646       (-58.966,-21.885) (-0.085,-6.570) (-10.604,-11.452)      0
16    -11.62051   0.08294 -42.95428  10.29664 -27.47092 -58.96646       (-58.966,-22.195) (-0.083,-6.878) (-10.297,-11.455)      0
17    -11.61803   0.08046 -42.64444   9.98928 -27.16355 -58.96646       (-58.966,-22.505) (-0.080,-7.185) (-9.989,-11.457)      0
18    -11.61555   0.07799 -42.33460   9.68192 -26.85619 -58.96646       (-58.966,-22.815) (-0.078,-7.492) (-9.682,-11.460)      0
19    -11.61308   0.07551 -42.02476   9.37456 -26.54883 -58.96646       (-58.966,-23.125) (-0.076,-7.800) (-9.375,-11.462)      0
20    -11.61060   0.07303 -41.71493   9.06719 -26.24147 -58.96646       (-58.966,-23.434) (-0.073,-8.107) (-9.067,-11.465)      0
21    -11.60813   0.07056 -41.40509   8.75983 -25.93410 -58.96646       (-58.966,-23.744) (-0.071,-8.414) (-8.760,-11.467)      0
22    -11.60565   0.06808 -41.09525   8.45247 -25.62674 -58.96646       (-58.966,-24.054) (-0.068,-8.722) (-8.452,-11.469)      0
23    -11.60318   0.06561 -40.78541   8.14511 -25.31938 -58.96646       (-58.966,-24.364) (-0.066,-9.029) (-8.145,-11.472)      0
24    -11.60070   0.06313 -40.47557   7.83774 -25.01202 -58.96646       (-58.966,-24.674) (-0.063,-9.337) (-7.838,-11.474)      0
25    -11.59822   0.06066 -40.16574   7.53038 -24.70465 -58.96646       (-58.966,-24.984) (-0.061,-9.644) (-7.530,-11.477)      0
26    -11.59575   0.05818 -39.85590   7.22302 -24.39729 -58.96646       (-58.966,-25.294) (-0.058,-9.951) (-7.223,-11.479)      0
27    -11.59327   0.05570 -39.54606   6.91566 -24.08993 -58.96646       (-58.966,-25.603) (-0.056,-10.259) (-6.916,-11.482)      0
28    -11.59080   0.05323 -39.23622   6.60829 -23.78257 -58.96646       (-58.966,-25.913) (-0.053,-10.566) (-6.608,-11.484)      0
29    -11.58832   0.05075 -38.92638   6.30093 -23.47520 -58.96646       (-58.966,-26.223) (-0.051,-10.873) (-6.301,-11.487)      0
30    -11.58585   0.04828 -38.61654   5.99357 -23.16784 -58.96646       (-58.966,-26.533) (-0.048,-11.181) (-5.994,-11.489)      0
31    -11.58337   0.04580 -38.30671   5.68621 -22.86048 -58.96646       (-58.966,-26.843) (-0.046,-11.488) (-5.686,-11.492)      0
32    -11.58089   0.04333 -37.99687   5.37884 -22.55312 -58.96646       (-58.966,-27.153) (-0.043,-11.795) (-5.379,-11.494)      0
33    -11.57842   0.04085 -37.68703   5.07148 -22.24575 -58.96646       (-58.966,-27.462) (-0.041,-12.103) (-5.071,-11.497)      0
34    -11.57594   0.03837 -37.37719   4.76412 -21.93839 -58.96646       (-58.966,-27.772) (-0.038,-12.410) (-4.764,-11.499)      0
35    -11.57347   0.03590 -37.06735   4.45676 -21.63103 -58.96646       (-58.966,-28.082) (-0.036,-12.718) (-4.457,-11.502)      0
36    -11.57099   0.03342 -36.75752   4.14939 -21.32367 -58.96646       (-58.966,-28.392) (-0.033,-13.025) (-4.149,-11.504)      0
37    -11.56852   0.03095 -36.44768   3.84203 -21.01630 -58.96646       (-58.966,-28.702) (-0.031,-13.332) (-3.842,-11.507)      0
38    -11.56604   0.02847 -36.13784   3.53467 -20.70894 -58.96646       (-58.966,-29.012) (-0.028,-13.640) (-3.535,-11.509)      0
39    -11.56356   0.02600 -35.82800   3.22731 -20.40158 -58.96646       (-58.966,-29.321) (-0.026,-13.947) (-3.227,-11.512)      0
40    -11.56109   0.02352 -35.51816   2.91994 -20.09422 -58.96646       (-58.966,-29.631) (-0.024,-14.254) (-2.920,-11.514)      0
41    -11.55861   0.02104 -35.20832   2.61258 -19.78685 -58.96646       (-58.966,-29.941) (-0.021,-14.562) (-2.613,-11.517)      0
42    -11.55614   0.01857 -34.89849   2.30522 -19.47949 -58.96646       (-58.966,-30.251) (-0.019,-14.869) (-2.305,-11.519)      0
43    -11.55366   0.01609 -34.58865   1.99786 -19.17213 -58.96646       (-58.966,-30.561) (-0.016,-15.176) (-1.998,-11.521)      0
44    -11.55119   0.01362 -34.27881   1.69049 -18.86477 -58.96646       (-58.966,-30.871) (-0.014,-15.484) (-1.690,-11.524)      0
45    -11.54871   0.01114 -33.96897   1.38313 -18.55741 -58.96646       (-58.966,-31.180) (-0.011,-15.791) (-1.383,-11.526)      0
46    -11.54623   0.00867 -33.65913   1.07577 -18.25004 -58.96646       (-58.966,-31.490) (-0.009,-16.099) (-1.076,-11.529)      0
47    -11.54376   0.00619 -33.34930   0.76841 -17.94268 -58.96646       (-58.966,-31.800) (-0.006,-16.406) (-0.768,-11.531)      0
48    -11.54128   0.00371 -33.03946   0.46104 -17.63532 -58.96646       (-58.966,-32.110) (-0.004,-16.713) (-0.461,-11.534)      0
49    -11.53881   0.00124 -32.72962   0.15368 -17.32796 -58.96646       (-58.966,-32.420) (-0.001,-17.021) (-0.154,-11.536)      0
50    -11.53633  -0.00124 -32.41978  -0.15368 -17.02059 -58.96646       (-11.536,-0.154) (-0.001,-17.021) (-32.420,-58.966)      0
51    -11.53386  -0.00371 -32.10994  -0.46104 -16.71323 -58.96646       (-11.534,-0.461) (-0.004,-16.713) (-32.110,-58.966)      0
52    -11.53138  -0.00619 -31.80010  -0.76841 -16.40587 -58.96646       (-11.531,-0.768) (-0.006,-16.406) (-31.800,-58.966)      0
53    -11.52890  -0.00867 -31.49027  -1.07577 -16.09851 -58.96646       (-11.529,-1.076) (-0.009,-16.099) (-31.490,-58.966)      0
54    -11.52643  -0.01114 -31.18043  -1.38313 -15.79114 -58.96646       (-11.526,-1.383) (-0.011,-15.791) (-31.180,-58.966)      0
55    -11.52395  -0.01362 -30.87059  -1.69049 -15.48378 -58.96646       (-11.524,-1.690) (-0.014,-15.484) (-30.871,-58.966)      0
56    -11.52148  -0.01609 -30.56075  -1.99786 -15.17642 -58.96646       (-11.521,-1.998) (-0.016,-15.176) (-30.561,-58.966)      0
57    -11.51900  -0.01857 -30.25091  -2.30522 -14.86906 -58.96646       (-11.519,-2.305) (-0.019,-14.869) (-30.251,-58.966)      0
58    -11.51653  -0.02104 -29.94108  -2.61258 -14.56169 -58.96646       (-11.517,-2.613) (-0.021,-14.562) (-29.941,-58.966)      0
