Fol_2018-02-25.13_34_22.10_.txt     Output is probe cell, reduced cell, NCDist distance between
0    613.87475 -640.24049 -654.08596 409.41333 -1838.50751 -1335.12893       (-613.875,-204.461) (-26.366,-40.211) (-1224.633,-721.254)      0
1    612.64577 -639.62600 -654.65708 408.79884 -1836.70741 -1334.51444       (-612.646,-203.847) (-26.980,-42.011) (-1224.062,-721.869)      2.49193
2    611.41679 -639.01151 -655.22820 408.18435 -1834.90732 -1333.89995       (-611.417,-203.232) (-27.595,-43.811) (-1223.491,-722.483)      4.98385
3    610.18782 -638.39702 -655.79932 407.56986 -1833.10722 -1333.28546       (-610.188,-202.618) (-28.209,-45.612) (-1222.919,-723.098)      7.47578
4    608.95884 -637.78254 -656.37043 406.95537 -1831.30712 -1332.67097       (-608.959,-202.003) (-28.824,-47.412) (-1222.348,-723.712)      9.96771
5    607.72986 -637.16805 -656.94155 406.34088 -1829.50703 -1332.05648       (-607.730,-201.389) (-29.438,-49.212) (-1221.777,-724.327)      12.4596
6    606.50088 -636.55356 -657.51267 405.72639 -1827.70693 -1331.44199       (-606.501,-200.774) (-30.053,-51.012) (-1221.206,-724.941)      14.9516
7    605.27190 -635.93907 -658.08379 405.11190 -1825.90683 -1330.82751       (-605.272,-200.160) (-30.667,-52.812) (-1220.635,-725.556)      17.4435
8    604.04292 -635.32458 -658.65491 404.49741 -1824.10674 -1330.21302       (-604.043,-199.546) (-31.282,-54.612) (-1220.064,-726.170)      19.9354
9    602.81394 -634.71009 -659.22602 403.88292 -1822.30664 -1329.59853       (-602.814,-198.931) (-31.896,-56.412) (-1219.493,-726.785)      22.4273
10    601.58497 -634.09560 -659.79714 403.26843 -1820.50654 -1328.98404       (-601.585,-198.317) (-32.511,-58.212) (-1218.922,-727.399)      24.9193
11    600.35599 -633.48111 -660.36826 402.65395 -1818.70645 -1328.36955       (-600.356,-197.702) (-33.125,-60.012) (-1218.350,-728.014)      27.4112
12    599.12701 -632.86662 -660.93938 402.03946 -1816.90635 -1327.75506       (-599.127,-197.088) (-33.740,-61.812) (-1217.779,-728.628)      29.9031
13    597.89803 -632.25213 -661.51050 401.42497 -1815.10626 -1327.14057       (-597.898,-196.473) (-34.354,-63.612) (-1217.208,-729.243)      32.3951
