10PERCENT_2018-03-07.11_26_42.212_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -24.43304 -14.17374  15.50954 -11.61879 -38.05286 -13.53592       (-29.045,-5.056) (-3.891,-19.872) (-1.336,-1.142)      0
1    -24.40972 -14.16345  15.48895 -11.60849 -38.03466 -13.55144       (-29.040,-5.077) (-3.880,-19.895) (-1.326,-1.160)      0.0388337
2    -24.38641 -14.15315  15.46837 -11.59820 -38.01646 -13.56697       (-29.035,-5.098) (-3.870,-19.918) (-1.315,-1.178)      0.0776675
3    -24.36309 -14.14286  15.44778 -11.58791 -37.99826 -13.58249       (-29.030,-5.118) (-3.860,-19.941) (-1.305,-1.196)      0.116501
4    -24.33978 -14.13257  15.42719 -11.57761 -37.98006 -13.59802       (-29.025,-5.139) (-3.850,-19.964) (-1.295,-1.213)      0.155335
5    -24.31647 -14.12227  15.40661 -11.56732 -37.96186 -13.61354       (-29.020,-5.159) (-3.839,-19.987) (-1.284,-1.231)      0.194169
6    -24.29315 -14.11198  15.38602 -11.55703 -37.94366 -13.62907       (-29.015,-5.180) (-3.829,-20.010) (-1.274,-1.249)      0.233002
7    -24.26984 -14.10169  15.36543 -11.54673 -37.92546 -13.64459       (-29.010,-5.201) (-3.819,-20.033) (-1.264,-1.267)      0.271836
8    -24.24652 -14.09139  15.34485 -11.53644 -37.90726 -13.66012       (-29.005,-5.221) (-3.808,-20.056) (-1.253,-1.285)      0.31067
9    -24.22321 -14.08110  15.32426 -11.52615 -37.88906 -13.67564       (-29.000,-5.242) (-3.798,-20.078) (-1.243,-1.303)      0.349504
10    -24.19989 -14.07081  15.30367 -11.51586 -37.87086 -13.69117       (-28.995,-5.262) (-3.788,-20.101) (-1.233,-1.321)      0.388337
11    -24.17658 -14.06051  15.28309 -11.50556 -37.85267 -13.70669       (-28.990,-5.283) (-3.778,-20.124) (-1.223,-1.338)      0.427171
12    -24.15327 -14.05022  15.26250 -11.49527 -37.83447 -13.72222       (-28.985,-5.303) (-3.767,-20.147) (-1.212,-1.356)      0.466005
13    -24.12995 -14.03993  15.24191 -11.48498 -37.81627 -13.73774       (-28.980,-5.324) (-3.757,-20.170) (-1.202,-1.374)      0.504839
14    -24.10664 -14.02963  15.22133 -11.47468 -37.79807 -13.75327       (-28.975,-5.345) (-3.747,-20.193) (-1.192,-1.392)      0.543672
15    -24.08332 -14.01934  15.20074 -11.46439 -37.77987 -13.76879       (-28.970,-5.365) (-3.736,-20.216) (-1.181,-1.410)      0.582506
16    -24.06001 -14.00905  15.18015 -11.45410 -37.76167 -13.78432       (-28.964,-5.386) (-3.726,-20.239) (-1.171,-1.428)      0.62134
17    -24.03669 -13.99875  15.15957 -11.44380 -37.74347 -13.79985       (-28.959,-5.406) (-3.716,-20.262) (-1.161,-1.446)      0.660174
18    -24.01338 -13.98846  15.13898 -11.43351 -37.72527 -13.81537       (-28.954,-5.427) (-3.705,-20.285) (-1.151,-1.463)      0.699007
19    -23.99006 -13.97817  15.11839 -11.42322 -37.70707 -13.83090       (-28.949,-5.448) (-3.695,-20.308) (-1.140,-1.481)      0.737841
20    -23.96675 -13.96787  15.09781 -11.41292 -37.68887 -13.84642       (-28.944,-5.468) (-3.685,-20.331) (-1.130,-1.499)      0.776675
21    -23.94344 -13.95758  15.07722 -11.40263 -37.67067 -13.86195       (-28.939,-5.489) (-3.675,-20.354) (-1.120,-1.517)      0.815509
22    -23.92012 -13.94729  15.05663 -11.39234 -37.65247 -13.87747       (-28.934,-5.509) (-3.664,-20.377) (-1.109,-1.535)      0.854342
23    -23.89681 -13.93699  15.03605 -11.38204 -37.63427 -13.89300       (-28.929,-5.530) (-3.654,-20.400) (-1.099,-1.553)      0.893176
24    -23.87349 -13.92670  15.01546 -11.37175 -37.61607 -13.90852       (-28.924,-5.551) (-3.644,-20.423) (-1.089,-1.571)      0.93201
25    -23.85018 -13.91641  14.99487 -11.36146 -37.59787 -13.92405       (-28.919,-5.571) (-3.633,-20.446) (-1.078,-1.588)      0.970844
26    -23.82686 -13.90611  14.97429 -11.35116 -37.57968 -13.93957       (-28.914,-5.592) (-3.623,-20.469) (-1.068,-1.606)      1.00968
27    -23.80355 -13.89582  14.95370 -11.34087 -37.56148 -13.95510       (-28.909,-5.612) (-3.613,-20.492) (-1.058,-1.624)      1.04851
28    -23.78024 -13.88553  14.93312 -11.33058 -37.54328 -13.97062       (-28.904,-5.633) (-3.603,-20.515) (-1.048,-1.642)      1.08734
29    -23.75692 -13.87524  14.91253 -11.32028 -37.52508 -13.98615       (-28.899,-5.653) (-3.592,-20.538) (-1.037,-1.660)      1.12618
30    -23.73361 -13.86494  14.89194 -11.30999 -37.50688 -14.00167       (-28.894,-5.674) (-3.582,-20.561) (-1.027,-1.678)      1.16501
31    -23.71029 -13.85465  14.87136 -11.29970 -37.48868 -14.01720       (-28.889,-5.695) (-3.572,-20.584) (-1.017,-1.696)      1.20385
32    -23.68698 -13.84436  14.85077 -11.28940 -37.47048 -14.03272       (-28.883,-5.715) (-3.561,-20.607) (-1.006,-1.713)      1.24268
33    -23.66366 -13.83406  14.83018 -11.27911 -37.45228 -14.04825       (-28.878,-5.736) (-3.551,-20.630) (-0.996,-1.731)      1.28151
34    -23.64035 -13.82377  14.80960 -11.26882 -37.43408 -14.06377       (-28.873,-5.756) (-3.541,-20.653) (-0.986,-1.749)      1.32035
35    -23.61703 -13.81348  14.78901 -11.25852 -37.41588 -14.07930       (-28.868,-5.777) (-3.530,-20.676) (-0.976,-1.767)      1.35918
36    -23.59372 -13.80318  14.76842 -11.24823 -37.39768 -14.09482       (-28.863,-5.798) (-3.520,-20.699) (-0.965,-1.785)      1.39801
37    -23.57041 -13.79289  14.74784 -11.23794 -37.37948 -14.11035       (-28.858,-5.818) (-3.510,-20.722) (-0.955,-1.803)      1.43685
38    -23.54709 -13.78260  14.72725 -11.22764 -37.36128 -14.12587       (-28.853,-5.839) (-3.500,-20.745) (-0.945,-1.821)      1.47568
39    -23.52378 -13.77230  14.70666 -11.21735 -37.34308 -14.14140       (-28.848,-5.859) (-3.489,-20.768) (-0.934,-1.838)      1.51452
40    -23.50046 -13.76201  14.68608 -11.20706 -37.32488 -14.15692       (-28.843,-5.880) (-3.479,-20.791) (-0.924,-1.856)      1.55335
41    -23.47715 -13.75172  14.66549 -11.19676 -37.30669 -14.17245       (-28.838,-5.900) (-3.469,-20.814) (-0.914,-1.874)      1.59218
42    -23.45383 -13.74142  14.64490 -11.18647 -37.28849 -14.18797       (-28.833,-5.921) (-3.458,-20.837) (-0.903,-1.892)      1.63102
43    -23.43052 -13.73113  14.62432 -11.17618 -37.27029 -14.20350       (-28.828,-5.942) (-3.448,-20.860) (-0.893,-1.910)      1.66985
44    -23.40721 -13.72084  14.60373 -11.16588 -37.25209 -14.21902       (-28.823,-5.962) (-3.438,-20.883) (-0.883,-1.928)      1.70868
45    -23.38389 -13.71054  14.58314 -11.15559 -37.23389 -14.23455       (-28.818,-5.983) (-3.428,-20.906) (-0.873,-1.946)      1.74752
