10PERCENT_2018-03-07.11_26_40.193_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -32.34624 -23.89274 -14.68648 -49.33466  16.75873 -13.04616       (-2.072,-25.151) (-3.713,-11.443) (-16.759,-29.082)      1.08052e-14
1    -32.31758 -23.89794 -14.69695 -49.29673  16.72518 -13.03518       (-2.028,-25.192) (-3.690,-11.536) (-16.725,-29.187)      0.157673
2    -32.28892 -23.90313 -14.70743 -49.25880  16.69163 -13.02419       (-1.984,-25.232) (-3.667,-11.629) (-16.692,-29.291)      0.315345
3    -32.26025 -23.90832 -14.71790 -49.22087  16.65808 -13.01321       (-1.940,-25.273) (-3.645,-11.722) (-16.658,-29.396)      0.473018
4    -32.23159 -23.91352 -14.72838 -49.18294  16.62453 -13.00222       (-1.896,-25.314) (-3.622,-11.815) (-16.625,-29.501)      0.63069
5    -32.20293 -23.91871 -14.73885 -49.14501  16.59098 -12.99124       (-1.852,-25.355) (-3.600,-11.908) (-16.591,-29.606)      0.788363
6    -32.17427 -23.92391 -14.74933 -49.10708  16.55743 -12.98025       (-1.808,-25.395) (-3.577,-12.001) (-16.557,-29.711)      0.946036
7    -32.14561 -23.92910 -14.75980 -49.06915  16.52388 -12.96927       (-1.764,-25.436) (-3.555,-12.094) (-16.524,-29.816)      1.10371
8    -32.11694 -23.93430 -14.77027 -49.03122  16.49033 -12.95828       (-1.720,-25.477) (-3.532,-12.187) (-16.490,-29.920)      1.26138
9    -32.08828 -23.93949 -14.78075 -48.99329  16.45677 -12.94730       (-1.676,-25.518) (-3.509,-12.279) (-16.457,-30.025)      1.41905
10    -32.05962 -23.94468 -14.79122 -48.95536  16.42322 -12.93632       (-1.632,-25.558) (-3.487,-12.372) (-16.423,-30.130)      1.57673
11    -32.03096 -23.94988 -14.80170 -48.91743  16.38967 -12.92533       (-1.588,-25.599) (-3.464,-12.465) (-16.390,-30.235)      1.7344
12    -32.00229 -23.95507 -14.81217 -48.87950  16.35612 -12.91435       (-1.544,-25.640) (-3.442,-12.558) (-16.356,-30.340)      1.89207
13    -31.97363 -23.96027 -14.82265 -48.84157  16.32257 -12.90336       (-1.500,-25.681) (-3.419,-12.651) (-16.323,-30.445)      2.04974
14    -31.94497 -23.96546 -14.83312 -48.80364  16.28902 -12.89238       (-1.456,-25.721) (-3.397,-12.744) (-16.289,-30.549)      2.20742
15    -31.91631 -23.97066 -14.84360 -48.76571  16.25547 -12.88139       (-1.412,-25.762) (-3.374,-12.837) (-16.255,-30.654)      2.36509
16    -31.88764 -23.97585 -14.85407 -48.72778  16.22192 -12.87041       (-1.368,-25.803) (-3.352,-12.930) (-16.222,-30.759)      2.52276
17    -31.85898 -23.98104 -14.86455 -48.68986  16.18837 -12.85942       (-1.324,-25.844) (-3.329,-13.023) (-16.188,-30.864)      2.68043
18    -31.83032 -23.98624 -14.87502 -48.65193  16.15481 -12.84844       (-1.280,-25.884) (-3.306,-13.116) (-16.155,-30.969)      2.83811
19    -31.80166 -23.99143 -14.88550 -48.61400  16.12126 -12.83745       (-1.236,-25.925) (-3.284,-13.209) (-16.121,-31.074)      2.99578
20    -31.77299 -23.99663 -14.89597 -48.57607  16.08771 -12.82647       (-1.192,-25.966) (-3.261,-13.302) (-16.088,-31.178)      3.15345
