2BOUNDS_2018-03-07.14_48_32.722_.txt     Output is probe cell, reduced cell, NCDist distance between
0     -7.32690   0.07051  -7.10687   4.25600 -25.20887   2.58327       (-8.720,-0.071) (-2.442,-1.405) (-2.160,-1.305)      2.17558e-15
1     -7.32830   0.06800  -7.10192   4.25167 -25.18504   2.57938       (-8.720,-0.068) (-2.443,-1.401) (-2.170,-1.313)      0.0130984
2     -7.32969   0.06548  -7.09696   4.24734 -25.16121   2.57549       (-8.720,-0.065) (-2.445,-1.398) (-2.179,-1.321)      0.0261969
3     -7.33109   0.06297  -7.09201   4.24301 -25.13739   2.57159       (-8.720,-0.063) (-2.446,-1.394) (-2.188,-1.329)      0.0392953
4     -7.33248   0.06045  -7.08706   4.23867 -25.11356   2.56770       (-8.720,-0.060) (-2.447,-1.390) (-2.197,-1.337)      0.0523937
5     -7.33388   0.05794  -7.08211   4.23434 -25.08973   2.56381       (-8.720,-0.058) (-2.448,-1.387) (-2.206,-1.345)      0.0654922
6     -7.33527   0.05542  -7.07716   4.23001 -25.06590   2.55992       (-8.720,-0.055) (-2.449,-1.383) (-2.215,-1.353)      0.0785906
7     -7.33666   0.05291  -7.07221   4.22568 -25.04208   2.55603       (-8.720,-0.053) (-2.450,-1.379) (-2.225,-1.362)      0.091689
8     -7.33806   0.05039  -7.06726   4.22135 -25.01825   2.55214       (-8.720,-0.050) (-2.451,-1.375) (-2.234,-1.370)      0.104787
9     -7.33945   0.04788  -7.06230   4.21702 -24.99442   2.54824       (-8.720,-0.048) (-2.452,-1.372) (-2.243,-1.378)      0.117886
10     -7.34085   0.04536  -7.05735   4.21269 -24.97059   2.54435       (-8.720,-0.045) (-2.454,-1.368) (-2.252,-1.386)      0.130984
11     -7.34224   0.04284  -7.05240   4.20836 -24.94677   2.54046       (-8.720,-0.043) (-2.455,-1.364) (-2.261,-1.394)      0.144083
12     -7.34364   0.04033  -7.04745   4.20403 -24.92294   2.53657       (-8.721,-0.040) (-2.456,-1.361) (-2.271,-1.402)      0.157181
