Fol_.13_.txt     Output is probe cell, reduced cell, NCDist distance between
0    306.48869 -12.34976 4234.38001 -6421.97577 -13249.67189 -833.71128       (-208.384,-2034.434) (-86.716,-12.350) (-318.838,-153.161)      0
1    306.02857 -12.42420 4228.10492 -6415.86653 -13236.42132 -833.08533       (-208.604,-2027.919) (-99.892,-12.424) (-318.453,-159.842)      16.1525
2    305.56846 -12.49864 4221.82983 -6409.75728 -13223.17074 -832.45938       (-208.824,-2021.404) (-113.068,-12.499) (-318.067,-166.524)      32.3049
3    305.10835 -12.57309 4215.55474 -6403.64803 -13209.92017 -831.83343       (-209.044,-2014.888) (-126.244,-12.573) (-317.681,-173.205)      48.4574
4    304.64824 -12.64753 4209.27966 -6397.53879 -13196.66960 -831.20747       (-209.263,-2008.373) (-139.420,-12.648) (-317.296,-179.886)      64.6098
5    304.18813 -12.72197 4203.00457 -6391.42954 -13183.41902 -830.58152       (-209.483,-2001.858) (-152.596,-12.722) (-316.910,-186.567)      80.7623
6    303.72802 -12.79641 4196.72948 -6385.32029 -13170.16845 -829.95557       (-209.703,-1995.342) (-165.773,-12.796) (-316.524,-193.249)      96.9147
7    303.26791 -12.87085 4190.45439 -6379.21105 -13156.91788 -829.32961       (-209.923,-1988.827) (-178.949,-12.871) (-316.139,-199.930)      113.067
8    302.80780 -12.94529 4184.17930 -6373.10180 -13143.66731 -828.70366       (-210.143,-1982.312) (-192.125,-12.945) (-315.753,-206.611)      129.22
9    302.34769 -13.01973 4177.90421 -6366.99255 -13130.41673 -828.07771       (-210.363,-1975.796) (-205.301,-13.020) (-315.367,-213.292)      145.372
10    301.88758 -13.09417 4171.62912 -6360.88331 -13117.16616 -827.45175       (-210.582,-1969.281) (-218.477,-13.094) (-314.982,-219.973)      161.525
11    301.42747 -13.16861 4165.35403 -6354.77406 -13103.91559 -826.82580       (-210.802,-1962.765) (-231.653,-13.169) (-314.596,-226.655)      177.677
12    300.96736 -13.24305 4159.07894 -6348.66481 -13090.66502 -826.19985       (-211.022,-1956.250) (-244.829,-13.243) (-314.210,-233.336)      193.829
13    300.50725 -13.31749 4152.80385 -6342.55557 -13077.41444 -825.57389       (-211.242,-1949.735) (-258.005,-13.317) (-313.825,-240.017)      209.982
14    300.04714 -13.39193 4146.52876 -6336.44632 -13064.16387 -824.94794       (-211.462,-1943.219) (-271.182,-13.392) (-313.439,-246.698)      226.134
15    299.58703 -13.46637 4140.25367 -6330.33707 -13050.91330 -824.32199       (-211.682,-1936.704) (-284.358,-13.466) (-313.053,-253.380)      242.287
16    299.12692 -13.54081 4133.97858 -6324.22783 -13037.66272 -823.69604       (-211.901,-1930.189) (-297.534,-13.541) (-312.668,-260.061)      258.439
17    298.66681 -13.61525 4127.70349 -6318.11858 -13024.41215 -823.07008       (-212.121,-1923.673) (-310.710,-13.615) (-312.282,-266.742)      274.592
18    298.20670 -13.68969 4121.42840 -6312.00933 -13011.16158 -822.44413       (-212.341,-1917.158) (-323.886,-13.690) (-311.896,-273.423)      290.744
19    297.74659 -13.76413 4115.15331 -6305.90009 -12997.91101 -821.81818       (-212.561,-1910.642) (-337.062,-13.764) (-311.511,-280.104)      306.897
20    297.28648 -13.83857 4108.87822 -6299.79084 -12984.66043 -821.19222       (-212.781,-1904.127) (-350.238,-13.839) (-311.125,-286.786)      323.049
21    296.82637 -13.91301 4102.60313 -6293.68159 -12971.40986 -820.56627       (-213.001,-1897.612) (-363.415,-13.913) (-310.739,-293.467)      339.202
22    296.36626 -13.98745 4096.32804 -6287.57235 -12958.15929 -819.94032       (-213.220,-1891.096) (-376.591,-13.987) (-310.354,-300.148)      355.354
23    295.90615 -14.06189 4090.05295 -6281.46310 -12944.90872 -819.31436       (-213.440,-1884.581) (-389.767,-14.062) (-309.968,-306.829)      371.506
24    295.44604 -14.13633 4083.77786 -6275.35385 -12931.65814 -818.68841       (-213.660,-1878.066) (-402.943,-14.136) (-309.582,-313.510)      387.659
25    294.98593 -14.21077 4077.50277 -6269.24461 -12918.40757 -818.06246       (-213.880,-1871.550) (-416.119,-14.211) (-309.197,-320.192)      403.811
26    294.52582 -14.28521 4071.22768 -6263.13536 -12905.15700 -817.43650       (-214.100,-1865.035) (-429.295,-14.285) (-308.811,-326.873)      419.964
27    294.06571 -14.35966 4064.95259 -6257.02611 -12891.90643 -816.81055       (-214.319,-1858.519) (-442.471,-14.360) (-308.425,-333.554)      436.116
28    293.60560 -14.43410 4058.67751 -6250.91687 -12878.65585 -816.18460       (-214.539,-1852.004) (-455.647,-14.434) (-308.040,-340.235)      452.269
29    293.14549 -14.50854 4052.40242 -6244.80762 -12865.40528 -815.55865       (-214.759,-1845.489) (-468.824,-14.509) (-307.654,-346.917)      468.421
30    292.68538 -14.58298 4046.12733 -6238.69838 -12852.15471 -814.93269       (-214.979,-1838.973) (-482.000,-14.583) (-307.268,-353.598)      484.574
31    292.22527 -14.65742 4039.85224 -6232.58913 -12838.90413 -814.30674       (-215.199,-1832.458) (-495.176,-14.657) (-306.883,-360.279)      497.31
32    291.76516 -14.73186 4033.57715 -6226.47988 -12825.65356 -813.68079       (-215.419,-1825.943) (-508.352,-14.732) (-306.497,-366.960)      509.423
