2BOUNDS_2018-03-07.14_40_22.515_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -57.66645   7.80937 -24.87176   5.24606 -24.34265 -53.80708       (-55.046,-1.239) (-4.007,-12.611) (-6.570,-40.809)      8.88178e-15
1    -57.64957   7.79754 -24.84811   5.23423 -24.33091 -53.80832       (-55.024,-1.215) (-4.019,-12.647) (-6.582,-40.839)      0.059444
2    -57.63270   7.78571 -24.82445   5.22240 -24.31916 -53.80956       (-55.001,-1.192) (-4.031,-12.683) (-6.594,-40.870)      0.118888
3    -57.61582   7.77388 -24.80079   5.21058 -24.30742 -53.81080       (-54.979,-1.168) (-4.042,-12.718) (-6.606,-40.900)      0.178332
4    -57.59895   7.76205 -24.77714   5.19875 -24.29568 -53.81204       (-54.957,-1.144) (-4.054,-12.754) (-6.618,-40.930)      0.237776
5    -57.58207   7.75022 -24.75348   5.18692 -24.28393 -53.81328       (-54.934,-1.121) (-4.066,-12.789) (-6.629,-40.961)      0.29722
6    -57.56520   7.73840 -24.72983   5.17509 -24.27219 -53.81452       (-54.912,-1.097) (-4.078,-12.825) (-6.641,-40.991)      0.356664
7    -57.54832   7.72657 -24.70617   5.16326 -24.26045 -53.81576       (-54.889,-1.073) (-4.090,-12.860) (-6.653,-41.022)      0.416108
8    -57.53145   7.71474 -24.68251   5.15144 -24.24871 -53.81700       (-54.867,-1.050) (-4.102,-12.896) (-6.665,-41.052)      0.475552
9    -57.51458   7.70291 -24.65886   5.13961 -24.23696 -53.81824       (-54.844,-1.026) (-4.113,-12.932) (-6.677,-41.083)      0.534996
10    -57.49770   7.69108 -24.63520   5.12778 -24.22522 -53.81948       (-54.822,-1.003) (-4.125,-12.967) (-6.689,-41.113)      0.59444
11    -57.48083   7.67926 -24.61154   5.11595 -24.21348 -53.82073       (-54.800,-0.979) (-4.137,-13.003) (-6.700,-41.143)      0.653884
12    -57.46395   7.66743 -24.58789   5.10412 -24.20173 -53.82197       (-54.777,-0.955) (-4.149,-13.038) (-6.712,-41.174)      0.713328
13    -57.44708   7.65560 -24.56423   5.09230 -24.18999 -53.82321       (-54.755,-0.932) (-4.161,-13.074) (-6.724,-41.204)      0.772771
14    -57.43020   7.64377 -24.54058   5.08047 -24.17825 -53.82445       (-54.732,-0.908) (-4.173,-13.109) (-6.736,-41.235)      0.832215
15    -57.41333   7.63194 -24.51692   5.06864 -24.16650 -53.82569       (-54.710,-0.884) (-4.184,-13.145) (-6.748,-41.265)      0.891659
16    -57.39645   7.62011 -24.49326   5.05681 -24.15476 -53.82693       (-54.688,-0.861) (-4.196,-13.181) (-6.760,-41.296)      0.951103
17    -57.37958   7.60829 -24.46961   5.04498 -24.14302 -53.82817       (-54.665,-0.837) (-4.208,-13.216) (-6.771,-41.326)      1.01055
18    -57.36270   7.59646 -24.44595   5.03315 -24.13128 -53.82941       (-54.643,-0.813) (-4.220,-13.252) (-6.783,-41.357)      1.06999
19    -57.34583   7.58463 -24.42229   5.02133 -24.11953 -53.83065       (-54.620,-0.790) (-4.232,-13.287) (-6.795,-41.387)      1.12944
20    -57.32895   7.57280 -24.39864   5.00950 -24.10779 -53.83189       (-54.598,-0.766) (-4.244,-13.323) (-6.807,-41.417)      1.18888
21    -57.31208   7.56097 -24.37498   4.99767 -24.09605 -53.83313       (-54.575,-0.742) (-4.255,-13.358) (-6.819,-41.448)      1.24832
22    -57.29520   7.54915 -24.35132   4.98584 -24.08430 -53.83437       (-54.553,-0.719) (-4.267,-13.394) (-6.830,-41.478)      1.30777
23    -57.27833   7.53732 -24.32767   4.97401 -24.07256 -53.83561       (-54.531,-0.695) (-4.279,-13.430) (-6.842,-41.509)      1.36721
24    -57.26146   7.52549 -24.30401   4.96219 -24.06082 -53.83685       (-54.508,-0.671) (-4.291,-13.465) (-6.854,-41.539)      1.42666
25    -57.24458   7.51366 -24.28036   4.95036 -24.04907 -53.83809       (-54.486,-0.648) (-4.303,-13.501) (-6.866,-41.570)      1.4861
