10PERCENT_2018-03-07.11_26_59.390_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -20.83200   0.06595 -31.95524 -34.18257 -56.59465  12.76269       (-3.178,-34.249) (-0.066,-21.485) (-31.757,-4.759)      2.24015
1    -20.81121   0.06271 -31.95504 -34.16986 -56.57228  12.74515       (-3.199,-34.233) (-0.063,-21.536) (-31.767,-4.742)      2.21358
2    -20.79043   0.05946 -31.95485 -34.15715 -56.54991  12.72761       (-3.220,-34.217) (-0.059,-21.587) (-31.776,-4.724)      2.18837
3    -20.76964   0.05621 -31.95465 -34.14444 -56.52755  12.71008       (-3.240,-34.201) (-0.056,-21.638) (-31.786,-4.707)      2.16458
4    -20.74885   0.05296 -31.95445 -34.13173 -56.50518  12.69254       (-3.261,-34.185) (-0.053,-21.689) (-31.796,-4.689)      2.14225
5    -20.72807   0.04972 -31.95425 -34.11902 -56.48281  12.67500       (-3.282,-34.169) (-0.050,-21.740) (-31.805,-4.672)      2.12143
6    -20.70728   0.04647 -31.95405 -34.10631 -56.46044  12.65746       (-3.303,-34.153) (-0.046,-21.791) (-31.815,-4.654)      2.10217
7    -20.68649   0.04322 -31.95386 -34.09360 -56.43807  12.63992       (-3.324,-34.137) (-0.043,-21.842) (-31.824,-4.637)      2.08451
8    -20.66571   0.03998 -31.95366 -34.08089 -56.41570  12.62238       (-3.344,-34.121) (-0.040,-21.893) (-31.834,-4.619)      2.06848
9    -20.64492   0.03673 -31.95346 -34.06818 -56.39333  12.60484       (-3.365,-34.105) (-0.037,-21.944) (-31.843,-4.601)      2.05413
10    -20.62413   0.03348 -31.95326 -34.05547 -56.37097  12.58730       (-3.386,-34.089) (-0.033,-21.995) (-31.853,-4.584)      2.0415
11    -20.60335   0.03023 -31.95306 -34.04276 -56.34860  12.56976       (-3.407,-34.073) (-0.030,-22.046) (-31.862,-4.566)      2.0306
12    -20.58256   0.02699 -31.95287 -34.03004 -56.32623  12.55222       (-3.428,-34.057) (-0.027,-22.097) (-31.872,-4.549)      2.02149
13    -20.56177   0.02374 -31.95267 -34.01733 -56.30386  12.53468       (-3.448,-34.041) (-0.024,-22.148) (-31.881,-4.531)      2.01417
14    -20.54099   0.02049 -31.95247 -34.00462 -56.28149  12.51714       (-3.469,-34.025) (-0.020,-22.199) (-31.891,-4.514)      2.00866
15    -20.52020   0.01724 -31.95227 -33.99191 -56.25912  12.49960       (-3.490,-34.009) (-0.017,-22.250) (-31.901,-4.496)      2.00499
16    -20.49941   0.01400 -31.95207 -33.97920 -56.23675  12.48206       (-3.511,-33.993) (-0.014,-22.301) (-31.910,-4.479)      2.00316
17    -20.47863   0.01075 -31.95188 -33.96649 -56.21439  12.46452       (-3.531,-33.977) (-0.011,-22.352) (-31.920,-4.461)      2.00317
18    -20.45784   0.00750 -31.95168 -33.95378 -56.19202  12.44698       (-3.552,-33.961) (-0.008,-22.403) (-31.929,-4.444)      2.00503
