10PERCENT_2018-03-07.11_27_41.882_.txt     Output is probe cell, reduced cell, NCDist distance between
0     10.35096   1.98740   1.25452  -3.70911 -24.09881 -33.50517       (-7.647,-0.147) (-4.047,-0.119) (-4.977,-0.201)      0
1     10.34039   1.98136   1.25312  -3.71038 -24.07480 -33.47928       (-7.749,-0.175) (-3.976,-0.078) (-5.095,-0.224)      0.179069
2     10.32983   1.97532   1.25172  -3.71165 -24.05080 -33.45340       (-7.850,-0.202) (-3.906,-0.037) (-5.212,-0.246)      0.358137
3     10.31927   1.96928   1.25031  -3.71292 -24.02679 -33.42752       (-5.326,-0.226) (-3.840,-0.004) (-7.948,-0.264)      0.529625
4     10.30871   1.96324   1.24891  -3.71419 -24.00279 -33.40163       (-5.403,-0.212) (-3.810,-0.045) (-8.009,-0.245)      0.619231
5     10.29814   1.95720   1.24751  -3.71546 -23.97878 -33.37575       (-5.480,-0.199) (-3.780,-0.086) (-8.069,-0.226)      0.713788
6     10.28758   1.95116   1.24610  -3.71672 -23.95478 -33.34986       (-5.557,-0.186) (-3.751,-0.127) (-8.130,-0.207)      0.812944
7     10.27702   1.94512   1.24470  -3.71799 -23.93078 -33.32398       (-5.633,-0.172) (-3.721,-0.168) (-8.191,-0.188)      0.915206
8     10.26645   1.93908   1.24330  -3.71926 -23.90677 -33.29810       (-5.710,-0.159) (-3.692,-0.208) (-8.251,-0.170)      1.01964
9     10.25589   1.93304   1.24190  -3.72053 -23.88277 -33.27221       (-5.787,-0.146) (-3.662,-0.249) (-8.312,-0.151)      1.12564
10     10.24533   1.92700   1.24049  -3.72180 -23.85876 -33.24633       (-5.864,-0.132) (-3.633,-0.290) (-8.373,-0.132)      1.2328
11     10.23476   1.92096   1.23909  -3.72307 -23.83476 -33.22044       (-5.941,-0.119) (-3.603,-0.331) (-8.434,-0.113)      1.34085
12     10.22420   1.91492   1.23769  -3.72434 -23.81076 -33.19456       (-6.017,-0.105) (-3.573,-0.372) (-8.494,-0.094)      1.44959
13     10.21364   1.90888   1.23628  -3.72561 -23.78675 -33.16868       (-6.094,-0.092) (-3.544,-0.413) (-8.555,-0.075)      1.55604
14     10.20308   1.90284   1.23488  -3.72688 -23.76275 -33.14279       (-6.171,-0.079) (-3.514,-0.454) (-8.616,-0.057)      1.65991
15     10.19251   1.89680   1.23348  -3.72815 -23.73874 -33.11691       (-6.248,-0.065) (-3.485,-0.495) (-8.676,-0.038)      1.76484
16     10.18195   1.89076   1.23207  -3.72942 -23.71474 -33.09102       (-6.325,-0.052) (-3.455,-0.536) (-8.737,-0.019)      1.87066
17     10.17139   1.88472   1.23067  -3.73068 -23.69074 -33.06514       (-6.402,-0.039) (-3.425,-0.576) (-8.798,-0.000)      1.97723
18     10.16082   1.87868   1.22927  -3.73195 -23.66673 -33.03926       (-3.377,-0.007) (-6.460,-0.599) (-8.877,-0.019)      2.08519
19     10.15026   1.87264   1.22787  -3.73322 -23.64273 -33.01337       (-3.354,-0.026) (-8.931,-0.595) (-6.492,-0.012)      2.14934
20     10.13970   1.86660   1.22646  -3.73449 -23.61872 -32.98749       (-8.978,-0.056) (-3.337,-0.584) (-6.519,-0.001)      2.2034
21     10.12913   1.86055   1.22506  -3.73576 -23.59472 -32.96160       (-9.012,-0.075) (-3.307,-0.560) (-6.558,-0.015)      2.25823
22     10.11857   1.85451   1.22366  -3.73703 -23.57071 -32.93572       (-9.046,-0.094) (-3.278,-0.537) (-6.598,-0.028)      2.31377
23     10.10801   1.84847   1.22225  -3.73830 -23.54671 -32.90984       (-9.080,-0.113) (-3.248,-0.513) (-6.637,-0.041)      2.36997
24     10.09745   1.84243   1.22085  -3.73957 -23.52271 -32.88395       (-9.114,-0.132) (-3.218,-0.490) (-6.676,-0.055)      2.42568
25     10.08688   1.83639   1.21945  -3.74084 -23.49870 -32.85807       (-9.148,-0.151) (-3.189,-0.466) (-6.715,-0.068)      2.47963
26     10.07632   1.83035   1.21804  -3.74211 -23.47470 -32.83218       (-9.182,-0.169) (-3.159,-0.443) (-6.754,-0.081)      2.53427
27     10.06576   1.82431   1.21664  -3.74337 -23.45069 -32.80630       (-9.216,-0.188) (-3.130,-0.419) (-6.794,-0.095)      2.58955
28     10.05519   1.81827   1.21524  -3.74464 -23.42669 -32.78042       (-9.250,-0.207) (-3.100,-0.396) (-6.833,-0.108)      2.64544
29     10.04463   1.81223   1.21384  -3.74591 -23.40269 -32.75453       (-9.284,-0.226) (-3.071,-0.373) (-6.872,-0.121)      2.70189
30     10.03407   1.80619   1.21243  -3.74718 -23.37868 -32.72865       (-9.318,-0.245) (-3.041,-0.349) (-6.911,-0.135)      2.75887
31     10.02350   1.80015   1.21103  -3.74845 -23.35468 -32.70276       (-9.352,-0.264) (-3.011,-0.326) (-6.950,-0.148)      2.81635
32     10.01294   1.79411   1.20963  -3.74972 -23.33067 -32.67688       (-9.386,-0.282) (-2.982,-0.302) (-6.989,-0.161)      2.8743
33     10.00238   1.78807   1.20822  -3.75099 -23.30667 -32.65100       (-9.420,-0.301) (-2.952,-0.279) (-7.029,-0.175)      2.93269
34      9.99182   1.78203   1.20682  -3.75226 -23.28266 -32.62511       (-9.454,-0.320) (-2.923,-0.255) (-7.068,-0.188)      2.99149
35      9.98125   1.77599   1.20542  -3.75353 -23.25866 -32.59923       (-9.488,-0.339) (-2.893,-0.232) (-7.107,-0.202)      3.05068
36      9.97069   1.76995   1.20402  -3.75480 -23.23466 -32.57334       (-9.522,-0.358) (-2.863,-0.208) (-7.146,-0.215)      3.11025
37      9.96013   1.76391   1.20261  -3.75607 -23.21065 -32.54746       (-9.556,-0.376) (-2.834,-0.185) (-7.185,-0.228)      3.17016
38      9.94956   1.75787   1.20121  -3.75733 -23.18665 -32.52158       (-9.590,-0.395) (-2.804,-0.161) (-7.224,-0.242)      3.2304
39      9.93900   1.75183   1.19981  -3.75860 -23.16264 -32.49569       (-9.624,-0.414) (-2.775,-0.138) (-7.264,-0.255)      3.29095
40      9.92844   1.74579   1.19840  -3.75987 -23.13864 -32.46981       (-9.658,-0.433) (-2.745,-0.114) (-7.303,-0.268)      3.35179
41      9.91787   1.73975   1.19700  -3.76114 -23.11464 -32.44392       (-9.692,-0.452) (-2.716,-0.091) (-7.342,-0.282)      3.41291
42      9.90731   1.73371   1.19560  -3.76241 -23.09063 -32.41804       (-9.726,-0.471) (-2.686,-0.067) (-7.381,-0.295)      3.4743
43      9.89675   1.72767   1.19419  -3.76368 -23.06663 -32.39215       (-9.760,-0.489) (-2.656,-0.044) (-7.420,-0.308)      3.53593
44      9.88618   1.72163   1.19279  -3.76495 -23.04262 -32.36627       (-9.794,-0.508) (-2.627,-0.021) (-7.459,-0.322)      3.59633
45      9.87562   1.71559   1.19139  -3.76622 -23.01862 -32.34039       (-7.496,-0.524) (-2.600,-0.003) (-9.825,-0.332)      3.65156
46      9.86506   1.70955   1.18999  -3.76749 -22.99461 -32.31450       (-7.511,-0.520) (-2.594,-0.026) (-9.836,-0.322)      3.66955
47      9.85450   1.70350   1.18858  -3.76876 -22.97061 -32.28862       (-7.527,-0.515) (-2.588,-0.050) (-9.846,-0.312)      3.68774
48      9.84393   1.69746   1.18718  -3.77002 -22.94661 -32.26273       (-7.543,-0.510) (-2.582,-0.073) (-9.857,-0.302)      3.70614
49      9.83337   1.69142   1.18578  -3.77129 -22.92260 -32.23685       (-7.559,-0.506) (-2.576,-0.097) (-9.867,-0.292)      3.72472
50      9.82281   1.68538   1.18437  -3.77256 -22.89860 -32.21097       (-7.574,-0.501) (-2.570,-0.120) (-9.878,-0.282)      3.74351
51      9.81224   1.67934   1.18297  -3.77383 -22.87459 -32.18508       (-7.590,-0.496) (-2.564,-0.144) (-9.889,-0.271)      3.76248
52      9.80168   1.67330   1.18157  -3.77510 -22.85059 -32.15920       (-7.606,-0.492) (-2.557,-0.167) (-9.899,-0.261)      3.78164
53      9.79112   1.66726   1.18016  -3.77637 -22.82659 -32.13331       (-7.621,-0.487) (-2.551,-0.191) (-9.910,-0.251)      3.80098
54      9.78055   1.66122   1.17876  -3.77764 -22.80258 -32.10743       (-7.637,-0.482) (-2.545,-0.214) (-9.920,-0.241)      3.82051
55      9.76999   1.65518   1.17736  -3.77891 -22.77858 -32.08155       (-7.653,-0.478) (-2.539,-0.238) (-9.931,-0.231)      3.84022
56      9.75943   1.64914   1.17596  -3.78018 -22.75457 -32.05566       (-7.669,-0.473) (-2.533,-0.261) (-9.941,-0.221)      3.8601
57      9.74887   1.64310   1.17455  -3.78145 -22.73057 -32.02978       (-7.684,-0.469) (-2.527,-0.284) (-9.952,-0.211)      3.88016
58      9.73830   1.63706   1.17315  -3.78272 -22.70656 -32.00389       (-7.700,-0.464) (-2.521,-0.308) (-9.962,-0.201)      3.90039
59      9.72774   1.63102   1.17175  -3.78398 -22.68256 -31.97801       (-7.716,-0.459) (-2.515,-0.331) (-9.973,-0.191)      3.92079
60      9.71718   1.62498   1.17034  -3.78525 -22.65856 -31.95213       (-7.731,-0.455) (-2.508,-0.355) (-9.984,-0.180)      3.94135
61      9.70661   1.61894   1.16894  -3.78652 -22.63455 -31.92624       (-7.747,-0.450) (-2.502,-0.378) (-9.994,-0.170)      3.96208
62      9.69605   1.61290   1.16754  -3.78779 -22.61055 -31.90036       (-7.763,-0.445) (-2.496,-0.402) (-10.005,-0.160)      3.98296
63      9.68549   1.60686   1.16614  -3.78906 -22.58654 -31.87447       (-7.778,-0.441) (-2.490,-0.425) (-10.015,-0.150)      4.00401
64      9.67492   1.60082   1.16473  -3.79033 -22.56254 -31.84859       (-7.794,-0.436) (-2.484,-0.449) (-10.026,-0.140)      4.02521
65      9.66436   1.59478   1.16333  -3.79160 -22.53854 -31.82271       (-7.810,-0.431) (-2.478,-0.472) (-10.036,-0.130)      4.04656
66      9.65380   1.58874   1.16193  -3.79287 -22.51453 -31.79682       (-7.826,-0.427) (-2.472,-0.496) (-10.047,-0.120)      4.06807
67      9.64324   1.58270   1.16052  -3.79414 -22.49053 -31.77094       (-7.841,-0.422) (-2.466,-0.519) (-10.057,-0.110)      4.08972
68      9.63267   1.57666   1.15912  -3.79541 -22.46652 -31.74505       (-7.857,-0.418) (-2.460,-0.543) (-10.068,-0.099)      4.11152
69      9.62211   1.57062   1.15772  -3.79667 -22.44252 -31.71917       (-7.873,-0.413) (-2.453,-0.566) (-10.079,-0.089)      4.13347
70      9.61155   1.56458   1.15631  -3.79794 -22.41852 -31.69329       (-7.888,-0.408) (-2.447,-0.590) (-10.089,-0.079)      4.15555
71      9.60098   1.55854   1.15491  -3.79921 -22.39451 -31.66740       (-7.904,-0.404) (-2.441,-0.613) (-10.100,-0.069)      4.17778
72      9.59042   1.55250   1.15351  -3.80048 -22.37051 -31.64152       (-7.920,-0.399) (-2.435,-0.636) (-10.110,-0.059)      4.19959
73      9.57986   1.54645   1.15211  -3.80175 -22.34650 -31.61563       (-7.936,-0.394) (-2.429,-0.660) (-10.121,-0.049)      4.22084
74      9.56929   1.54041   1.15070  -3.80302 -22.32250 -31.58975       (-7.951,-0.390) (-2.423,-0.683) (-10.131,-0.039)      4.24223
75      9.55873   1.53437   1.14930  -3.80429 -22.29849 -31.56387       (-7.967,-0.385) (-2.417,-0.707) (-10.142,-0.029)      4.26376
76      9.54817   1.52833   1.14790  -3.80556 -22.27449 -31.53798       (-7.983,-0.380) (-2.411,-0.730) (-10.152,-0.019)      4.28543
