2BOUNDS_2018-03-07.14_21_38.62_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -14.40321 -59.84949 -14.57953 -28.90552  19.38025 -30.32389       (-0.429,-4.450) (-78.372,-0.175) (-0.134,-4.977)      7.10543e-15
1    -14.39325 -59.86804 -14.56992 -28.87701  19.36067 -30.29367       (-0.419,-4.479) (-78.392,-0.156) (-0.203,-4.967)      0.0811139
2    -14.38329 -59.88658 -14.56031 -28.84851  19.34110 -30.26345       (-0.408,-4.509) (-78.411,-0.136) (-0.272,-4.958)      0.162228
3    -14.37332 -59.90512 -14.55070 -28.82000  19.32152 -30.23323       (-0.398,-4.538) (-78.431,-0.117) (-0.341,-4.948)      0.243342
4    -14.36336 -59.92366 -14.54108 -28.79150  19.30195 -30.20301       (-0.388,-4.567) (-78.450,-0.097) (-0.410,-4.939)      0.324456
5    -14.35340 -59.94220 -14.53147 -28.76299  19.28237 -30.17279       (-0.377,-4.596) (-78.470,-0.077) (-0.479,-4.929)      0.398334
6    -14.34343 -59.96074 -14.52186 -28.73448  19.26280 -30.14257       (-0.367,-4.625) (-78.489,-0.058) (-0.548,-4.919)      0.413014
7    -14.33347 -59.97928 -14.51225 -28.70598  19.24322 -30.11235       (-0.357,-4.655) (-78.509,-0.038) (-0.617,-4.910)      0.442323
8    -14.32351 -59.99782 -14.50264 -28.67747  19.22365 -30.08213       (-0.346,-4.684) (-78.529,-0.019) (-0.686,-4.900)      0.483609
9    -14.31355 -60.01637 -14.49302 -28.64897  19.20407 -30.05191       (-0.754,-4.712) (-78.549,-0.001) (-0.335,-4.890)      0.533186
10    -14.30358 -60.03491 -14.48341 -28.62046  19.18450 -30.02169       (-0.804,-4.722) (-78.588,-0.021) (-0.305,-4.860)      0.572558
11    -14.29362 -60.05345 -14.47380 -28.59196  19.16492 -29.99147       (-0.853,-4.731) (-78.627,-0.040) (-0.275,-4.831)      0.619475
12    -14.28366 -60.07199 -14.46419 -28.56345  19.14535 -29.96125       (-0.903,-4.741) (-78.666,-0.060) (-0.246,-4.802)      0.672359
