10PERCENT_2018-03-07.11_27_27.715_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -18.04372   0.37793   7.79016 -58.88200 -72.42272   9.70509       (-0.378,-31.676) (-41.790,-2.122) (-5.460,-8.546)      1.19162e-14
1    -18.02604   0.33572   7.77689 -58.85477 -72.35235   9.68682       (-0.336,-32.044) (-41.958,-2.019) (-5.649,-8.448)      0.470316
2    -18.00835   0.29351   7.76363 -58.82753 -72.28198   9.66855       (-0.294,-32.412) (-42.126,-1.916) (-5.837,-8.351)      0.940632
3    -17.99067   0.25130   7.75036 -58.80030 -72.21161   9.65028       (-0.251,-32.780) (-42.294,-1.813) (-6.025,-8.253)      1.41095
4    -17.97299   0.20909   7.73710 -58.77307 -72.14124   9.63202       (-0.209,-33.148) (-42.462,-1.709) (-6.214,-8.155)      1.88126
5    -17.95530   0.16688   7.72384 -58.74583 -72.07087   9.61375       (-0.167,-33.516) (-42.631,-1.606) (-6.402,-8.058)      2.35158
6    -17.93762   0.12467   7.71057 -58.71860 -72.00049   9.59548       (-0.125,-33.884) (-42.799,-1.503) (-6.590,-7.960)      2.8219
7    -17.91994   0.08246   7.69731 -58.69137 -71.93012   9.57721       (-0.082,-34.252) (-42.967,-1.399) (-6.778,-7.862)      3.29221
8    -17.90225   0.04025   7.68404 -58.66413 -71.85975   9.55894       (-0.040,-34.621) (-43.135,-1.296) (-6.967,-7.765)      3.76253
9    -17.88457  -0.00196   7.67078 -58.63690 -71.78938   9.54067       (-0.002,-34.991) (-43.301,-7.153) (-1.191,-7.665)      4.23373
10    -17.86689  -0.04417   7.65752 -58.60967 -71.71901   9.52240       (-0.044,-35.401) (-43.427,-7.299) (-1.045,-7.525)      4.72412
11    -17.84920  -0.08638   7.64425 -58.58243 -71.64864   9.50413       (-0.086,-35.811) (-43.553,-7.445) (-0.900,-7.385)      5.21596
12    -17.83152  -0.12859   7.63099 -58.55520 -71.57827   9.48586       (-0.129,-36.221) (-43.679,-7.591) (-0.754,-7.245)      5.70887
13    -17.81384  -0.17080   7.61773 -58.52797 -71.50790   9.46759       (-0.171,-36.632) (-43.805,-7.737) (-0.609,-7.105)      6.20261
14    -17.79615  -0.21301   7.60446 -58.50073 -71.43753   9.44932       (-0.213,-37.042) (-43.931,-7.883) (-0.463,-6.965)      6.69699
15    -17.77847  -0.25522   7.59120 -58.47350 -71.36716   9.43105       (-0.255,-37.452) (-44.057,-8.029) (-0.318,-6.826)      7.19187
16    -17.76078  -0.29743   7.57793 -58.44627 -71.29679   9.41278       (-0.297,-37.863) (-44.183,-8.176) (-0.172,-6.686)      7.68716
17    -17.74310  -0.33964   7.56467 -58.41903 -71.22642   9.39451       (-0.340,-38.273) (-44.309,-8.322) (-0.027,-6.546)      8.18279
18    -17.72542  -0.38185   7.55141 -58.39180 -71.15605   9.37624       (-0.263,-44.316) (-38.565,-8.349) (-0.118,-6.524)      8.48704
19    -17.70773  -0.42406   7.53814 -58.36457 -71.08567   9.35797       (-0.160,-44.296) (-38.830,-8.350) (-0.264,-6.530)      8.6657
20    -17.69005  -0.46627   7.52488 -58.33733 -71.01530   9.33970       (-0.057,-44.277) (-39.094,-8.350) (-0.409,-6.536)      8.85233
21    -17.67237  -0.50848   7.51161 -58.31010 -70.94493   9.32144       (-0.046,-44.304) (-39.313,-0.508) (-8.304,-6.495)      9.01473
22    -17.65468  -0.55069   7.49835 -58.28287 -70.87456   9.30317       (-0.150,-44.388) (-39.474,-0.551) (-8.202,-6.397)      9.14429
23    -17.63700  -0.59290   7.48509 -58.25563 -70.80419   9.28490       (-0.253,-44.471) (-39.636,-0.593) (-8.099,-6.299)      9.27912
24    -17.61932  -0.63511   7.47182 -58.22840 -70.73382   9.26663       (-0.356,-44.555) (-39.797,-0.635) (-7.996,-6.202)      9.41898
25    -17.60163  -0.67732   7.45856 -58.20117 -70.66345   9.24836       (-0.460,-44.639) (-39.959,-0.677) (-7.894,-6.104)      9.56367
26    -17.58395  -0.71953   7.44530 -58.17393 -70.59308   9.23009       (-0.563,-44.722) (-40.120,-0.720) (-7.791,-6.006)      9.71296
27    -17.56627  -0.76174   7.43203 -58.14670 -70.52271   9.21182       (-0.666,-44.806) (-40.282,-0.762) (-7.688,-5.909)      9.86665
28    -17.54858  -0.80395   7.41877 -58.11947 -70.45234   9.19355       (-0.769,-44.890) (-40.443,-0.804) (-7.586,-5.811)      10.0245
29    -17.53090  -0.84616   7.40550 -58.09223 -70.38197   9.17528       (-0.873,-44.974) (-40.605,-0.846) (-7.483,-5.713)      10.1864
30    -17.51322  -0.88837   7.39224 -58.06500 -70.31160   9.15701       (-0.976,-45.057) (-40.767,-0.888) (-7.380,-5.616)      10.3521
31    -17.49553  -0.93058   7.37898 -58.03776 -70.24123   9.13874       (-1.079,-45.141) (-40.928,-0.931) (-7.278,-5.518)      10.5214
32    -17.47785  -0.97279   7.36571 -58.01053 -70.17085   9.12047       (-1.182,-45.225) (-41.090,-0.973) (-7.175,-5.420)      10.6942
33    -17.46017  -1.01500   7.35245 -57.98330 -70.10048   9.10220       (-1.286,-45.308) (-41.251,-1.015) (-7.072,-5.322)      10.8702
34    -17.44248  -1.05721   7.33918 -57.95606 -70.03011   9.08393       (-1.389,-45.392) (-41.413,-1.057) (-6.970,-5.225)      11.0494
35    -17.42480  -1.09942   7.32592 -57.92883 -69.95974   9.06566       (-1.492,-45.476) (-41.574,-1.099) (-6.867,-5.127)      11.2316
36    -17.40712  -1.14163   7.31266 -57.90160 -69.88937   9.04739       (-1.596,-45.560) (-41.736,-1.142) (-6.764,-5.029)      11.4166
37    -17.38943  -1.18384   7.29939 -57.87436 -69.81900   9.02913       (-1.699,-45.643) (-41.897,-1.184) (-6.661,-4.932)      11.6044
38    -17.37175  -1.22605   7.28613 -57.84713 -69.74863   9.01086       (-1.802,-45.727) (-42.059,-1.226) (-6.559,-4.834)      11.7947
39    -17.35407  -1.26826   7.27287 -57.81990 -69.67826   8.99259       (-1.905,-45.811) (-42.220,-1.268) (-6.456,-4.736)      11.9875
