2BOUNDS_2018-03-07.14_56_44.917_.txt     Output is probe cell, reduced cell, NCDist distance between
0     19.12201   4.44343   6.21097 -27.72601 -53.42595 -49.90081       (-7.203,-4.443) (-1.768,-14.679) (-10.861,-7.213)      0
1     19.09566   4.43721   6.19388 -27.70270 -53.38717 -49.85808       (-7.245,-4.437) (-1.757,-14.658) (-10.878,-7.230)      0.0535736
2     19.06931   4.43100   6.17680 -27.67940 -53.34838 -49.81535       (-7.287,-4.431) (-1.746,-14.638) (-10.895,-7.246)      0.107147
3     19.04296   4.42478   6.15971 -27.65609 -53.30959 -49.77262       (-7.329,-4.425) (-1.735,-14.618) (-10.912,-7.262)      0.160721
4     19.01660   4.41856   6.14262 -27.63279 -53.27081 -49.72989       (-7.371,-4.419) (-1.724,-14.598) (-10.929,-7.278)      0.214295
5     18.99025   4.41235   6.12553 -27.60948 -53.23202 -49.68716       (-7.413,-4.412) (-1.713,-14.578) (-10.946,-7.294)      0.267868
6     18.96390   4.40613   6.10844 -27.58618 -53.19324 -49.64443       (-7.455,-4.406) (-1.702,-14.558) (-10.963,-7.311)      0.321442
7     18.93755   4.39991   6.09135 -27.56287 -53.15445 -49.60170       (-7.497,-4.400) (-1.691,-14.538) (-10.980,-7.327)      0.375016
8     18.91120   4.39369   6.07426 -27.53956 -53.11566 -49.55897       (-7.538,-4.394) (-1.681,-14.518) (-10.997,-7.343)      0.428589
9     18.88485   4.38748   6.05717 -27.51626 -53.07688 -49.51624       (-7.580,-4.387) (-1.670,-14.497) (-11.014,-7.359)      0.482163
10     18.85849   4.38126   6.04009 -27.49295 -53.03809 -49.47351       (-7.622,-4.381) (-1.659,-14.477) (-11.032,-7.375)      0.535736
11     18.83214   4.37504   6.02300 -27.46965 -52.99930 -49.43078       (-7.664,-4.375) (-1.648,-14.457) (-11.049,-7.391)      0.58931
12     18.80579   4.36883   6.00591 -27.44634 -52.96052 -49.38805       (-7.706,-4.369) (-1.637,-14.437) (-11.066,-7.408)      0.642884
13     18.77944   4.36261   5.98882 -27.42303 -52.92173 -49.34532       (-7.748,-4.363) (-1.626,-14.417) (-11.083,-7.424)      0.696457
14     18.75309   4.35639   5.97173 -27.39973 -52.88295 -49.30259       (-7.790,-4.356) (-1.615,-14.397) (-11.100,-7.440)      0.750031
15     18.72673   4.35017   5.95464 -27.37642 -52.84416 -49.25986       (-7.832,-4.350) (-1.604,-14.377) (-11.117,-7.456)      0.803605
16     18.70038   4.34396   5.93755 -27.35312 -52.80537 -49.21713       (-7.873,-4.344) (-1.594,-14.356) (-11.134,-7.472)      0.857178
17     18.67403   4.33774   5.92046 -27.32981 -52.76659 -49.17440       (-7.915,-4.338) (-1.583,-14.336) (-11.151,-7.489)      0.910752
18     18.64768   4.33152   5.90338 -27.30650 -52.72780 -49.13167       (-7.957,-4.332) (-1.572,-14.316) (-11.168,-7.505)      0.964326
19     18.62133   4.32531   5.88629 -27.28320 -52.68902 -49.08894       (-7.999,-4.325) (-1.561,-14.296) (-11.185,-7.521)      1.0179
20     18.59498   4.31909   5.86920 -27.25989 -52.65023 -49.04621       (-8.041,-4.319) (-1.550,-14.276) (-11.202,-7.537)      1.07147
21     18.56862   4.31287   5.85211 -27.23659 -52.61144 -49.00348       (-8.083,-4.313) (-1.539,-14.256) (-11.219,-7.553)      1.12505
22     18.54227   4.30665   5.83502 -27.21328 -52.57266 -48.96075       (-8.125,-4.307) (-1.528,-14.236) (-11.237,-7.570)      1.17862
23     18.51592   4.30044   5.81793 -27.18998 -52.53387 -48.91802       (-8.167,-4.300) (-1.517,-14.215) (-11.254,-7.586)      1.23219
24     18.48957   4.29422   5.80084 -27.16667 -52.49508 -48.87529       (-8.208,-4.294) (-1.507,-14.195) (-11.271,-7.602)      1.28577
25     18.46322   4.28800   5.78376 -27.14336 -52.45630 -48.83256       (-8.250,-4.288) (-1.496,-14.175) (-11.288,-7.618)      1.33934
26     18.43687   4.28179   5.76667 -27.12006 -52.41751 -48.78983       (-8.292,-4.282) (-1.485,-14.155) (-11.305,-7.634)      1.39291
27     18.41051   4.27557   5.74958 -27.09675 -52.37873 -48.74710       (-8.334,-4.276) (-1.474,-14.135) (-11.322,-7.651)      1.44649
28     18.38416   4.26935   5.73249 -27.07345 -52.33994 -48.70437       (-8.376,-4.269) (-1.463,-14.115) (-11.339,-7.667)      1.50006
29     18.35781   4.26313   5.71540 -27.05014 -52.30115 -48.66164       (-8.418,-4.263) (-1.452,-14.095) (-11.356,-7.683)      1.55364
30     18.33146   4.25692   5.69831 -27.02683 -52.26237 -48.61891       (-8.460,-4.257) (-1.441,-14.075) (-11.373,-7.699)      1.60721
31     18.30511   4.25070   5.68122 -27.00353 -52.22358 -48.57618       (-8.502,-4.251) (-1.431,-14.054) (-11.390,-7.715)      1.66078
32     18.27875   4.24448   5.66413 -26.98022 -52.18480 -48.53345       (-8.543,-4.244) (-1.420,-14.034) (-11.407,-7.731)      1.71436
33     18.25240   4.23826   5.64705 -26.95692 -52.14601 -48.49072       (-8.585,-4.238) (-1.409,-14.014) (-11.425,-7.748)      1.76793
34     18.22605   4.23205   5.62996 -26.93361 -52.10722 -48.44799       (-8.627,-4.232) (-1.398,-13.994) (-11.442,-7.764)      1.8215
35     18.19970   4.22583   5.61287 -26.91030 -52.06844 -48.40526       (-8.669,-4.226) (-1.387,-13.974) (-11.459,-7.780)      1.87508
36     18.17335   4.21961   5.59578 -26.88700 -52.02965 -48.36253       (-8.711,-4.220) (-1.376,-13.954) (-11.476,-7.796)      1.92865
37     18.14700   4.21340   5.57869 -26.86369 -51.99086 -48.31980       (-8.753,-4.213) (-1.365,-13.934) (-11.493,-7.812)      1.98223
38     18.12064   4.20718   5.56160 -26.84039 -51.95208 -48.27707       (-8.795,-4.207) (-1.354,-13.913) (-11.510,-7.829)      2.0358
39     18.09429   4.20096   5.54451 -26.81708 -51.91329 -48.23434       (-8.837,-4.201) (-1.344,-13.893) (-11.527,-7.845)      2.08937
40     18.06794   4.19474   5.52742 -26.79378 -51.87451 -48.19161       (-8.879,-4.195) (-1.333,-13.873) (-11.544,-7.861)      2.14295
41     18.04159   4.18853   5.51034 -26.77047 -51.83572 -48.14888       (-8.920,-4.189) (-1.322,-13.853) (-11.561,-7.877)      2.19652
42     18.01524   4.18231   5.49325 -26.74716 -51.79693 -48.10615       (-8.962,-4.182) (-1.311,-13.833) (-11.578,-7.893)      2.25009
43     17.98889   4.17609   5.47616 -26.72386 -51.75815 -48.06342       (-9.004,-4.176) (-1.300,-13.813) (-11.595,-7.910)      2.30367
44     17.96253   4.16988   5.45907 -26.70055 -51.71936 -48.02069       (-9.046,-4.170) (-1.289,-13.793) (-11.613,-7.926)      2.35724
45     17.93618   4.16366   5.44198 -26.67725 -51.68058 -47.97796       (-9.088,-4.164) (-1.278,-13.773) (-11.630,-7.942)      2.41081
46     17.90983   4.15744   5.42489 -26.65394 -51.64179 -47.93523       (-9.130,-4.157) (-1.267,-13.752) (-11.647,-7.958)      2.46439
47     17.88348   4.15122   5.40780 -26.63063 -51.60300 -47.89250       (-9.172,-4.151) (-1.257,-13.732) (-11.664,-7.974)      2.51796
48     17.85713   4.14501   5.39072 -26.60733 -51.56422 -47.84977       (-9.214,-4.145) (-1.246,-13.712) (-11.681,-7.991)      2.57154
49     17.83077   4.13879   5.37363 -26.58402 -51.52543 -47.80704       (-9.255,-4.139) (-1.235,-13.692) (-11.698,-8.007)      2.62511
50     17.80442   4.13257   5.35654 -26.56072 -51.48664 -47.76431       (-9.297,-4.133) (-1.224,-13.672) (-11.715,-8.023)      2.67868
51     17.77807   4.12636   5.33945 -26.53741 -51.44786 -47.72158       (-9.339,-4.126) (-1.213,-13.652) (-11.732,-8.039)      2.73226
52     17.75172   4.12014   5.32236 -26.51410 -51.40907 -47.67885       (-9.381,-4.120) (-1.202,-13.632) (-11.749,-8.055)      2.78583
53     17.72537   4.11392   5.30527 -26.49080 -51.37029 -47.63612       (-9.423,-4.114) (-1.191,-13.611) (-11.766,-8.071)      2.8394
54     17.69902   4.10770   5.28818 -26.46749 -51.33150 -47.59338       (-9.465,-4.108) (-1.180,-13.591) (-11.783,-8.088)      2.89298
55     17.67266   4.10149   5.27109 -26.44419 -51.29271 -47.55065       (-9.507,-4.101) (-1.170,-13.571) (-11.801,-8.104)      2.94655
56     17.64631   4.09527   5.25401 -26.42088 -51.25393 -47.50792       (-9.549,-4.095) (-1.159,-13.551) (-11.818,-8.120)      3.00012
57     17.61996   4.08905   5.23692 -26.39758 -51.21514 -47.46519       (-9.590,-4.089) (-1.148,-13.531) (-11.835,-8.136)      3.0537
58     17.59361   4.08284   5.21983 -26.37427 -51.17635 -47.42246       (-9.632,-4.083) (-1.137,-13.511) (-11.852,-8.152)      3.10727
59     17.56726   4.07662   5.20274 -26.35096 -51.13757 -47.37973       (-9.674,-4.077) (-1.126,-13.491) (-11.869,-8.169)      3.16085
60     17.54090   4.07040   5.18565 -26.32766 -51.09878 -47.33700       (-9.716,-4.070) (-1.115,-13.471) (-11.886,-8.185)      3.21442
61     17.51455   4.06418   5.16856 -26.30435 -51.06000 -47.29427       (-9.758,-4.064) (-1.104,-13.450) (-11.903,-8.201)      3.26799
62     17.48820   4.05797   5.15147 -26.28105 -51.02121 -47.25154       (-9.800,-4.058) (-1.094,-13.430) (-11.920,-8.217)      3.32157
63     17.46185   4.05175   5.13438 -26.25774 -50.98242 -47.20881       (-9.842,-4.052) (-1.083,-13.410) (-11.937,-8.233)      3.37514
64     17.43550   4.04553   5.11730 -26.23443 -50.94364 -47.16608       (-9.884,-4.046) (-1.072,-13.390) (-11.954,-8.250)      3.42871
65     17.40915   4.03931   5.10021 -26.21113 -50.90485 -47.12335       (-9.925,-4.039) (-1.061,-13.370) (-11.971,-8.266)      3.48229
66     17.38279   4.03310   5.08312 -26.18782 -50.86607 -47.08062       (-9.967,-4.033) (-1.050,-13.350) (-11.988,-8.282)      3.53586
67     17.35644   4.02688   5.06603 -26.16452 -50.82728 -47.03789       (-10.009,-4.027) (-1.039,-13.330) (-12.006,-8.298)      3.58943
68     17.33009   4.02066   5.04894 -26.14121 -50.78849 -46.99516       (-10.051,-4.021) (-1.028,-13.309) (-12.023,-8.314)      3.64301
69     17.30374   4.01445   5.03185 -26.11790 -50.74971 -46.95243       (-10.093,-4.014) (-1.017,-13.289) (-12.040,-8.331)      3.69658
70     17.27739   4.00823   5.01476 -26.09460 -50.71092 -46.90970       (-10.135,-4.008) (-1.007,-13.269) (-12.057,-8.347)      3.75016
71     17.25104   4.00201   4.99768 -26.07129 -50.67213 -46.86697       (-10.177,-4.002) (-0.996,-13.249) (-12.074,-8.363)      3.80373
72     17.22468   3.99579   4.98059 -26.04799 -50.63335 -46.82424       (-10.219,-3.996) (-0.985,-13.229) (-12.091,-8.379)      3.8573
73     17.19833   3.98958   4.96350 -26.02468 -50.59456 -46.78151       (-10.260,-3.990) (-0.974,-13.209) (-12.108,-8.395)      3.91088
74     17.17198   3.98336   4.94641 -26.00138 -50.55578 -46.73878       (-10.302,-3.983) (-0.963,-13.189) (-12.125,-8.411)      3.96445
75     17.14563   3.97714   4.92932 -25.97807 -50.51699 -46.69605       (-10.344,-3.977) (-0.952,-13.168) (-12.142,-8.428)      4.01802
76     17.11928   3.97093   4.91223 -25.95476 -50.47820 -46.65332       (-10.386,-3.971) (-0.941,-13.148) (-12.159,-8.444)      4.0716
77     17.09292   3.96471   4.89514 -25.93146 -50.43942 -46.61059       (-10.428,-3.965) (-0.930,-13.128) (-12.176,-8.460)      4.12517
78     17.06657   3.95849   4.87805 -25.90815 -50.40063 -46.56786       (-10.470,-3.958) (-0.920,-13.108) (-12.194,-8.476)      4.17874
79     17.04022   3.95227   4.86097 -25.88485 -50.36185 -46.52513       (-10.512,-3.952) (-0.909,-13.088) (-12.211,-8.492)      4.23232
80     17.01387   3.94606   4.84388 -25.86154 -50.32306 -46.48240       (-10.554,-3.946) (-0.898,-13.068) (-12.228,-8.509)      4.28589
81     16.98752   3.93984   4.82679 -25.83823 -50.28427 -46.43967       (-10.596,-3.940) (-0.887,-13.048) (-12.245,-8.525)      4.33947
82     16.96117   3.93362   4.80970 -25.81493 -50.24549 -46.39694       (-10.637,-3.934) (-0.876,-13.028) (-12.262,-8.541)      4.39304
83     16.93481   3.92741   4.79261 -25.79162 -50.20670 -46.35421       (-10.679,-3.927) (-0.865,-13.007) (-12.279,-8.557)      4.44661
84     16.90846   3.92119   4.77552 -25.76832 -50.16791 -46.31148       (-10.721,-3.921) (-0.854,-12.987) (-12.296,-8.573)      4.50019
