Fol_2018-02-25.13_34_36.25_.txt     Output is probe cell, reduced cell, NCDist distance between
0    1067.99562 -1139.69270 -1137.53243 953.86806 -1143.40180 -1195.39459       (-1067.996,-114.128) (-71.697,-69.537) (-75.406,-127.399)      3.21555e-13
1    1065.85749 -1138.62364 -1136.46924 952.79899 -1142.32686 -1194.32553       (-1065.857,-113.058) (-72.766,-70.612) (-76.469,-128.468)      3.2072
2    1063.71936 -1137.55457 -1135.40605 951.72993 -1141.25192 -1193.25646       (-1063.719,-111.989) (-73.835,-71.687) (-77.533,-129.537)      6.41441
3    1061.58123 -1136.48551 -1134.34286 950.66087 -1140.17698 -1192.18740       (-1061.581,-110.920) (-74.904,-72.762) (-78.596,-130.606)      9.62161
4    1059.44310 -1135.41644 -1133.27967 949.59180 -1139.10204 -1191.11833       (-1059.443,-109.851) (-75.973,-73.837) (-79.659,-131.675)      12.8288
5    1057.30497 -1134.34738 -1132.21648 948.52274 -1138.02710 -1190.04927       (-1057.305,-108.782) (-77.042,-74.912) (-80.722,-132.744)      16.036
6    1055.16684 -1133.27831 -1131.15329 947.45367 -1136.95216 -1188.98020       (-1055.167,-107.713) (-78.111,-75.986) (-81.785,-133.813)      19.2432
7    1053.02871 -1132.20925 -1130.09010 946.38461 -1135.87722 -1187.91114       (-1053.029,-106.644) (-79.181,-77.061) (-82.849,-134.882)      22.4504
8    1050.89058 -1131.14019 -1129.02691 945.31554 -1134.80228 -1186.84207       (-1050.891,-105.575) (-80.250,-78.136) (-83.912,-135.951)      25.6576
9    1048.75246 -1130.07112 -1127.96372 944.24648 -1133.72734 -1185.77301       (-1048.752,-104.506) (-81.319,-79.211) (-84.975,-137.021)      28.8648
10    1046.61433 -1129.00206 -1126.90053 943.17741 -1132.65240 -1184.70395       (-1046.614,-103.437) (-82.388,-80.286) (-86.038,-138.090)      32.072
11    1044.47620 -1127.93299 -1125.83734 942.10835 -1131.57746 -1183.63488       (-1044.476,-102.368) (-83.457,-81.361) (-87.101,-139.159)      35.2793
12    1042.33807 -1126.86393 -1124.77416 941.03928 -1130.50252 -1182.56582       (-1042.338,-101.299) (-84.526,-82.436) (-88.164,-140.228)      38.4865
13    1040.19994 -1125.79486 -1123.71097 939.97022 -1129.42758 -1181.49675       (-1040.200,-100.230) (-85.595,-83.511) (-89.228,-141.297)      41.6937
14    1038.06181 -1124.72580 -1122.64778 938.90115 -1128.35264 -1180.42769       (-1038.062,-99.161) (-86.664,-84.586) (-90.291,-142.366)      44.9009
15    1035.92368 -1123.65673 -1121.58459 937.83209 -1127.27770 -1179.35862       (-1035.924,-98.092) (-87.733,-85.661) (-91.354,-143.435)      48.1081
16    1033.78555 -1122.58767 -1120.52140 936.76302 -1126.20276 -1178.28956       (-1033.786,-97.023) (-88.802,-86.736) (-92.417,-144.504)      51.3153
17    1031.64742 -1121.51860 -1119.45821 935.69396 -1125.12782 -1177.22049       (-1031.647,-95.953) (-89.871,-87.811) (-93.480,-145.573)      54.5225
18    1029.50929 -1120.44954 -1118.39502 934.62489 -1124.05288 -1176.15143       (-1029.509,-94.884) (-90.940,-88.886) (-94.544,-146.642)      57.7297
19    1027.37116 -1119.38047 -1117.33183 933.55583 -1122.97794 -1175.08236       (-1027.371,-93.815) (-92.009,-89.961) (-95.607,-147.711)      60.9369
20    1025.23303 -1118.31141 -1116.26864 932.48677 -1121.90300 -1174.01330       (-1025.233,-92.746) (-93.078,-91.036) (-96.670,-148.780)      64.1441
21    1023.09490 -1117.24234 -1115.20545 931.41770 -1120.82806 -1172.94423       (-1023.095,-91.677) (-94.147,-92.111) (-97.733,-149.849)      67.3513
22    1020.95677 -1116.17328 -1114.14226 930.34864 -1119.75312 -1171.87517       (-1020.957,-90.608) (-95.217,-93.185) (-98.796,-150.918)      70.5585
23    1018.81864 -1115.10422 -1113.07907 929.27957 -1118.67818 -1170.80610       (-1018.819,-89.539) (-96.286,-94.260) (-99.860,-151.987)      73.7657
24    1016.68052 -1114.03515 -1112.01588 928.21051 -1117.60324 -1169.73704       (-1016.681,-88.470) (-97.355,-95.335) (-100.923,-153.057)      76.9729
25    1014.54239 -1112.96609 -1110.95269 927.14144 -1116.52830 -1168.66797       (-1014.542,-87.401) (-98.424,-96.410) (-101.986,-154.126)      80.1801
26    1012.40426 -1111.89702 -1109.88950 926.07238 -1115.45337 -1167.59891       (-1012.404,-86.332) (-99.493,-97.485) (-103.049,-155.195)      83.3873
27    1010.26613 -1110.82796 -1108.82631 925.00331 -1114.37843 -1166.52985       (-1010.266,-85.263) (-100.562,-98.560) (-104.112,-156.264)      86.5945
28    1008.12800 -1109.75889 -1107.76312 923.93425 -1113.30349 -1165.46078       (-1008.128,-84.194) (-101.631,-99.635) (-105.175,-157.333)      89.8017
29    1005.98987 -1108.68983 -1106.69993 922.86518 -1112.22855 -1164.39172       (-1005.990,-83.125) (-102.700,-100.710) (-106.239,-158.402)      93.0089
30    1003.85174 -1107.62076 -1105.63675 921.79612 -1111.15361 -1163.32265       (-1003.852,-82.056) (-103.769,-101.785) (-107.302,-159.471)      96.2161
31    1001.71361 -1106.55170 -1104.57356 920.72705 -1110.07867 -1162.25359       (-1001.714,-80.987) (-104.838,-102.860) (-108.365,-160.540)      99.4233
32    999.57548 -1105.48263 -1103.51037 919.65799 -1109.00373 -1161.18452       (-999.575,-79.917) (-105.907,-103.935) (-109.428,-161.609)      102.631
33    997.43735 -1104.41357 -1102.44718 918.58892 -1107.92879 -1160.11546       (-997.437,-78.848) (-106.976,-105.010) (-110.491,-162.678)      105.838
34    995.29922 -1103.34450 -1101.38399 917.51986 -1106.85385 -1159.04639       (-995.299,-77.779) (-108.045,-106.085) (-111.555,-163.747)      109.045
35    993.16109 -1102.27544 -1100.32080 916.45080 -1105.77891 -1157.97733       (-993.161,-76.710) (-109.114,-107.160) (-112.618,-164.816)      112.252
36    991.02296 -1101.20637 -1099.25761 915.38173 -1104.70397 -1156.90826       (-991.023,-75.641) (-110.183,-108.235) (-113.681,-165.885)      115.459
