2BOUNDS_2018-03-07.14_30_41.266_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -13.56028  -3.56911   3.97613  -2.76776  -5.30333 -21.55429       (-25.530,-0.745) (-1.208,-0.513) (-0.407,-7.167)      4.44089e-16
1    -13.55388  -3.56674   3.97140  -2.76540  -5.29853 -21.55827       (-25.530,-0.750) (-1.206,-0.518) (-0.405,-7.170)      0.00806696
2    -13.54748  -3.56438   3.96667  -2.76303  -5.29374 -21.56225       (-25.529,-0.755) (-1.204,-0.522) (-0.402,-7.174)      0.0161339
3    -13.54108  -3.56202   3.96195  -2.76067  -5.28894 -21.56623       (-25.528,-0.760) (-1.201,-0.527) (-0.400,-7.177)      0.0242009
4    -13.53468  -3.55965   3.95722  -2.75831  -5.28415 -21.57021       (-25.527,-0.764) (-1.199,-0.532) (-0.398,-7.180)      0.0322678
5    -13.52828  -3.55729   3.95249  -2.75594  -5.27935 -21.57419       (-25.527,-0.769) (-1.197,-0.536) (-0.395,-7.183)      0.0403348
6    -13.52188  -3.55493   3.94777  -2.75358  -5.27456 -21.57817       (-25.526,-0.774) (-1.194,-0.541) (-0.393,-7.186)      0.0484018
7    -13.51548  -3.55256   3.94304  -2.75122  -5.26976 -21.58215       (-25.525,-0.778) (-1.192,-0.546) (-0.390,-7.189)      0.0564687
8    -13.50908  -3.55020   3.93832  -2.74885  -5.26497 -21.58613       (-25.524,-0.783) (-1.189,-0.550) (-0.388,-7.192)      0.0645357
9    -13.50269  -3.54784   3.93359  -2.74649  -5.26017 -21.59011       (-25.524,-0.788) (-1.187,-0.555) (-0.386,-7.195)      0.0726026
10    -13.49629  -3.54548   3.92886  -2.74413  -5.25538 -21.59409       (-25.523,-0.793) (-1.185,-0.560) (-0.383,-7.198)      0.0806696
11    -13.48989  -3.54311   3.92414  -2.74177  -5.25058 -21.59807       (-25.522,-0.797) (-1.182,-0.564) (-0.381,-7.201)      0.0887366
12    -13.48349  -3.54075   3.91941  -2.73940  -5.24579 -21.60205       (-25.521,-0.802) (-1.180,-0.569) (-0.379,-7.204)      0.0968035
13    -13.47709  -3.53839   3.91468  -2.73704  -5.24099 -21.60603       (-25.521,-0.807) (-1.178,-0.574) (-0.376,-7.207)      0.10487
14    -13.47069  -3.53602   3.90996  -2.73468  -5.23620 -21.61001       (-25.520,-0.812) (-1.175,-0.578) (-0.374,-7.210)      0.112937
15    -13.46429  -3.53366   3.90523  -2.73231  -5.23140 -21.61399       (-25.519,-0.816) (-1.173,-0.583) (-0.372,-7.213)      0.121004
16    -13.45789  -3.53130   3.90051  -2.72995  -5.22661 -21.61797       (-25.518,-0.821) (-1.171,-0.588) (-0.369,-7.216)      0.129071
17    -13.45149  -3.52893   3.89578  -2.72759  -5.22181 -21.62195       (-25.518,-0.826) (-1.168,-0.592) (-0.367,-7.219)      0.137138
18    -13.44509  -3.52657   3.89105  -2.72522  -5.21702 -21.62593       (-25.517,-0.830) (-1.166,-0.597) (-0.364,-7.222)      0.145205
19    -13.43869  -3.52421   3.88633  -2.72286  -5.21222 -21.62991       (-25.516,-0.835) (-1.163,-0.602) (-0.362,-7.225)      0.153272
20    -13.43229  -3.52184   3.88160  -2.72050  -5.20743 -21.63389       (-25.515,-0.840) (-1.161,-0.606) (-0.360,-7.228)      0.161339
21    -13.42589  -3.51948   3.87687  -2.71813  -5.20263 -21.63787       (-25.515,-0.845) (-1.159,-0.611) (-0.357,-7.232)      0.169406
22    -13.41950  -3.51712   3.87215  -2.71577  -5.19784 -21.64185       (-25.514,-0.849) (-1.156,-0.616) (-0.355,-7.235)      0.177473
23    -13.41310  -3.51475   3.86742  -2.71341  -5.19304 -21.64583       (-25.513,-0.854) (-1.154,-0.620) (-0.353,-7.238)      0.18554
24    -13.40670  -3.51239   3.86270  -2.71104  -5.18825 -21.64981       (-25.513,-0.859) (-1.152,-0.625) (-0.350,-7.241)      0.193607
25    -13.40030  -3.51003   3.85797  -2.70868  -5.18345 -21.65379       (-25.512,-0.864) (-1.149,-0.630) (-0.348,-7.244)      0.201674
26    -13.39390  -3.50767   3.85324  -2.70632  -5.17866 -21.65777       (-25.511,-0.868) (-1.147,-0.634) (-0.346,-7.247)      0.209741
27    -13.38750  -3.50530   3.84852  -2.70396  -5.17386 -21.66175       (-25.510,-0.873) (-1.145,-0.639) (-0.343,-7.250)      0.217808
28    -13.38110  -3.50294   3.84379  -2.70159  -5.16907 -21.66573       (-25.510,-0.878) (-1.142,-0.644) (-0.341,-7.253)      0.225875
29    -13.37470  -3.50058   3.83907  -2.69923  -5.16427 -21.66971       (-25.509,-0.882) (-1.140,-0.648) (-0.338,-7.256)      0.233942
30    -13.36830  -3.49821   3.83434  -2.69687  -5.15948 -21.67369       (-25.508,-0.887) (-1.137,-0.653) (-0.336,-7.259)      0.242009
31    -13.36190  -3.49585   3.82961  -2.69450  -5.15468 -21.67767       (-25.507,-0.892) (-1.135,-0.658) (-0.334,-7.262)      0.250076
