Fol_.66_.txt     Output is probe cell, reduced cell, NCDist distance between
0    2331.07354 -1190.91323  81.15480 -3365.51878 -8913.47263 -5505.25393       (-4089.016,-1190.913) (-3203.209,-2331.074) (-81.155,-843.107)      1.01685e-12
1    2324.64702 -1192.92754  80.99232 -3363.34200 -8906.88364 -5500.58711       (-4095.605,-1192.928) (-3201.357,-2324.647) (-80.992,-851.293)      12.6191
2    2318.22051 -1194.94185  80.82985 -3361.16522 -8900.29465 -5495.92030       (-4102.194,-1194.942) (-3199.506,-2318.221) (-80.830,-859.479)      25.2382
3    2311.79399 -1196.95616  80.66738 -3358.98844 -8893.70566 -5491.25348       (-4108.783,-1196.956) (-3197.654,-2311.794) (-80.667,-867.666)      37.8574
4    2305.36748 -1198.97047  80.50491 -3356.81166 -8887.11667 -5486.58667       (-4115.372,-1198.970) (-3195.802,-2305.367) (-80.505,-875.852)      50.4765
5    2298.94096 -1200.98478  80.34244 -3354.63487 -8880.52769 -5481.91986       (-4121.961,-1200.985) (-3193.950,-2298.941) (-80.342,-884.038)      63.0956
6    2292.51444 -1202.99909  80.17996 -3352.45809 -8873.93870 -5477.25304       (-4128.550,-1202.999) (-3192.098,-2292.514) (-80.180,-892.224)      75.7147
7    2286.08793 -1205.01340  80.01749 -3350.28131 -8867.34971 -5472.58623       (-4135.139,-1205.013) (-3190.246,-2286.088) (-80.017,-900.410)      88.3338
8    2279.66141 -1207.02771  79.85502 -3348.10453 -8860.76072 -5467.91942       (-4141.728,-1207.028) (-3188.394,-2279.661) (-79.855,-908.597)      100.953
9    2273.23490 -1209.04202  79.69255 -3345.92774 -8854.17173 -5463.25260       (-4148.317,-1209.042) (-3186.543,-2273.235) (-79.693,-916.783)      113.572
10    2266.80838 -1211.05633  79.53008 -3343.75096 -8847.58274 -5458.58579       (-4154.906,-1211.056) (-3184.691,-2266.808) (-79.530,-924.969)      126.191
11    2260.38186 -1213.07064  79.36760 -3341.57418 -8840.99376 -5453.91897       (-4161.495,-1213.071) (-3182.839,-2260.382) (-79.368,-933.155)      138.81
12    2253.95535 -1215.08495  79.20513 -3339.39740 -8834.40477 -5449.25216       (-4168.084,-1215.085) (-3180.987,-2253.955) (-79.205,-941.341)      151.429
13    2247.52883 -1217.09926  79.04266 -3337.22061 -8827.81578 -5444.58535       (-4174.673,-1217.099) (-3179.135,-2247.529) (-79.043,-949.528)      164.049
14    2241.10232 -1219.11357  78.88019 -3335.04383 -8821.22679 -5439.91853       (-4181.262,-1219.114) (-3177.283,-2241.102) (-78.880,-957.714)      176.668
15    2234.67580 -1221.12788  78.71772 -3332.86705 -8814.63780 -5435.25172       (-4187.851,-1221.128) (-3175.432,-2234.676) (-78.718,-965.900)      189.287
16    2228.24928 -1223.14220  78.55524 -3330.69027 -8808.04882 -5430.58490       (-4194.440,-1223.142) (-3173.580,-2228.249) (-78.555,-974.086)      201.906
