Fol_.91_.txt     Output is probe cell, reduced cell, NCDist distance between
0    1545.94046 1400.04403 598.97427 -2780.57256 -6603.57082 -5849.58103       (-19.516,-204.670) (-618.490,-3368.368) (-61.903,-143.549)      0
1    1544.33100 1395.27085 598.16982 -2777.93290 -6597.57975 -5843.74513       (-12.609,-239.248) (-610.779,-3400.174) (-48.067,-161.105)      53.0484
2    1542.72155 1390.49766 597.36538 -2775.29323 -6591.58868 -5837.90923       (-5.702,-273.826) (-603.067,-3431.981) (-34.231,-178.661)      106.097
3    1541.11210 1385.72448 596.56093 -2772.65357 -6585.59760 -5832.07333       (-1.205,-309.609) (-594.152,-19.191) (-3462.583,-195.012)      159.145
4    1539.50264 1380.95129 595.75648 -2770.01391 -6579.60653 -5826.23743       (-3485.931,-349.542) (-581.086,-1.552) (-6.559,-204.109)      211.862
5    1537.89319 1376.17811 594.95203 -2767.37424 -6573.61546 -5820.40153       (-3482.811,-579.934) (-363.007,-15.018) (-7.277,-201.292)      214.46
6    1536.28374 1371.40493 594.14758 -2764.73458 -6567.62439 -5814.56562       (-3473.132,-572.223) (-369.913,-21.925) (-21.113,-205.034)      214.177
7    1534.67428 1366.63174 593.34313 -2762.09492 -6561.63332 -5808.72972       (-3463.453,-564.512) (-376.819,-28.831) (-34.949,-208.777)      216.006
8    1533.06483 1361.85856 592.53869 -2759.45525 -6555.64224 -5802.89382       (-3453.774,-556.801) (-383.726,-35.738) (-48.785,-212.519)      219.894
9    1531.45538 1357.08537 591.73424 -2756.81559 -6549.65117 -5797.05792       (-3444.096,-549.089) (-390.632,-42.645) (-62.621,-216.262)      225.734
10    1529.84592 1352.31219 590.92979 -2754.17593 -6543.66010 -5791.22202       (-3434.417,-541.378) (-397.538,-49.552) (-76.457,-220.004)      233.38
11    1528.23647 1347.53900 590.12534 -2751.53626 -6537.66903 -5785.38612       (-3424.738,-533.667) (-404.444,-56.458) (-90.293,-223.747)      242.662
12    1526.62702 1342.76582 589.32089 -2748.89660 -6531.67795 -5779.55022       (-3415.059,-525.956) (-411.350,-63.365) (-104.130,-227.489)      253.399
13    1525.01756 1337.99263 588.51645 -2746.25694 -6525.68688 -5773.71431       (-3405.380,-518.245) (-418.256,-70.272) (-117.966,-231.231)      265.416
14    1523.40811 1333.21945 587.71200 -2743.61727 -6519.69581 -5767.87841       (-3395.701,-510.534) (-425.162,-77.178) (-131.802,-234.974)      278.546
15    1521.79865 1328.44626 586.90755 -2740.97761 -6513.70474 -5762.04251       (-3386.022,-502.822) (-432.069,-84.085) (-145.638,-238.716)      292.641
16    1520.18920 1323.67308 586.10310 -2738.33795 -6507.71367 -5756.20661       (-3376.343,-495.111) (-438.975,-90.992) (-159.474,-242.459)      307.566
17    1518.57975 1318.89989 585.29865 -2735.69829 -6501.72259 -5750.37071       (-3366.665,-487.400) (-445.881,-97.898) (-173.310,-246.201)      323.208
18    1516.97029 1314.12671 584.49420 -2733.05862 -6495.73152 -5744.53481       (-3356.986,-479.689) (-452.787,-104.805) (-187.146,-249.944)      339.466
19    1515.36084 1309.35352 583.68976 -2730.41896 -6489.74045 -5738.69891       (-3347.307,-471.978) (-459.693,-111.712) (-200.982,-253.686)      356.258
20    1513.75139 1304.58034 582.88531 -2727.77930 -6483.74938 -5732.86300       (-3337.628,-464.267) (-466.599,-118.619) (-214.818,-257.428)      373.51
21    1512.14193 1299.80715 582.08086 -2725.13963 -6477.75831 -5727.02710       (-3327.949,-456.556) (-473.506,-125.525) (-228.654,-261.171)      391.162
22    1510.53248 1295.03397 581.27641 -2722.49997 -6471.76723 -5721.19120       (-3318.270,-448.844) (-480.412,-132.432) (-242.490,-264.913)      409.163
23    1508.92303 1290.26079 580.47196 -2719.86031 -6465.77616 -5715.35530       (-3308.591,-441.133) (-487.318,-139.339) (-256.326,-268.656)      427.467
24    1507.31357 1285.48760 579.66752 -2717.22064 -6459.78509 -5709.51940       (-3298.912,-433.422) (-494.224,-146.245) (-270.162,-272.398)      446.038
25    1505.70412 1280.71442 578.86307 -2714.58098 -6453.79402 -5703.68350       (-3289.234,-425.711) (-501.130,-153.152) (-283.999,-276.140)      452.997
26    1504.09467 1275.94123 578.05862 -2711.94132 -6447.80295 -5697.84760       (-3279.555,-418.000) (-508.036,-160.059) (-297.835,-279.883)      459.797
27    1502.48521 1271.16805 577.25417 -2709.30165 -6441.81187 -5692.01169       (-3269.876,-410.289) (-514.942,-166.966) (-311.671,-283.625)      467.471
28    1500.87576 1266.39486 576.44972 -2706.66199 -6435.82080 -5686.17579       (-3260.197,-402.577) (-521.849,-173.872) (-325.507,-287.368)      475.975
29    1499.26631 1261.62168 575.64527 -2704.02233 -6429.82973 -5680.33989       (-3250.518,-394.866) (-528.755,-180.779) (-339.343,-291.110)      485.267
30    1497.65685 1256.84849 574.84083 -2701.38266 -6423.83866 -5674.50399       (-3240.839,-387.155) (-535.661,-187.686) (-353.179,-294.853)      495.301
31    1496.04740 1252.07531 574.03638 -2698.74300 -6417.84758 -5668.66809       (-3231.160,-379.444) (-542.567,-194.592) (-367.015,-298.595)      506.034
32    1494.43795 1247.30212 573.23193 -2696.10334 -6411.85651 -5662.83219       (-3221.482,-371.733) (-549.473,-201.499) (-380.851,-302.337)      517.423
33    1492.82849 1242.52894 572.42748 -2693.46367 -6405.86544 -5656.99629       (-3211.803,-364.022) (-556.379,-208.406) (-394.687,-306.080)      529.424
34    1491.21904 1237.75575 571.62303 -2690.82401 -6399.87437 -5651.16038       (-3202.124,-356.311) (-563.285,-215.313) (-408.523,-309.822)      541.997
35    1489.60959 1232.98257 570.81858 -2688.18435 -6393.88330 -5645.32448       (-3192.445,-348.599) (-570.192,-222.219) (-422.359,-313.565)      555.103
36    1488.00013 1228.20938 570.01414 -2685.54468 -6387.89222 -5639.48858       (-3182.766,-340.888) (-577.098,-229.126) (-436.195,-317.307)      568.706
37    1486.39068 1223.43620 569.20969 -2682.90502 -6381.90115 -5633.65268       (-3173.087,-333.177) (-584.004,-236.033) (-450.032,-321.049)      582.771
38    1484.78123 1218.66301 568.40524 -2680.26536 -6375.91008 -5627.81678       (-3163.408,-325.466) (-590.910,-242.939) (-463.868,-324.792)      597.265
39    1483.17177 1213.88983 567.60079 -2677.62569 -6369.91901 -5621.98088       (-3153.729,-317.755) (-597.816,-249.846) (-477.704,-328.534)      612.157
40    1481.56232 1209.11664 566.79634 -2674.98603 -6363.92794 -5616.14498       (-3144.051,-310.044) (-604.722,-256.753) (-491.540,-332.277)      627.42
41    1479.95287 1204.34346 565.99190 -2672.34637 -6357.93686 -5610.30907       (-3134.372,-302.332) (-611.629,-263.659) (-505.376,-336.019)      643.026
42    1478.34341 1199.57028 565.18745 -2669.70670 -6351.94579 -5604.47317       (-3124.693,-294.621) (-618.535,-270.566) (-519.212,-339.762)      658.952
43    1476.73396 1194.79709 564.38300 -2667.06704 -6345.95472 -5598.63727       (-3115.014,-286.910) (-625.441,-277.473) (-533.048,-343.504)      675.174
44    1475.12451 1190.02391 563.57855 -2664.42738 -6339.96365 -5592.80137       (-3105.335,-279.199) (-632.347,-284.380) (-546.884,-347.246)      691.673
45    1473.51505 1185.25072 562.77410 -2661.78771 -6333.97258 -5586.96547       (-3095.656,-271.488) (-639.253,-291.286) (-560.720,-350.989)      708.428
46    1471.90560 1180.47754 561.96965 -2659.14805 -6327.98150 -5581.12957       (-3085.977,-263.777) (-646.159,-298.193) (-574.556,-354.731)      725.422
47    1470.29615 1175.70435 561.16521 -2656.50839 -6321.99043 -5575.29367       (-3076.298,-256.066) (-653.065,-305.100) (-588.392,-358.474)      742.638
48    1468.68669 1170.93117 560.36076 -2653.86872 -6315.99936 -5569.45776       (-3066.620,-248.354) (-659.972,-312.006) (-602.228,-362.216)      760.062
49    1467.07724 1166.15798 559.55631 -2651.22906 -6310.00829 -5563.62186       (-3056.941,-240.643) (-666.878,-318.913) (-616.065,-365.958)      777.679
50    1465.46779 1161.38480 558.75186 -2648.58940 -6304.01721 -5557.78596       (-3047.262,-232.932) (-673.784,-325.820) (-629.901,-369.701)      795.477
51    1463.85833 1156.61161 557.94741 -2645.94973 -6298.02614 -5551.95006       (-3037.583,-225.221) (-680.690,-332.727) (-643.737,-373.443)      813.444
52    1462.24888 1151.83843 557.14296 -2643.31007 -6292.03507 -5546.11416       (-3027.904,-217.510) (-687.596,-339.633) (-657.573,-377.186)      831.568
53    1460.63943 1147.06524 556.33852 -2640.67041 -6286.04400 -5540.27826       (-3018.225,-209.799) (-694.502,-346.540) (-671.409,-380.928)      849.84
54    1459.02997 1142.29206 555.53407 -2638.03074 -6280.05293 -5534.44236       (-3008.546,-202.087) (-701.408,-353.447) (-685.245,-384.671)      868.25
55    1457.42052 1137.51887 554.72962 -2635.39108 -6274.06185 -5528.60645       (-2998.867,-194.376) (-708.315,-360.353) (-699.081,-388.413)      886.79
56    1455.81107 1132.74569 553.92517 -2632.75142 -6268.07078 -5522.77055       (-2989.189,-186.665) (-715.221,-367.260) (-712.917,-392.155)      905.452
57    1454.20161 1127.97250 553.12072 -2630.11175 -6262.07971 -5516.93465       (-2979.510,-178.954) (-722.127,-374.167) (-726.753,-395.898)      924.228
58    1452.59216 1123.19932 552.31628 -2627.47209 -6256.08864 -5511.09875       (-2969.831,-171.243) (-729.033,-381.073) (-740.589,-399.640)      938.092
59    1450.98271 1118.42614 551.51183 -2624.83243 -6250.09757 -5505.26285       (-2960.152,-163.532) (-735.939,-387.980) (-754.425,-403.383)      952.072
60    1449.37325 1113.65295 550.70738 -2622.19277 -6244.10649 -5499.42695       (-2950.473,-155.821) (-742.845,-394.887) (-768.261,-407.125)      966.319
61    1447.76380 1108.87977 549.90293 -2619.55310 -6238.11542 -5493.59105       (-2940.794,-148.109) (-749.752,-401.794) (-782.097,-410.867)      980.822
62    1446.15435 1104.10658 549.09848 -2616.91344 -6232.12435 -5487.75514       (-2931.115,-140.398) (-756.658,-408.700) (-795.934,-414.610)      995.571
63    1444.54489 1099.33340 548.29403 -2614.27378 -6226.13328 -5481.91924       (-2921.437,-132.687) (-763.564,-415.607) (-809.770,-418.352)      1010.55
64    1442.93544 1094.56021 547.48959 -2611.63411 -6220.14221 -5476.08334       (-2911.758,-124.976) (-770.470,-422.514) (-823.606,-422.095)      1025.76
65    1441.32599 1089.78703 546.68514 -2608.99445 -6214.15113 -5470.24744       (-2902.079,-117.265) (-777.376,-429.420) (-837.442,-425.837)      1041.18
66    1439.71653 1085.01384 545.88069 -2606.35479 -6208.16006 -5464.41154       (-2892.400,-109.554) (-784.282,-436.327) (-851.278,-429.580)      1056.8
67    1438.10708 1080.24066 545.07624 -2603.71512 -6202.16899 -5458.57564       (-2882.721,-101.842) (-791.188,-443.234) (-865.114,-433.322)      1072.62
68    1436.49763 1075.46747 544.27179 -2601.07546 -6196.17792 -5452.73974       (-2873.042,-94.131) (-798.095,-450.141) (-878.950,-437.064)      1088.63
69    1434.88817 1070.69429 543.46735 -2598.43580 -6190.18684 -5446.90383       (-2863.363,-86.420) (-805.001,-457.047) (-892.786,-440.807)      1104.82
70    1433.27872 1065.92110 542.66290 -2595.79613 -6184.19577 -5441.06793       (-2853.684,-78.709) (-811.907,-463.954) (-906.622,-444.549)      1121.17
71    1431.66927 1061.14792 541.85845 -2593.15647 -6178.20470 -5435.23203       (-2844.006,-70.998) (-818.813,-470.861) (-920.458,-448.292)      1137.7
72    1430.05981 1056.37473 541.05400 -2590.51681 -6172.21363 -5429.39613       (-2834.327,-63.287) (-825.719,-477.767) (-934.294,-452.034)      1154.37
73    1428.45036 1051.60155 540.24955 -2587.87714 -6166.22256 -5423.56023       (-2824.648,-55.576) (-832.625,-484.674) (-948.130,-455.776)      1171.2
74    1426.84091 1046.82836 539.44510 -2585.23748 -6160.23148 -5417.72433       (-2814.969,-47.864) (-839.531,-491.581) (-961.967,-459.519)      1188.17
75    1425.23145 1042.05518 538.64066 -2582.59782 -6154.24041 -5411.88843       (-2805.290,-40.153) (-846.438,-498.487) (-975.803,-463.261)      1205.28
76    1423.62200 1037.28199 537.83621 -2579.95815 -6148.24934 -5406.05252       (-2795.611,-32.442) (-853.344,-505.394) (-989.639,-467.004)      1222.53
77    1422.01255 1032.50881 537.03176 -2577.31849 -6142.25827 -5400.21662       (-2785.932,-24.731) (-860.250,-512.301) (-1003.475,-470.746)      1239.89
78    1420.40309 1027.73563 536.22731 -2574.67883 -6136.26720 -5394.38072       (-2776.253,-17.020) (-867.156,-519.208) (-1017.311,-474.489)      1257.38
79    1418.79364 1022.96244 535.42286 -2572.03916 -6130.27612 -5388.54482       (-2766.575,-9.309) (-874.062,-526.114) (-1031.147,-478.231)      1274.99
80    1417.18419 1018.18926 534.61841 -2569.39950 -6124.28505 -5382.70892       (-2756.896,-1.597) (-880.968,-533.021) (-1044.983,-481.973)      1292.71
81    1415.57473 1013.41607 533.81397 -2566.75984 -6118.29398 -5376.87302       (-2753.331,-6.114) (-1052.705,-533.814) (-881.761,-479.602)      1302.42
82    1413.96528 1008.64289 533.00952 -2564.12017 -6112.30291 -5371.03712       (-2751.363,-13.825) (-1058.830,-533.010) (-880.956,-475.633)      1302.93
83    1412.35583 1003.86970 532.20507 -2561.48051 -6106.31183 -5365.20121       (-2749.395,-21.536) (-1064.955,-532.205) (-880.151,-471.665)      1303.54
84    1410.74637 999.09652 531.40062 -2558.84085 -6100.32076 -5359.36531       (-2747.427,-29.247) (-1071.080,-531.401) (-879.346,-467.696)      1304.24
85    1409.13692 994.32333 530.59617 -2556.20118 -6094.32969 -5353.52941       (-2745.460,-36.958) (-1077.205,-530.596) (-878.541,-463.727)      1305.02
86    1407.52747 989.55015 529.79173 -2553.56152 -6088.33862 -5347.69351       (-2743.492,-44.669) (-1083.330,-529.792) (-877.736,-459.758)      1305.9
87    1405.91801 984.77696 528.98728 -2550.92186 -6082.34755 -5341.85761       (-2741.524,-52.381) (-1089.455,-528.987) (-876.931,-455.790)      1306.87
88    1404.30856 980.00378 528.18283 -2548.28219 -6076.35647 -5336.02171       (-2739.557,-60.092) (-1095.580,-528.183) (-876.126,-451.821)      1307.92
89    1402.69911 975.23059 527.37838 -2545.64253 -6070.36540 -5330.18581       (-2737.589,-67.803) (-1101.705,-527.378) (-875.321,-447.852)      1309.07
90    1401.08965 970.45741 526.57393 -2543.00287 -6064.37433 -5324.34990       (-2735.621,-75.514) (-1107.830,-526.574) (-874.516,-443.883)      1310.3
91    1399.48020 965.68422 525.76948 -2540.36320 -6058.38326 -5318.51400       (-2733.653,-83.225) (-1113.955,-525.769) (-873.711,-439.915)      1311.62
92    1397.87075 960.91104 524.96504 -2537.72354 -6052.39219 -5312.67810       (-2731.686,-90.936) (-1120.080,-524.965) (-872.906,-435.946)      1313.03
93    1396.26129 956.13785 524.16059 -2535.08388 -6046.40111 -5306.84220       (-2729.718,-98.648) (-1126.204,-524.161) (-872.101,-431.977)      1314.53
94    1394.65184 951.36467 523.35614 -2532.44421 -6040.41004 -5301.00630       (-2727.750,-106.359) (-1132.329,-523.356) (-871.296,-428.009)      1316.12
95    1393.04239 946.59149 522.55169 -2529.80455 -6034.41897 -5295.17040       (-2725.783,-114.070) (-1138.454,-522.552) (-870.491,-424.040)      1317.79
96    1391.43293 941.81830 521.74724 -2527.16489 -6028.42790 -5289.33450       (-2723.815,-121.781) (-1144.579,-521.747) (-869.686,-420.071)      1319.55
97    1389.82348 937.04512 520.94279 -2524.52522 -6022.43683 -5283.49859       (-2721.847,-129.492) (-1150.704,-520.943) (-868.881,-416.102)      1321.4
