Fol_.59_.txt     Output is probe cell, reduced cell, NCDist distance between
0    375.90594 1613.57070 465.57425 -4181.91345 -981.64683 -3536.33345       (-157.697,-45.074) (-350.630,-50.498) (-175.119,-44.594)      0
1    375.47911 1611.78022 465.06309 -4178.07834 -980.70884 -3532.95143       (-157.643,-44.563) (-351.653,-50.583) (-176.140,-45.021)      1.59492
2    375.05228 1609.98974 464.55193 -4174.24322 -979.77085 -3529.56941       (-157.589,-44.052) (-352.677,-50.667) (-177.161,-45.448)      3.18985
3    374.62545 1608.19926 464.04077 -4170.40810 -978.83286 -3526.18740       (-157.535,-43.541) (-353.700,-50.751) (-178.182,-45.874)      4.78477
4    374.19862 1606.40878 463.52961 -4166.57298 -977.89487 -3522.80538       (-157.481,-43.030) (-354.724,-50.836) (-179.203,-46.301)      6.37969
5    373.77178 1604.61830 463.01845 -4162.73786 -976.95688 -3519.42336       (-157.427,-42.519) (-355.747,-50.920) (-180.224,-46.728)      7.97461
6    373.34495 1602.82782 462.50729 -4158.90274 -976.01889 -3516.04134       (-157.373,-42.007) (-356.771,-51.004) (-181.245,-47.155)      9.56954
7    372.91812 1601.03734 461.99613 -4155.06762 -975.08090 -3512.65932       (-157.319,-41.496) (-357.794,-51.089) (-182.267,-47.582)      11.1645
8    372.49129 1599.24686 461.48497 -4151.23251 -974.14291 -3509.27730       (-157.265,-40.985) (-358.818,-51.173) (-183.288,-48.009)      12.7594
9    372.06446 1597.45638 460.97381 -4147.39739 -973.20492 -3505.89528       (-157.211,-40.474) (-359.841,-51.257) (-184.309,-48.435)      14.3543
10    371.63763 1595.66590 460.46265 -4143.56227 -972.26693 -3502.51327       (-157.157,-39.963) (-360.865,-51.342) (-185.330,-48.862)      15.9492
11    371.21080 1593.87542 459.95149 -4139.72715 -971.32894 -3499.13125       (-157.103,-39.452) (-361.888,-51.426) (-186.351,-49.289)      17.5441
12    370.78397 1592.08494 459.44033 -4135.89203 -970.39095 -3495.74923       (-157.048,-38.940) (-362.912,-51.510) (-187.372,-49.716)      19.1391
13    370.35714 1590.29446 458.92917 -4132.05691 -969.45295 -3492.36721       (-156.994,-38.429) (-363.935,-51.595) (-188.393,-50.143)      20.734
14    369.93030 1588.50398 458.41801 -4128.22179 -968.51496 -3488.98519       (-156.940,-37.918) (-364.959,-51.679) (-189.415,-50.570)      22.3289
15    369.50347 1586.71350 457.90685 -4124.38668 -967.57697 -3485.60317       (-156.886,-37.407) (-365.982,-51.763) (-190.436,-50.996)      23.9238
16    369.07664 1584.92302 457.39569 -4120.55156 -966.63898 -3482.22116       (-156.832,-36.896) (-367.006,-51.848) (-191.457,-51.423)      25.5188
17    368.64981 1583.13254 456.88453 -4116.71644 -965.70099 -3478.83914       (-156.778,-36.385) (-368.029,-51.932) (-192.478,-51.850)      27.1137
18    368.22298 1581.34206 456.37337 -4112.88132 -964.76300 -3475.45712       (-156.724,-35.873) (-369.053,-52.016) (-193.499,-52.277)      28.7086
19    367.79615 1579.55159 455.86221 -4109.04620 -963.82501 -3472.07510       (-156.670,-35.362) (-370.076,-52.101) (-194.520,-52.704)      30.3035
20    367.36932 1577.76111 455.35105 -4105.21108 -962.88702 -3468.69308       (-156.616,-34.851) (-371.100,-52.185) (-195.542,-53.131)      31.8985
21    366.94249 1575.97063 454.83989 -4101.37596 -961.94903 -3465.31106       (-156.562,-34.340) (-372.123,-52.269) (-196.563,-53.557)      33.4934
22    366.51566 1574.18015 454.32873 -4097.54085 -961.01104 -3461.92904       (-156.508,-33.829) (-373.147,-52.354) (-197.584,-53.984)      35.0883
23    366.08882 1572.38967 453.81757 -4093.70573 -960.07305 -3458.54703       (-156.454,-33.318) (-374.170,-52.438) (-198.605,-54.411)      36.6832
24    365.66199 1570.59919 453.30641 -4089.87061 -959.13506 -3455.16501       (-156.400,-32.806) (-375.194,-52.522) (-199.626,-54.838)      38.2781
25    365.23516 1568.80871 452.79525 -4086.03549 -958.19706 -3451.78299       (-156.346,-32.295) (-376.217,-52.607) (-200.647,-55.265)      39.8731
26    364.80833 1567.01823 452.28409 -4082.20037 -957.25907 -3448.40097       (-156.292,-31.784) (-377.241,-52.691) (-201.668,-55.692)      41.468
27    364.38150 1565.22775 451.77293 -4078.36525 -956.32108 -3445.01895       (-156.238,-31.273) (-378.264,-52.775) (-202.690,-56.118)      43.0629
28    363.95467 1563.43727 451.26177 -4074.53013 -955.38309 -3441.63693       (-156.184,-30.762) (-379.288,-52.860) (-203.711,-56.545)      44.6578
29    363.52784 1561.64679 450.75062 -4070.69502 -954.44510 -3438.25492       (-156.130,-30.251) (-380.311,-52.944) (-204.732,-56.972)      46.2528
30    363.10101 1559.85631 450.23946 -4066.85990 -953.50711 -3434.87290       (-156.076,-29.740) (-381.335,-53.028) (-205.753,-57.399)      47.8477
31    362.67418 1558.06583 449.72830 -4063.02478 -952.56912 -3431.49088       (-156.022,-29.228) (-382.358,-53.113) (-206.774,-57.826)      49.4426
32    362.24734 1556.27535 449.21714 -4059.18966 -951.63113 -3428.10886       (-155.968,-28.717) (-383.382,-53.197) (-207.795,-58.253)      51.0375
33    361.82051 1554.48487 448.70598 -4055.35454 -950.69314 -3424.72684       (-155.914,-28.206) (-384.405,-53.281) (-208.816,-58.679)      52.6324
34    361.39368 1552.69439 448.19482 -4051.51942 -949.75515 -3421.34482       (-155.860,-27.695) (-385.429,-53.366) (-209.838,-59.106)      54.2274
35    360.96685 1550.90391 447.68366 -4047.68430 -948.81716 -3417.96280       (-155.805,-27.184) (-386.452,-53.450) (-210.859,-59.533)      55.8223
36    360.54002 1549.11343 447.17250 -4043.84919 -947.87917 -3414.58079       (-155.751,-26.673) (-387.476,-53.534) (-211.880,-59.960)      57.4172
37    360.11319 1547.32295 446.66134 -4040.01407 -946.94117 -3411.19877       (-155.697,-26.161) (-388.499,-53.618) (-212.901,-60.387)      59.0121
38    359.68636 1545.53247 446.15018 -4036.17895 -946.00318 -3407.81675       (-155.643,-25.650) (-389.523,-53.703) (-213.922,-60.814)      60.6071
39    359.25953 1543.74199 445.63902 -4032.34383 -945.06519 -3404.43473       (-155.589,-25.139) (-390.546,-53.787) (-214.943,-61.240)      62.202
40    358.83270 1541.95151 445.12786 -4028.50871 -944.12720 -3401.05271       (-155.535,-24.628) (-391.570,-53.871) (-215.964,-61.667)      63.7969
41    358.40586 1540.16103 444.61670 -4024.67359 -943.18921 -3397.67069       (-155.481,-24.117) (-392.593,-53.956) (-216.986,-62.094)      65.3918
42    357.97903 1538.37055 444.10554 -4020.83847 -942.25122 -3394.28868       (-155.427,-23.606) (-393.617,-54.040) (-218.007,-62.521)      66.9867
43    357.55220 1536.58007 443.59438 -4017.00336 -941.31323 -3390.90666       (-155.373,-23.094) (-394.640,-54.124) (-219.028,-62.948)      68.5817
44    357.12537 1534.78959 443.08322 -4013.16824 -940.37524 -3387.52464       (-155.319,-22.583) (-395.664,-54.209) (-220.049,-63.375)      70.1766
45    356.69854 1532.99911 442.57206 -4009.33312 -939.43725 -3384.14262       (-155.265,-22.072) (-396.687,-54.293) (-221.070,-63.801)      71.7715
46    356.27171 1531.20863 442.06090 -4005.49800 -938.49926 -3380.76060       (-155.211,-21.561) (-397.711,-54.377) (-222.091,-64.228)      73.3664
47    355.84488 1529.41815 441.54974 -4001.66288 -937.56127 -3377.37858       (-155.157,-21.050) (-398.734,-54.462) (-223.112,-64.655)      74.9614
48    355.41805 1527.62767 441.03858 -3997.82776 -936.62328 -3373.99657       (-155.103,-20.539) (-399.758,-54.546) (-224.134,-65.082)      76.5563
49    354.99122 1525.83719 440.52742 -3993.99264 -935.68528 -3370.61455       (-155.049,-20.027) (-400.781,-54.630) (-225.155,-65.509)      78.1512
50    354.56438 1524.04671 440.01626 -3990.15753 -934.74729 -3367.23253       (-154.995,-19.516) (-401.805,-54.715) (-226.176,-65.936)      79.7461
51    354.13755 1522.25623 439.50510 -3986.32241 -933.80930 -3363.85051       (-154.941,-19.005) (-402.828,-54.799) (-227.197,-66.362)      81.341
52    353.71072 1520.46575 438.99394 -3982.48729 -932.87131 -3360.46849       (-154.887,-18.494) (-403.852,-54.883) (-228.218,-66.789)      82.936
53    353.28389 1518.67527 438.48278 -3978.65217 -931.93332 -3357.08647       (-154.833,-17.983) (-404.875,-54.968) (-229.239,-67.216)      84.5309
54    352.85706 1516.88479 437.97162 -3974.81705 -930.99533 -3353.70445       (-154.779,-17.472) (-405.899,-55.052) (-230.260,-67.643)      86.1258
55    352.43023 1515.09431 437.46046 -3970.98193 -930.05734 -3350.32244       (-154.725,-16.961) (-406.922,-55.136) (-231.282,-68.070)      87.7207
56    352.00340 1513.30383 436.94930 -3967.14681 -929.11935 -3346.94042       (-154.671,-16.449) (-407.946,-55.221) (-232.303,-68.497)      89.3157
57    351.57657 1511.51335 436.43814 -3963.31170 -928.18136 -3343.55840       (-154.616,-15.938) (-408.969,-55.305) (-233.324,-68.923)      90.9106
58    351.14974 1509.72287 435.92698 -3959.47658 -927.24337 -3340.17638       (-154.562,-15.427) (-409.993,-55.389) (-234.345,-69.350)      92.5055
59    350.72290 1507.93239 435.41582 -3955.64146 -926.30538 -3336.79436       (-154.508,-14.916) (-411.016,-55.474) (-235.366,-69.777)      94.1004
60    350.29607 1506.14191 434.90466 -3951.80634 -925.36739 -3333.41234       (-154.454,-14.405) (-412.040,-55.558) (-236.387,-70.204)      95.6954
61    349.86924 1504.35144 434.39350 -3947.97122 -924.42939 -3330.03033       (-154.400,-13.894) (-413.063,-55.642) (-237.408,-70.631)      97.2903
62    349.44241 1502.56096 433.88234 -3944.13610 -923.49140 -3326.64831       (-154.346,-13.382) (-414.087,-55.727) (-238.430,-71.058)      98.8852
63    349.01558 1500.77048 433.37119 -3940.30098 -922.55341 -3323.26629       (-154.292,-12.871) (-415.110,-55.811) (-239.451,-71.484)      100.48
64    348.58875 1498.98000 432.86003 -3936.46586 -921.61542 -3319.88427       (-154.238,-12.360) (-416.134,-55.895) (-240.472,-71.911)      102.075
65    348.16192 1497.18952 432.34887 -3932.63075 -920.67743 -3316.50225       (-154.184,-11.849) (-417.157,-55.980) (-241.493,-72.338)      103.67
66    347.73509 1495.39904 431.83771 -3928.79563 -919.73944 -3313.12023       (-154.130,-11.338) (-418.180,-56.064) (-242.514,-72.765)      105.265
67    347.30826 1493.60856 431.32655 -3924.96051 -918.80145 -3309.73821       (-154.076,-10.827) (-419.204,-56.148) (-243.535,-73.192)      106.86
68    346.88142 1491.81808 430.81539 -3921.12539 -917.86346 -3306.35620       (-154.022,-10.315) (-420.227,-56.233) (-244.557,-73.619)      108.455
69    346.45459 1490.02760 430.30423 -3917.29027 -916.92547 -3302.97418       (-153.968,-9.804) (-421.251,-56.317) (-245.578,-74.045)      110.05
70    346.02776 1488.23712 429.79307 -3913.45515 -915.98748 -3299.59216       (-153.914,-9.293) (-422.274,-56.401) (-246.599,-74.472)      111.645
71    345.60093 1486.44664 429.28191 -3909.62003 -915.04949 -3296.21014       (-153.860,-8.782) (-423.298,-56.486) (-247.620,-74.899)      113.24
