Fol_.64_.txt     Output is probe cell, reduced cell, NCDist distance between
0    3365.14452 -533.91002 -526.77044 911.87973 -6152.14995 -11377.53491       (-5099.837,-68.432) (-22.810,-73.229) (-1389.181,-7.140)      0
1    3361.76886 -533.39841 -526.31165 909.57636 -6146.06494 -11371.25093       (-5100.050,-74.223) (-22.814,-68.824) (-1405.216,-7.087)      17.6099
2    3358.39320 -532.88680 -525.85285 907.27300 -6139.97994 -11364.96695       (-5100.262,-80.014) (-22.818,-64.419) (-1421.252,-7.034)      33.6602
3    3355.01754 -532.37519 -525.39405 904.96963 -6133.89493 -11358.68297       (-5100.474,-85.804) (-22.822,-60.014) (-1437.287,-6.981)      48.8065
4    3351.64188 -531.86357 -524.93526 902.66627 -6127.80992 -11352.39899       (-5100.687,-91.595) (-22.825,-55.609) (-1453.322,-6.928)      65.226
5    3348.26622 -531.35196 -524.47646 900.36291 -6121.72492 -11346.11501       (-5100.899,-97.386) (-22.829,-51.204) (-1469.357,-6.876)      82.1589
6    3344.89056 -530.84035 -524.01766 898.05954 -6115.63991 -11339.83102       (-5101.111,-103.176) (-22.833,-46.800) (-1485.392,-6.823)      99.343
7    3341.51490 -530.32874 -523.55887 895.75618 -6109.55490 -11333.54704       (-5101.324,-108.967) (-22.837,-42.395) (-1501.427,-6.770)      116.667
8    3338.13924 -529.81713 -523.10007 893.45281 -6103.46990 -11327.26306       (-5101.536,-114.757) (-22.840,-37.990) (-1517.463,-6.717)      134.078
9    3334.76358 -529.30552 -522.64127 891.14945 -6097.38489 -11320.97908       (-5101.748,-120.548) (-22.844,-33.585) (-1533.498,-6.664)      151.544
10    3331.38792 -528.79391 -522.18248 888.84608 -6091.29989 -11314.69510       (-5101.960,-126.339) (-22.848,-29.180) (-1549.533,-6.611)      169.05
11    3328.01226 -528.28229 -521.72368 886.54272 -6085.21488 -11308.41112       (-5102.173,-132.129) (-22.851,-24.775) (-1565.568,-6.559)      186.583
12    3324.63660 -527.77068 -521.26488 884.23935 -6079.12987 -11302.12714       (-1581.603,-6.506) (-5102.385,-137.920) (-22.855,-20.370)      204.137
13    3321.26094 -527.25907 -520.80609 881.93599 -6073.04487 -11295.84315       (-1597.638,-6.453) (-5102.597,-143.711) (-22.859,-15.966)      221.707
14    3317.88528 -526.74746 -520.34729 879.63263 -6066.95986 -11289.55917       (-1613.674,-6.400) (-5102.810,-149.501) (-22.863,-11.561)      239.289
