Fol_.38_.txt     Output is probe cell, reduced cell, NCDist distance between
0    2533.06318 2294.63479 2116.42369 -12371.70879 -11002.35261 -6381.09040       (-573.722,-2858.128) (-812.150,-535.059) (-1325.403,-167.521)      4.54747e-13
1    2529.95329 2291.52489 2112.97842 -12362.18569 -10991.87484 -6374.87061       (-576.832,-2873.484) (-815.260,-549.460) (-1316.408,-161.301)      24.1275
2    2526.84339 2288.41500 2109.53315 -12352.66258 -10981.39707 -6368.65082       (-579.941,-2888.840) (-818.370,-563.861) (-1307.414,-155.081)      48.2549
3    2523.73350 2285.30511 2106.08788 -12343.13948 -10970.91930 -6362.43103       (-583.051,-2904.196) (-821.480,-578.263) (-1298.420,-148.861)      72.3824
4    2520.62360 2282.19521 2102.64261 -12333.61638 -10960.44152 -6356.21124       (-586.161,-2919.553) (-824.590,-592.664) (-1289.425,-142.642)      96.5099
5    2517.51371 2279.08532 2099.19734 -12324.09327 -10949.96375 -6349.99145       (-589.271,-2934.909) (-827.700,-607.065) (-1280.431,-136.422)      120.637
6    2514.40381 2275.97542 2095.75206 -12314.57017 -10939.48598 -6343.77167       (-592.381,-2950.265) (-830.809,-621.467) (-1271.437,-130.202)      144.765
7    2511.29392 2272.86553 2092.30679 -12305.04707 -10929.00821 -6337.55188       (-595.491,-2965.621) (-833.919,-635.868) (-1262.442,-123.982)      168.892
8    2508.18402 2269.75563 2088.86152 -12295.52396 -10918.53044 -6331.33209       (-598.601,-2980.977) (-837.029,-650.270) (-1253.448,-117.762)      193.02
9    2505.07413 2266.64574 2085.41625 -12286.00086 -10908.05267 -6325.11230       (-601.711,-2996.333) (-840.139,-664.671) (-1244.454,-111.543)      217.147
10    2501.96423 2263.53584 2081.97098 -12276.47775 -10897.57489 -6318.89251       (-604.821,-3011.689) (-843.249,-679.072) (-1235.459,-105.323)      241.275
11    2498.85434 2260.42595 2078.52571 -12266.95465 -10887.09712 -6312.67272       (-607.931,-3027.045) (-846.359,-693.474) (-1226.465,-99.103)      265.402
12    2495.74444 2257.31605 2075.08044 -12257.43155 -10876.61935 -6306.45293       (-611.040,-3042.401) (-849.469,-707.875) (-1217.471,-92.883)      289.53
13    2492.63455 2254.20616 2071.63516 -12247.90844 -10866.14158 -6300.23314       (-614.150,-3057.757) (-852.579,-722.277) (-1208.477,-86.663)      313.657
14    2489.52465 2251.09626 2068.18989 -12238.38534 -10855.66381 -6294.01335       (-617.260,-3073.113) (-855.689,-736.678) (-1199.482,-80.444)      337.785
15    2486.41476 2247.98637 2064.74462 -12228.86224 -10845.18603 -6287.79356       (-620.370,-3088.469) (-858.798,-751.079) (-1190.488,-74.224)      361.912
16    2483.30486 2244.87647 2061.29935 -12219.33913 -10834.70826 -6281.57377       (-623.480,-3103.825) (-861.908,-765.481) (-1181.494,-68.004)      386.039
17    2480.19497 2241.76658 2057.85408 -12209.81603 -10824.23049 -6275.35398       (-626.590,-3119.181) (-865.018,-779.882) (-1172.499,-61.784)      410.167
18    2477.08508 2238.65668 2054.40881 -12200.29293 -10813.75272 -6269.13419       (-629.700,-3134.537) (-868.128,-794.283) (-1163.505,-55.564)      434.294
19    2473.97518 2235.54679 2050.96353 -12190.76982 -10803.27495 -6262.91440       (-632.810,-3149.893) (-871.238,-808.685) (-1154.511,-49.345)      458.422
20    2470.86529 2232.43689 2047.51826 -12181.24672 -10792.79718 -6256.69461       (-635.920,-3165.249) (-874.348,-823.086) (-1145.516,-43.125)      482.549
21    2467.75539 2229.32700 2044.07299 -12171.72361 -10782.31940 -6250.47482       (-639.029,-3180.605) (-877.458,-837.488) (-1136.522,-36.905)      506.677
22    2464.64550 2226.21710 2040.62772 -12162.20051 -10771.84163 -6244.25503       (-642.139,-3195.961) (-880.568,-851.889) (-1127.528,-30.685)      530.804
23    2461.53560 2223.10721 2037.18245 -12152.67741 -10761.36386 -6238.03524       (-645.249,-3211.318) (-883.678,-866.290) (-1118.533,-24.466)      554.932
