Fol_.5_.txt     Output is probe cell, reduced cell, NCDist distance between
40    496.13437 1158.17070 1099.09949 -5661.98699 -2134.33878 -2700.16539       (-404.714,-20.890) (-145.012,-475.245) (-998.837,-42.971)      134.092
41    495.59473 1156.85268 1097.88079 -5657.01285 -2132.58043 -2697.81089       (-403.776,-19.671) (-145.992,-475.924) (-1001.513,-43.510)      137.444
42    495.05508 1155.53465 1096.66208 -5652.03872 -2130.82209 -2695.45639       (-402.839,-18.452) (-146.972,-476.603) (-1004.189,-44.050)      140.797
43    494.51544 1154.21663 1095.44338 -5647.06458 -2129.06374 -2693.10189       (-401.902,-17.234) (-147.952,-477.282) (-1006.865,-44.589)      144.149
44    493.97579 1152.89861 1094.22468 -5642.09045 -2127.30539 -2690.74739       (-400.965,-16.015) (-148.932,-477.961) (-1009.541,-45.129)      147.501
45    493.43615 1151.58059 1093.00597 -5637.11631 -2125.54704 -2688.39289       (-400.028,-14.796) (-149.912,-478.640) (-1012.217,-45.669)      150.854
46    492.89650 1150.26256 1091.78727 -5632.14218 -2123.78869 -2686.03839       (-399.091,-13.577) (-150.892,-479.319) (-1014.893,-46.208)      154.206
47    492.35686 1148.94454 1090.56856 -5627.16804 -2122.03034 -2683.68389       (-398.154,-12.359) (-151.872,-479.998) (-1017.570,-46.748)      157.558
48    491.81721 1147.62652 1089.34986 -5622.19390 -2120.27199 -2681.32939       (-397.216,-11.140) (-152.852,-480.677) (-1020.246,-47.288)      160.91
49    491.27757 1146.30849 1088.13115 -5617.21977 -2118.51364 -2678.97489       (-396.279,-9.921) (-153.832,-481.356) (-1022.922,-47.827)      164.263
50    490.73792 1144.99047 1086.91245 -5612.24563 -2116.75530 -2676.62039       (-395.342,-8.703) (-154.812,-482.035) (-1025.598,-48.367)      167.615
51    490.19828 1143.67245 1085.69375 -5607.27150 -2114.99695 -2674.26589       (-394.405,-7.484) (-155.792,-482.714) (-1028.274,-48.907)      170.967
52    489.65863 1142.35442 1084.47504 -5602.29736 -2113.23860 -2671.91139       (-393.468,-6.265) (-156.772,-483.393) (-1030.950,-49.446)      174.32
53    489.11899 1141.03640 1083.25634 -5597.32323 -2111.48025 -2669.55689       (-392.531,-5.046) (-157.752,-484.072) (-1033.626,-49.986)      177.672
54    488.57935 1139.71838 1082.03763 -5592.34909 -2109.72190 -2667.20239       (-391.593,-3.828) (-158.732,-484.752) (-1036.303,-50.526)      181.024
55    488.03970 1138.40035 1080.81893 -5587.37495 -2107.96355 -2664.84789       (-390.656,-2.609) (-159.712,-485.431) (-1038.979,-51.065)      184.377
56    487.50006 1137.08233 1079.60023 -5582.40082 -2106.20520 -2662.49339       (-389.719,-1.390) (-160.692,-486.110) (-1041.655,-51.605)      187.729
57    486.96041 1135.76431 1078.38152 -5577.42668 -2104.44685 -2660.13889       (-388.782,-0.172) (-161.672,-486.789) (-1044.331,-52.145)      191.081
58    486.42077 1134.44628 1077.16282 -5572.45255 -2102.68851 -2657.78439       (-388.892,-1.047) (-1045.960,-486.421) (-161.605,-51.637)      192.624
59    485.88112 1133.12826 1075.94411 -5567.47841 -2100.93016 -2655.42989       (-389.173,-2.266) (-1047.418,-485.881) (-161.366,-50.958)      193.884
60    485.34148 1131.81024 1074.72541 -5562.50428 -2099.17181 -2653.07539       (-389.455,-3.484) (-1048.875,-485.341) (-161.127,-50.279)      195.159
61    484.80183 1130.49221 1073.50670 -5557.53014 -2097.41346 -2650.72089       (-389.736,-4.703) (-1050.332,-484.802) (-160.889,-49.600)      196.449
62    484.26219 1129.17419 1072.28800 -5552.55600 -2095.65511 -2648.36639       (-390.018,-5.922) (-1051.790,-484.262) (-160.650,-48.921)      197.753
63    483.72254 1127.85617 1071.06930 -5547.58187 -2093.89676 -2646.01189       (-390.300,-7.141) (-1053.247,-483.723) (-160.411,-48.242)      199.071
64    483.18290 1126.53815 1069.85059 -5542.60773 -2092.13841 -2643.65739       (-390.581,-8.359) (-1054.705,-483.183) (-160.172,-47.563)      200.403
65    482.64326 1125.22012 1068.63189 -5537.63360 -2090.38006 -2641.30289       (-390.863,-9.578) (-1056.162,-482.643) (-159.934,-46.884)      201.748
66    482.10361 1123.90210 1067.41318 -5532.65946 -2088.62172 -2638.94839       (-391.144,-10.797) (-1057.620,-482.104) (-159.695,-46.205)      203.106
