Fol_.51_.txt     Output is probe cell, reduced cell, NCDist distance between
0    4758.97234 8248.31639 4943.85496 -22614.50759 -12489.30313 -21487.12919       (-354.295,-640.532) (-883.715,-11.435) (-224.125,-140.853)      0
1    4753.85396 8239.83546 4938.02156 -22592.51162 -12476.94232 -21465.63200       (-373.660,-635.760) (-894.055,-3.648) (-219.486,-163.427)      33.1123
2    4748.73557 8231.35454 4932.18816 -22570.51565 -12464.58151 -21444.13481       (-210.708,-626.851) (-908.534,-4.138) (-388.887,-181.862)      64.0629
3    4743.61719 8222.87362 4926.35475 -22548.51968 -12452.22070 -21422.63762       (-198.282,-614.293) (-926.661,-11.925) (-400.466,-196.649)      94.8225
4    4738.49880 8214.39270 4920.52135 -22526.52371 -12439.85989 -21401.14042       (-185.857,-601.735) (-944.788,-19.711) (-412.045,-211.436)      126.438
5    4733.38042 8205.91178 4914.68795 -22504.52773 -12427.49908 -21379.64323       (-173.431,-589.178) (-962.914,-27.498) (-423.623,-226.224)      158.398
6    4728.26203 8197.43085 4908.85454 -22482.53176 -12415.13827 -21358.14604       (-161.005,-576.620) (-981.041,-35.284) (-435.202,-241.011)      190.53
7    4723.14365 8188.94993 4903.02114 -22460.53579 -12402.77746 -21336.64885       (-148.579,-564.062) (-999.168,-43.071) (-446.781,-255.798)      222.758
8    4718.02526 8180.46901 4897.18774 -22438.53982 -12390.41664 -21315.15166       (-136.153,-551.504) (-1017.295,-50.858) (-458.360,-270.585)      255.046
9    4712.90687 8171.98809 4891.35433 -22416.54385 -12378.05583 -21293.65447       (-123.728,-538.947) (-1035.422,-58.644) (-469.939,-285.372)      287.375
10    4707.78849 8163.50716 4885.52093 -22394.54787 -12365.69502 -21272.15728       (-111.302,-526.389) (-1053.549,-66.431) (-481.517,-300.159)      310.585
11    4702.67010 8155.02624 4879.68753 -22372.55190 -12353.33421 -21250.66008       (-98.876,-513.831) (-1071.676,-74.217) (-493.096,-314.946)      316.014
12    4697.55172 8146.54532 4873.85412 -22350.55593 -12340.97340 -21229.16289       (-86.450,-501.273) (-1089.803,-82.004) (-504.675,-329.733)      324.616
13    4692.43333 8138.06440 4868.02072 -22328.55996 -12328.61259 -21207.66570       (-74.025,-488.715) (-1107.929,-89.790) (-516.254,-344.520)      336.145
14    4687.31495 8129.58348 4862.18732 -22306.56399 -12316.25178 -21186.16851       (-61.599,-476.158) (-1126.056,-97.577) (-527.833,-359.307)      350.314
15    4682.19656 8121.10255 4856.35391 -22284.56801 -12303.89097 -21164.67132       (-49.173,-463.600) (-1144.183,-105.364) (-539.411,-374.094)      366.817
16    4677.07818 8112.62163 4850.52051 -22262.57204 -12291.53016 -21143.17413       (-36.747,-451.042) (-1162.310,-113.150) (-550.990,-388.881)      385.353
17    4671.95979 8104.14071 4844.68710 -22240.57607 -12279.16935 -21121.67694       (-24.321,-438.484) (-1180.437,-120.937) (-562.569,-403.669)      405.645
18    4666.84141 8095.65979 4838.85370 -22218.58010 -12266.80854 -21100.17974       (-11.896,-425.927) (-1198.564,-128.723) (-574.148,-418.456)      422.805
19    4661.72302 8087.17886 4833.02030 -22196.58413 -12254.44773 -21078.68255       (-0.530,-413.899) (-1216.160,-585.196) (-135.980,-432.712)      437.317
20    4656.60464 8078.69794 4827.18689 -22174.58815 -12242.08692 -21057.18536       (-12.956,-413.767) (-1221.861,-584.349) (-131.340,-435.074)      444.998
21    4651.48625 8070.21702 4821.35349 -22152.59218 -12229.72610 -21035.68817       (-25.382,-413.635) (-1227.563,-583.502) (-126.701,-437.435)      453.023
22    4646.36787 8061.73610 4815.52009 -22130.59621 -12217.36529 -21014.19098       (-37.808,-413.503) (-1233.264,-582.655) (-122.062,-439.796)      461.375
23    4641.24948 8053.25518 4809.68668 -22108.60024 -12205.00448 -20992.69379       (-50.233,-413.371) (-1238.965,-581.808) (-117.423,-442.158)      470.034
24    4636.13110 8044.77425 4803.85328 -22086.60427 -12192.64367 -20971.19660       (-62.659,-413.239) (-1244.666,-580.961) (-112.783,-444.519)      478.986
25    4631.01271 8036.29333 4798.01988 -22064.60829 -12180.28286 -20949.69940       (-75.085,-413.107) (-1250.367,-580.114) (-108.144,-446.880)      488.213
26    4625.89432 8027.81241 4792.18647 -22042.61232 -12167.92205 -20928.20221       (-87.511,-412.975) (-1256.068,-579.267) (-103.505,-449.242)      497.701
27    4620.77594 8019.33149 4786.35307 -22020.61635 -12155.56124 -20906.70502       (-99.937,-412.843) (-1261.769,-578.420) (-98.866,-451.603)      507.435
28    4615.65755 8010.85056 4780.51967 -21998.62038 -12143.20043 -20885.20783       (-112.362,-412.711) (-1267.470,-577.573) (-94.227,-453.964)      517.4
29    4610.53917 8002.36964 4774.68626 -21976.62441 -12130.83962 -20863.71064       (-124.788,-412.579) (-1273.171,-576.726) (-89.587,-456.325)      527.585
30    4605.42078 7993.88872 4768.85286 -21954.62844 -12118.47881 -20842.21345       (-137.214,-412.447) (-1278.872,-575.879) (-84.948,-458.687)      534.356
31    4600.30240 7985.40780 4763.01946 -21932.63246 -12106.11800 -20820.71626       (-149.640,-412.315) (-1284.573,-575.032) (-80.309,-461.048)      540.823
32    4595.18401 7976.92688 4757.18605 -21910.63649 -12093.75719 -20799.21906       (-162.066,-412.183) (-1290.274,-574.185) (-75.670,-463.409)      547.606
33    4590.06563 7968.44595 4751.35265 -21888.64052 -12081.39638 -20777.72187       (-174.491,-412.051) (-1295.975,-573.338) (-71.030,-465.771)      554.693
34    4584.94724 7959.96503 4745.51925 -21866.64455 -12069.03556 -20756.22468       (-186.917,-411.919) (-1301.676,-572.491) (-66.391,-468.132)      562.072
35    4579.82886 7951.48411 4739.68584 -21844.64858 -12056.67475 -20734.72749       (-199.343,-411.787) (-1307.378,-571.644) (-61.752,-470.493)      569.734
36    4574.71047 7943.00319 4733.85244 -21822.65260 -12044.31394 -20713.23030       (-211.769,-411.655) (-1313.079,-570.797) (-57.113,-472.854)      577.665
37    4569.59209 7934.52226 4728.01904 -21800.65663 -12031.95313 -20691.73311       (-224.195,-411.523) (-1318.780,-569.950) (-52.473,-475.216)      585.855
38    4564.47370 7926.04134 4722.18563 -21778.66066 -12019.59232 -20670.23591       (-236.620,-411.391) (-1324.481,-569.103) (-47.834,-477.577)      594.294
