Fol_.60_.txt     Output is probe cell, reduced cell, NCDist distance between
0    7806.41273 4302.73770 4945.92545 -12237.34036 -21508.72798 -19176.39684       (-0.723,-114.832) (-1015.369,-85.223) (-339.100,-10.755)      0
1    7798.59778 4297.41427 4940.63514 -12225.20572 -21487.28303 -19157.21201       (-8.595,-117.878) (-1020.670,-87.120) (-338.681,-7.057)      10.8069
2    7790.78283 4292.09084 4935.34482 -12213.07107 -21465.83808 -19138.02719       (-16.467,-120.923) (-1025.970,-89.016) (-338.262,-3.359)      21.6138
3    7782.96788 4286.76740 4930.05450 -12200.93643 -21444.39313 -19118.84236       (-1030.932,-123.629) (-24.000,-90.574) (-338.181,-0.339)      31.8428
4    7775.15293 4281.44397 4924.76419 -12188.80179 -21422.94818 -19099.65753       (-1032.534,-122.976) (-28.174,-88.772) (-341.460,-4.037)      36.7627
5    7767.33798 4276.12054 4919.47387 -12176.66715 -21401.50323 -19080.47271       (-1034.136,-122.324) (-32.347,-86.970) (-344.739,-7.736)      42.2518
6    7759.52303 4270.79711 4914.18356 -12164.53250 -21380.05828 -19061.28788       (-1035.739,-121.671) (-36.521,-85.169) (-348.018,-11.434)      48.1155
7    7751.70808 4265.47368 4908.89324 -12152.39786 -21358.61333 -19042.10306       (-1037.341,-121.018) (-40.695,-83.367) (-351.297,-15.132)      54.2325
8    7743.89313 4260.15025 4903.60292 -12140.26322 -21337.16838 -19022.91823       (-1038.943,-120.365) (-44.869,-81.566) (-354.575,-18.830)      60.526
9    7736.07818 4254.82682 4898.31261 -12128.12857 -21315.72343 -19003.73340       (-1040.546,-119.712) (-49.043,-79.764) (-357.854,-22.528)      66.9464
10    7728.26323 4249.50339 4893.02229 -12115.99393 -21294.27848 -18984.54858       (-1042.148,-119.060) (-53.217,-77.962) (-361.133,-26.227)      73.4602
11    7720.44827 4244.17996 4887.73198 -12103.85929 -21272.83353 -18965.36375       (-1043.750,-118.407) (-57.390,-76.161) (-364.412,-29.925)      80.0448
12    7712.63332 4238.85653 4882.44166 -12091.72465 -21251.38858 -18946.17893       (-1045.353,-117.754) (-61.564,-74.359) (-367.691,-33.623)      86.684
13    7704.81837 4233.53310 4877.15134 -12079.59000 -21229.94363 -18926.99410       (-1046.955,-117.101) (-65.738,-72.558) (-370.969,-37.321)      93.3661
14    7697.00342 4228.20967 4871.86103 -12067.45536 -21208.49868 -18907.80927       (-1048.557,-116.448) (-69.912,-70.756) (-374.248,-41.019)      100.083
15    7689.18847 4222.88624 4866.57071 -12055.32072 -21187.05373 -18888.62445       (-1050.160,-115.796) (-74.086,-68.954) (-377.527,-44.718)      106.827
16    7681.37352 4217.56281 4861.28039 -12043.18607 -21165.60878 -18869.43962       (-1051.762,-115.143) (-78.260,-67.153) (-380.806,-48.416)      113.594
17    7673.55857 4212.23938 4855.99008 -12031.05143 -21144.16383 -18850.25479       (-1053.364,-114.490) (-82.433,-65.351) (-384.085,-52.114)      120.38
18    7665.74362 4206.91595 4850.69976 -12018.91679 -21122.71888 -18831.06997       (-1054.967,-113.837) (-86.607,-63.549) (-387.364,-55.812)      127.183
19    7657.92867 4201.59252 4845.40945 -12006.78215 -21101.27393 -18811.88514       (-1056.569,-113.184) (-90.781,-61.748) (-390.642,-59.510)      133.999
20    7650.11372 4196.26909 4840.11913 -11994.64750 -21079.82898 -18792.70032       (-1058.171,-112.531) (-94.955,-59.946) (-393.921,-63.209)      140.826
21    7642.29877 4190.94566 4834.82881 -11982.51286 -21058.38403 -18773.51549       (-1059.774,-111.879) (-99.129,-58.145) (-397.200,-66.907)      147.663
22    7634.48382 4185.62223 4829.53850 -11970.37822 -21036.93908 -18754.33066       (-1061.376,-111.226) (-103.303,-56.343) (-400.479,-70.605)      154.509
23    7626.66887 4180.29880 4824.24818 -11958.24357 -21015.49413 -18735.14584       (-1062.978,-110.573) (-107.476,-54.541) (-403.758,-74.303)      161.363
24    7618.85392 4174.97537 4818.95787 -11946.10893 -20994.04918 -18715.96101       (-1064.581,-109.920) (-111.650,-52.740) (-407.036,-78.001)      168.223
25    7611.03897 4169.65193 4813.66755 -11933.97429 -20972.60423 -18696.77618       (-1066.183,-109.267) (-115.824,-50.938) (-410.315,-81.700)      174.916
