Fol_.81_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -6901.77803 3408.47783 -73.79002 -8463.50168 -2078.66479 -5234.59186       (-1508.574,-1582.364) (-211.762,-1826.114) (-643.881,-5319.414)      1.01685e-12
1    -6895.08132 3399.74120 -75.30010 -8456.85765 -2077.22857 -5230.86211       (-1493.320,-1568.620) (-239.355,-1831.121) (-659.208,-5326.461)      38.6339
2    -6888.38460 3391.00457 -76.81019 -8450.21362 -2075.79235 -5227.13236       (-1478.067,-1554.877) (-266.948,-1836.128) (-674.536,-5333.508)      77.2679
3    -6881.68789 3382.26794 -78.32027 -8443.56959 -2074.35613 -5223.40261       (-1462.813,-1541.133) (-294.541,-1841.135) (-689.863,-5340.555)      115.902
4    -6874.99118 3373.53132 -79.83036 -8436.92556 -2072.91991 -5219.67287       (-1447.559,-1527.390) (-322.134,-1846.142) (-705.191,-5347.601)      154.536
5    -6868.29447 3364.79469 -81.34044 -8430.28152 -2071.48369 -5215.94312       (-1432.306,-1513.646) (-349.727,-1851.148) (-720.518,-5354.648)      193.17
6    -6861.59775 3356.05806 -82.85052 -8423.63749 -2070.04747 -5212.21337       (-1417.052,-1499.903) (-377.320,-1856.155) (-735.846,-5361.695)      231.804
7    -6854.90104 3347.32143 -84.36061 -8416.99346 -2068.61125 -5208.48362       (-1401.799,-1486.159) (-404.913,-1861.162) (-751.173,-5368.742)      270.438
8    -6848.20433 3338.58480 -85.87069 -8410.34943 -2067.17503 -5204.75388       (-1386.545,-1472.416) (-432.505,-1866.169) (-766.501,-5375.789)      309.072
9    -6841.50762 3329.84817 -87.38078 -8403.70540 -2065.73881 -5201.02413       (-1371.291,-1458.672) (-460.098,-1871.176) (-781.828,-5382.835)      347.705
10    -6834.81090 3321.11154 -88.89086 -8397.06137 -2064.30259 -5197.29438       (-1356.038,-1444.929) (-487.691,-1876.183) (-797.156,-5389.882)      386.339
11    -6828.11419 3312.37492 -90.40094 -8390.41733 -2062.86637 -5193.56463       (-1340.784,-1431.185) (-515.284,-1881.190) (-812.483,-5396.929)      424.973
12    -6821.41748 3303.63829 -91.91103 -8383.77330 -2061.43015 -5189.83488       (-1325.531,-1417.442) (-542.877,-1886.197) (-827.811,-5403.976)      463.607
13    -6814.72077 3294.90166 -93.42111 -8377.12927 -2059.99393 -5186.10514       (-1310.277,-1403.698) (-570.470,-1891.203) (-843.138,-5411.023)      502.241
14    -6808.02405 3286.16503 -94.93119 -8370.48524 -2058.55771 -5182.37539       (-1295.023,-1389.955) (-598.063,-1896.210) (-858.465,-5418.069)      540.875
15    -6801.32734 3277.42840 -96.44128 -8363.84121 -2057.12149 -5178.64564       (-1279.770,-1376.211) (-625.656,-1901.217) (-873.793,-5425.116)      579.509
