Fol_.9_.txt     Output is probe cell, reduced cell, NCDist distance between
0    1731.88870 1380.80126 2531.64381 -5679.28150 -8296.13710 -5049.22201       (-500.361,-28.654) (-917.036,-413.720) (-27.685,-293.779)      0
1    1729.86101 1378.50112 2529.08095 -5673.62424 -8288.24679 -5044.66859       (-509.530,-25.854) (-927.158,-411.679) (-24.138,-299.653)      15.6715
2    1727.83331 1376.20099 2526.51809 -5667.96699 -8280.35648 -5040.11518       (-518.698,-23.053) (-937.280,-409.638) (-20.591,-305.526)      31.3429
3    1725.80561 1373.90085 2523.95523 -5662.30974 -8272.46617 -5035.56177       (-527.866,-20.253) (-947.402,-407.597) (-17.044,-311.399)      47.0144
4    1723.77792 1371.60071 2521.39237 -5656.65248 -8264.57587 -5031.00835       (-537.035,-17.453) (-957.524,-405.556) (-13.497,-317.272)      62.6858
5    1721.75022 1369.30057 2518.82950 -5650.99523 -8256.68556 -5026.45494       (-546.203,-14.652) (-967.646,-403.515) (-9.950,-323.145)      78.3573
6    1719.72253 1367.00043 2516.26664 -5645.33797 -8248.79525 -5021.90152       (-555.372,-11.852) (-977.768,-401.474) (-6.403,-329.018)      94.0287
7    1717.69483 1364.70030 2513.70378 -5639.68072 -8240.90494 -5017.34811       (-564.540,-9.052) (-987.890,-399.433) (-2.856,-334.891)      109.7
8    1715.66713 1362.40016 2511.14092 -5634.02347 -8233.01464 -5012.79470       (-573.018,-997.321) (-5.561,-396.701) (-0.691,-341.455)      125.003
9    1713.63944 1360.10002 2508.57806 -5628.36621 -8225.12433 -5008.24128       (-350.088,-1003.110) (-0.786,-391.899) (-3.451,-577.853)      137.166
10    1711.61174 1357.79988 2506.01520 -5622.70896 -8217.23402 -5003.68787       (-353.161,-1003.337) (-7.134,-392.659) (-0.651,-577.127)      136.351
11    1709.58405 1355.49975 2503.45234 -5617.05170 -8209.34371 -4999.13445       (-354.084,-11.331) (-1001.415,-391.268) (-2.150,-578.551)      135.44
12    1707.55635 1353.19961 2500.88948 -5611.39445 -8201.45341 -4994.58104       (-354.357,-14.878) (-998.843,-389.227) (-4.950,-580.625)      134.648
13    1705.52866 1350.89947 2498.32662 -5605.73720 -8193.56310 -4990.02762       (-354.629,-18.425) (-996.270,-387.186) (-7.750,-582.700)      134.116
14    1703.50096 1348.59933 2495.76376 -5600.07994 -8185.67279 -4985.47421       (-354.902,-21.972) (-993.698,-385.145) (-10.550,-584.775)      133.848
15    1701.47326 1346.29920 2493.20090 -5594.42269 -8177.78248 -4980.92080       (-355.174,-25.519) (-991.125,-383.104) (-13.351,-586.849)      133.846
16    1699.44557 1343.99906 2490.63804 -5588.76543 -8169.89218 -4976.36738       (-355.447,-29.066) (-988.553,-381.063) (-16.151,-588.924)      134.11
17    1697.41787 1341.69892 2488.07518 -5583.10818 -8162.00187 -4971.81397       (-355.719,-32.613) (-985.980,-379.022) (-18.951,-590.998)      134.637
18    1695.39018 1339.39878 2485.51232 -5577.45093 -8154.11156 -4967.26055       (-355.991,-36.160) (-983.407,-376.981) (-21.752,-593.073)      135.426
19    1693.36248 1337.09864 2482.94946 -5571.79367 -8146.22125 -4962.70714       (-356.264,-39.707) (-980.835,-374.940) (-24.552,-595.147)      136.47
20    1691.33478 1334.79851 2480.38659 -5566.13642 -8138.33095 -4958.15373       (-356.536,-43.254) (-978.262,-372.899) (-27.352,-597.222)      137.766
21    1689.30709 1332.49837 2477.82373 -5560.47916 -8130.44064 -4953.60031       (-356.809,-46.801) (-975.690,-370.858) (-30.153,-599.296)      139.305
22    1687.27939 1330.19823 2475.26087 -5554.82191 -8122.55033 -4949.04690       (-357.081,-50.348) (-973.117,-368.817) (-32.953,-601.371)      141.08
23    1685.25170 1327.89809 2472.69801 -5549.16466 -8114.66002 -4944.49348       (-357.354,-53.895) (-970.544,-366.776) (-35.753,-603.446)      143.081
24    1683.22400 1325.59796 2470.13515 -5543.50740 -8106.76972 -4939.94007       (-357.626,-57.442) (-967.972,-364.735) (-38.554,-605.520)      145.3
25    1681.19630 1323.29782 2467.57229 -5537.85015 -8098.87941 -4935.38665       (-357.898,-60.988) (-965.399,-362.694) (-41.354,-607.595)      147.727
26    1679.16861 1320.99768 2465.00943 -5532.19289 -8090.98910 -4930.83324       (-358.171,-64.535) (-962.827,-360.653) (-44.154,-609.669)      150.352
27    1677.14091 1318.69754 2462.44657 -5526.53564 -8083.09879 -4926.27983       (-358.443,-68.082) (-960.254,-358.612) (-46.955,-611.744)      153.164
28    1675.11322 1316.39740 2459.88371 -5520.87839 -8075.20849 -4921.72641       (-358.716,-71.629) (-957.682,-356.571) (-49.755,-613.818)      156.153
29    1673.08552 1314.09727 2457.32085 -5515.22113 -8067.31818 -4917.17300       (-358.988,-75.176) (-955.109,-354.530) (-52.555,-615.893)      159.309
30    1671.05783 1311.79713 2454.75799 -5509.56388 -8059.42787 -4912.61958       (-359.261,-78.723) (-952.536,-352.489) (-55.356,-617.967)      162.624
31    1669.03013 1309.49699 2452.19513 -5503.90662 -8051.53756 -4908.06617       (-359.533,-82.270) (-949.964,-350.447) (-58.156,-620.042)      166.086
32    1667.00243 1307.19685 2449.63227 -5498.24937 -8043.64726 -4903.51275       (-359.806,-85.817) (-947.391,-348.406) (-60.956,-622.117)      169.688
33    1664.97474 1304.89672 2447.06941 -5492.59212 -8035.75695 -4898.95934       (-360.078,-89.364) (-944.819,-346.365) (-63.757,-624.191)      173.42
34    1662.94704 1302.59658 2444.50655 -5486.93486 -8027.86664 -4894.40593       (-360.350,-92.911) (-942.246,-344.324) (-66.557,-626.266)      177.274
35    1660.91935 1300.29644 2441.94369 -5481.27761 -8019.97633 -4889.85251       (-360.623,-96.458) (-939.674,-342.283) (-69.357,-628.340)      181.242
36    1658.89165 1297.99630 2439.38082 -5475.62035 -8012.08603 -4885.29910       (-360.895,-100.005) (-937.101,-340.242) (-72.158,-630.415)      185.318
37    1656.86395 1295.69617 2436.81796 -5469.96310 -8004.19572 -4880.74568       (-361.168,-103.552) (-934.528,-338.201) (-74.958,-632.489)      189.494
38    1654.83626 1293.39603 2434.25510 -5464.30585 -7996.30541 -4876.19227       (-361.440,-107.099) (-931.956,-336.160) (-77.758,-634.564)      193.763
39    1652.80856 1291.09589 2431.69224 -5458.64859 -7988.41510 -4871.63886       (-361.713,-110.645) (-929.383,-334.119) (-80.558,-636.639)      198.12
40    1650.78087 1288.79575 2429.12938 -5452.99134 -7980.52480 -4867.08544       (-361.985,-114.192) (-926.811,-332.078) (-83.359,-638.713)      202.56
41    1648.75317 1286.49561 2426.56652 -5447.33408 -7972.63449 -4862.53203       (-362.258,-117.739) (-924.238,-330.037) (-86.159,-640.788)      207.075
