Fol_.82_.txt     Output is probe cell, reduced cell, NCDist distance between
39    304.73547 1696.50133 1151.62504 -12142.85158 -2359.84642 -8687.44554       (-6503.195,-598.750) (-5237.847,-248.139) (-1143.627,-56.596)      631.029
40    304.41647 1688.37389 1149.81626 -12131.63936 -2357.71864 -8683.41456       (-6513.345,-599.069) (-5248.581,-246.330) (-1137.627,-58.086)      647.148
41    304.09747 1680.24645 1148.00748 -12120.42714 -2355.59086 -8679.38359       (-6523.495,-599.388) (-5259.315,-244.522) (-1131.627,-59.576)      663.268
42    303.77847 1672.11901 1146.19870 -12109.21492 -2353.46308 -8675.35262       (-6533.645,-599.707) (-5270.049,-242.713) (-1125.628,-61.066)      679.387
43    303.45947 1663.99157 1144.38992 -12098.00270 -2351.33530 -8671.32164       (-6543.795,-600.026) (-5280.783,-240.904) (-1119.628,-62.555)      695.506
44    303.14047 1655.86413 1142.58113 -12086.79047 -2349.20752 -8667.29067       (-6553.945,-600.345) (-5291.517,-239.095) (-1113.628,-64.045)      711.625
45    302.82147 1647.73669 1140.77235 -12075.57825 -2347.07974 -8663.25970       (-6564.095,-600.664) (-5302.251,-237.286) (-1107.629,-65.535)      727.745
46    302.50247 1639.60925 1138.96357 -12064.36603 -2344.95195 -8659.22872       (-6574.245,-600.983) (-5312.985,-235.478) (-1101.629,-67.025)      743.864
47    302.18347 1631.48181 1137.15479 -12053.15381 -2342.82417 -8655.19775       (-6584.395,-601.302) (-5323.720,-233.669) (-1095.629,-68.515)      759.983
48    301.86447 1623.35438 1135.34601 -12041.94159 -2340.69639 -8651.16677       (-6594.545,-601.621) (-5334.454,-231.860) (-1089.630,-70.004)      776.102
49    301.54547 1615.22694 1133.53723 -12030.72936 -2338.56861 -8647.13580       (-6604.695,-601.940) (-5345.188,-230.051) (-1083.630,-71.494)      792.222
50    301.22647 1607.09950 1131.72845 -12019.51714 -2336.44083 -8643.10483       (-6614.845,-602.259) (-5355.922,-228.243) (-1077.630,-72.984)      808.341
51    300.90747 1598.97206 1129.91967 -12008.30492 -2334.31305 -8639.07385       (-6624.995,-602.578) (-5366.656,-226.434) (-1071.631,-74.474)      824.46
52    300.58847 1590.84462 1128.11089 -11997.09270 -2332.18527 -8635.04288       (-6635.145,-602.897) (-5377.390,-224.625) (-1065.631,-75.963)      840.579
53    300.26947 1582.71718 1126.30211 -11985.88048 -2330.05749 -8631.01190       (-6645.295,-603.216) (-5388.124,-222.816) (-1059.632,-77.453)      856.699
54    299.95046 1574.58974 1124.49333 -11974.66825 -2327.92971 -8626.98093       (-6655.445,-603.535) (-5398.858,-221.007) (-1053.632,-78.943)      872.818
55    299.63146 1566.46230 1122.68455 -11963.45603 -2325.80192 -8622.94996       (-6665.595,-603.854) (-5409.593,-219.199) (-1047.632,-80.433)      888.937
56    299.31246 1558.33486 1120.87577 -11952.24381 -2323.67414 -8618.91898       (-6675.745,-604.173) (-5420.327,-217.390) (-1041.633,-81.923)      905.056
57    298.99346 1550.20742 1119.06699 -11941.03159 -2321.54636 -8614.88801       (-6685.895,-604.492) (-5431.061,-215.581) (-1035.633,-83.412)      921.176
58    298.67446 1542.07998 1117.25821 -11929.81937 -2319.41858 -8610.85703       (-6696.045,-604.811) (-5441.795,-213.772) (-1029.633,-84.902)      937.295
59    298.35546 1533.95254 1115.44943 -11918.60714 -2317.29080 -8606.82606       (-6706.195,-605.130) (-5452.529,-211.964) (-1023.634,-86.392)      953.414
60    298.03646 1525.82511 1113.64065 -11907.39492 -2315.16302 -8602.79509       (-6716.345,-605.449) (-5463.263,-210.155) (-1017.634,-87.882)      969.534
61    297.71746 1517.69767 1111.83186 -11896.18270 -2313.03524 -8598.76411       (-6726.495,-605.768) (-5473.997,-208.346) (-1011.634,-89.372)      985.653
62    297.39846 1509.57023 1110.02308 -11884.97048 -2310.90746 -8594.73314       (-6736.645,-606.087) (-5484.731,-206.537) (-1005.635,-90.861)      1001.77
63    297.07946 1501.44279 1108.21430 -11873.75826 -2308.77967 -8590.70217       (-6746.795,-606.406) (-5495.466,-204.728) (-999.635,-92.351)      1017.89
64    296.76046 1493.31535 1106.40552 -11862.54603 -2306.65189 -8586.67119       (-6756.945,-606.725) (-5506.200,-202.920) (-993.635,-93.841)      1034.01
65    296.44146 1485.18791 1104.59674 -11851.33381 -2304.52411 -8582.64022       (-6767.095,-607.044) (-5516.934,-201.111) (-987.636,-95.331)      1050.13
66    296.12246 1477.06047 1102.78796 -11840.12159 -2302.39633 -8578.60924       (-6777.245,-607.363) (-5527.668,-199.302) (-981.636,-96.820)      1066.25
67    295.80346 1468.93303 1100.97918 -11828.90937 -2300.26855 -8574.57827       (-6787.395,-607.682) (-5538.402,-197.493) (-975.636,-98.310)      1082.37
68    295.48446 1460.80559 1099.17040 -11817.69715 -2298.14077 -8570.54730       (-6797.545,-608.001) (-5549.136,-195.684) (-969.637,-99.800)      1098.49
69    295.16546 1452.67815 1097.36162 -11806.48492 -2296.01299 -8566.51632       (-6807.695,-608.320) (-5559.870,-193.876) (-963.637,-101.290)      1114.61
70    294.84646 1444.55071 1095.55284 -11795.27270 -2293.88521 -8562.48535       (-6817.845,-608.639) (-5570.604,-192.067) (-957.637,-102.780)      1130.73
