Fol_.71_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -2037.55165 1850.18182 -462.84465 -3444.19828 1795.06218 -5903.85279       (-412.395,-78.451) (-33.808,-7.137) (-101.661,-619.746)      0
1    -2035.92487 1847.70942 -462.38849 -3440.82916 1793.16356 -5897.97687       (-433.299,-79.525) (-26.561,-4.188) (-110.905,-621.438)      24.2419
2    -2034.29809 1845.23702 -461.93233 -3437.46005 1791.26494 -5892.10095       (-454.203,-80.598) (-19.314,-1.238) (-120.150,-623.129)      48.4838
3    -2032.67130 1842.76462 -461.47616 -3434.09093 1789.36632 -5886.22503       (-127.683,-79.961) (-1.711,-13.779) (-623.109,-473.395)      69.9377
4    -2031.04452 1840.29222 -461.02000 -3430.72181 1787.46769 -5880.34911       (-133.978,-78.085) (-4.661,-9.482) (-621.851,-491.350)      89.52
5    -2029.41774 1837.81982 -460.56384 -3427.35270 1785.56907 -5874.47319       (-140.273,-76.209) (-7.611,-5.185) (-620.593,-509.304)      109.201
6    -2027.79095 1835.34742 -460.10767 -3423.98358 1783.67045 -5868.59727       (-146.568,-74.333) (-10.560,-0.887) (-619.335,-527.259)      128.936
7    -2026.16417 1832.87502 -459.65151 -3420.61446 1781.77183 -5862.72135       (-614.667,-69.048) (-16.920,-3.410) (-149.453,-541.803)      147.418
8    -2024.53739 1830.40262 -459.19535 -3417.24535 1779.87321 -5856.84543       (-609.111,-62.875) (-24.167,-7.707) (-151.450,-555.460)      163.291
9    -2022.91060 1827.93022 -458.73918 -3413.87623 1777.97459 -5850.96951       (-603.556,-56.702) (-31.413,-12.004) (-153.448,-569.118)      179.601
10    -2021.28382 1825.45782 -458.28302 -3410.50711 1776.07596 -5845.09359       (-598.000,-50.528) (-38.660,-16.302) (-155.446,-582.775)      195.327
11    -2019.65703 1822.98542 -457.82686 -3407.13800 1774.17734 -5839.21767       (-592.445,-44.355) (-45.907,-20.599) (-157.443,-596.432)      193.813
12    -2018.03025 1820.51302 -457.37069 -3403.76888 1772.27872 -5833.34175       (-586.890,-38.182) (-53.154,-24.896) (-159.441,-610.089)      190.24
