Fol_.20_.txt     Output is probe cell, reduced cell, NCDist distance between
0    7400.27124 5760.15934 5779.09338 -16068.78291 -20821.18965 -20643.13277       (-1106.203,-101.365) (-0.956,-246.802) (-221.664,-143.747)      0
1    7391.75625 5754.39246 5773.08662 -16052.79951 -20800.59467 -20622.61286       (-146.328,-103.205) (-243.270,-0.197) (-1112.263,-225.301)      8.59157
2    7383.24126 5748.62558 5767.07985 -16036.81611 -20779.99969 -20602.09295       (-147.953,-104.090) (-240.693,-1.349) (-1117.368,-227.983)      15.2429
3    7374.72627 5742.85870 5761.07309 -16020.83270 -20759.40470 -20581.57305       (-149.579,-104.974) (-238.117,-2.502) (-1122.473,-230.665)      21.9125
4    7366.21129 5737.09181 5755.06632 -16004.84930 -20738.80972 -20561.05314       (-151.204,-105.859) (-235.540,-3.655) (-1127.578,-233.346)      28.5876
5    7357.69630 5731.32493 5749.05956 -15988.86590 -20718.21474 -20540.53324       (-152.829,-106.743) (-232.964,-4.807) (-1132.682,-236.028)      35.2652
6    7349.18131 5725.55805 5743.05279 -15972.88250 -20697.61975 -20520.01333       (-154.455,-107.627) (-230.387,-5.960) (-1137.787,-238.710)      41.9439
7    7340.66632 5719.79117 5737.04603 -15956.89910 -20677.02477 -20499.49343       (-156.080,-108.512) (-227.811,-7.113) (-1142.892,-241.391)      48.6234
8    7332.15133 5714.02429 5731.03927 -15940.91570 -20656.42979 -20478.97352       (-157.706,-109.396) (-225.234,-8.265) (-1147.997,-244.073)      55.3033
9    7323.63634 5708.25740 5725.03250 -15924.93230 -20635.83481 -20458.45361       (-159.331,-110.281) (-222.658,-9.418) (-1153.102,-246.755)      61.9836
10    7315.12135 5702.49052 5719.02574 -15908.94889 -20615.23982 -20437.93371       (-160.956,-111.165) (-220.081,-10.570) (-1158.207,-249.436)      68.6641
11    7306.60636 5696.72364 5713.01897 -15892.96549 -20594.64484 -20417.41380       (-162.582,-112.050) (-217.505,-11.723) (-1163.312,-252.118)      75.3448
12    7298.09138 5690.95676 5707.01221 -15876.98209 -20574.04986 -20396.89390       (-164.207,-112.934) (-214.929,-12.876) (-1168.416,-254.799)      82.0255
13    7289.57639 5685.18988 5701.00545 -15860.99869 -20553.45487 -20376.37399       (-165.832,-113.819) (-212.352,-14.028) (-1173.521,-257.481)      88.7064
