Fol_.94_.txt     Output is probe cell, reduced cell, NCDist distance between
0    2559.39492 4292.97950 4676.18835 -17347.54596 -10037.46105 -11856.47682       (-46.431,-2491.139) (-55.325,-94.295) (-1687.153,-779.379)      0
1    2556.05281 4288.58783 4671.46101 -17331.86990 -10027.46892 -11847.10211       (-42.652,-2489.060) (-62.280,-96.319) (-1689.883,-780.866)      8.98504
2    2552.71069 4284.19617 4666.73366 -17316.19383 -10017.47679 -11837.72740       (-38.872,-2486.982) (-69.234,-98.344) (-1692.613,-782.353)      17.9701
3    2549.36857 4279.80450 4662.00631 -17300.51776 -10007.48466 -11828.35268       (-35.092,-2484.903) (-76.188,-100.368) (-1695.343,-783.840)      26.9551
4    2546.02646 4275.41284 4657.27897 -17284.84169 -9997.49254 -11818.97797       (-31.313,-2482.825) (-83.142,-102.393) (-1698.074,-785.327)      35.9402
5    2542.68434 4271.02117 4652.55162 -17269.16562 -9987.50041 -11809.60326       (-27.533,-2480.747) (-90.097,-104.417) (-1700.804,-786.814)      44.9252
6    2539.34223 4266.62950 4647.82427 -17253.48955 -9977.50828 -11800.22854       (-23.753,-2478.668) (-97.051,-106.442) (-1703.534,-788.301)      53.9102
7    2536.00011 4262.23784 4643.09692 -17237.81348 -9967.51615 -11790.85383       (-19.974,-2476.590) (-104.005,-108.466) (-1706.264,-789.789)      62.8953
8    2532.65799 4257.84617 4638.36958 -17222.13741 -9957.52403 -11781.47912       (-16.194,-2474.511) (-110.959,-110.491) (-1708.994,-791.276)      71.8803
9    2529.31588 4253.45451 4633.64223 -17206.46134 -9947.53190 -11772.10441       (-12.415,-2472.433) (-117.914,-112.515) (-1711.724,-792.763)      80.8653
10    2525.97376 4249.06284 4628.91488 -17190.78528 -9937.53977 -11762.72969       (-8.635,-2470.354) (-124.868,-114.540) (-1714.454,-794.250)      89.8504
11    2522.63165 4244.67118 4624.18754 -17175.10921 -9927.54764 -11753.35498       (-4.855,-2468.276) (-131.822,-116.564) (-1717.184,-795.737)      98.8354
12    2519.28953 4240.27951 4619.46019 -17159.43314 -9917.55551 -11743.98027       (-1.076,-2466.197) (-138.776,-118.589) (-1719.914,-797.224)      107.82
13    2515.94742 4235.88784 4614.73284 -17143.75707 -9907.56339 -11734.60556       (-2.704,-2466.823) (-143.026,-1719.940) (-117.909,-796.007)      112.277
14    2512.60530 4231.49618 4610.00549 -17128.08100 -9897.57126 -11725.23084       (-6.484,-2468.524) (-146.201,-1718.891) (-116.154,-793.714)      115.154
15    2509.26318 4227.10451 4605.27815 -17112.40493 -9887.57913 -11715.85613       (-10.263,-2470.225) (-149.376,-1717.841) (-114.399,-791.422)      118.271
16    2505.92107 4222.71285 4600.55080 -17096.72886 -9877.58700 -11706.48142       (-14.043,-2471.926) (-152.550,-1716.792) (-112.644,-789.129)      121.611
17    2502.57895 4218.32118 4595.82345 -17081.05279 -9867.59488 -11697.10671       (-17.823,-2473.628) (-155.725,-1715.742) (-110.889,-786.837)      125.154
18    2499.23684 4213.92951 4591.09611 -17065.37672 -9857.60275 -11687.73199       (-21.602,-2475.329) (-158.899,-1714.693) (-109.134,-784.544)      128.885
19    2495.89472 4209.53785 4586.36876 -17049.70066 -9847.61062 -11678.35728       (-25.382,-2477.030) (-162.074,-1713.643) (-107.378,-782.252)      132.788
20    2492.55260 4205.14618 4581.64141 -17034.02459 -9837.61849 -11668.98257       (-29.162,-2478.731) (-165.249,-1712.594) (-105.623,-779.959)      136.848
21    2489.21049 4200.75452 4576.91407 -17018.34852 -9827.62636 -11659.60785       (-32.941,-2480.432) (-168.423,-1711.544) (-103.868,-777.666)      141.051
22    2485.86837 4196.36285 4572.18672 -17002.67245 -9817.63424 -11650.23314       (-36.721,-2482.134) (-171.598,-1710.494) (-102.113,-775.374)      145.384
23    2482.52626 4191.97119 4567.45937 -16986.99638 -9807.64211 -11640.85843       (-40.501,-2483.835) (-174.772,-1709.445) (-100.358,-773.081)      149.838
24    2479.18414 4187.57952 4562.73202 -16971.32031 -9797.64998 -11631.48372       (-44.280,-2485.536) (-177.947,-1708.395) (-98.603,-770.789)      154.401
25    2475.84202 4183.18785 4558.00468 -16955.64424 -9787.65785 -11622.10900       (-48.060,-2487.237) (-181.121,-1707.346) (-96.848,-768.496)      159.063
26    2472.49991 4178.79619 4553.27733 -16939.96817 -9777.66573 -11612.73429       (-51.840,-2488.938) (-184.296,-1706.296) (-95.093,-766.204)      163.817
27    2469.15779 4174.40452 4548.54998 -16924.29210 -9767.67360 -11603.35958       (-55.619,-2490.639) (-187.471,-1705.247) (-93.337,-763.911)      168.655
28    2465.81568 4170.01286 4543.82264 -16908.61604 -9757.68147 -11593.98487       (-59.399,-2492.341) (-190.645,-1704.197) (-91.582,-761.618)      173.569
29    2462.47356 4165.62119 4539.09529 -16892.93997 -9747.68934 -11584.61015       (-63.179,-2494.042) (-193.820,-1703.148) (-89.827,-759.326)      178.554
30    2459.13144 4161.22953 4534.36794 -16877.26390 -9737.69721 -11575.23544       (-66.958,-2495.743) (-196.994,-1702.098) (-88.072,-757.033)      183.603
31    2455.78933 4156.83786 4529.64059 -16861.58783 -9727.70509 -11565.86073       (-70.738,-2497.444) (-200.169,-1701.049) (-86.317,-754.741)      188.711
32    2452.44721 4152.44619 4524.91325 -16845.91176 -9717.71296 -11556.48602       (-74.518,-2499.145) (-203.344,-1699.999) (-84.562,-752.448)      193.874
33    2449.10510 4148.05453 4520.18590 -16830.23569 -9707.72083 -11547.11130       (-78.297,-2500.847) (-206.518,-1698.949) (-82.807,-750.156)      199.087
34    2445.76298 4143.66286 4515.45855 -16814.55962 -9697.72870 -11537.73659       (-82.077,-2502.548) (-209.693,-1697.900) (-81.051,-747.863)      204.348
35    2442.42086 4139.27120 4510.73121 -16798.88355 -9687.73658 -11528.36188       (-85.857,-2504.249) (-212.867,-1696.850) (-79.296,-745.571)      209.651
36    2439.07875 4134.87953 4506.00386 -16783.20748 -9677.74445 -11518.98717       (-89.636,-2505.950) (-216.042,-1695.801) (-77.541,-743.278)      214.994
37    2435.73663 4130.48787 4501.27651 -16767.53142 -9667.75232 -11509.61245       (-93.416,-2507.651) (-219.216,-1694.751) (-75.786,-740.985)      220.374
38    2432.39452 4126.09620 4496.54916 -16751.85535 -9657.76019 -11500.23774       (-97.196,-2509.353) (-222.391,-1693.702) (-74.031,-738.693)      225.788
39    2429.05240 4121.70453 4491.82182 -16736.17928 -9647.76806 -11490.86303       (-100.975,-2511.054) (-225.566,-1692.652) (-72.276,-736.400)      231.234
40    2425.71028 4117.31287 4487.09447 -16720.50321 -9637.77594 -11481.48831       (-104.755,-2512.755) (-228.740,-1691.603) (-70.521,-734.108)      236.71
41    2422.36817 4112.92120 4482.36712 -16704.82714 -9627.78381 -11472.11360       (-108.534,-2514.456) (-231.915,-1690.553) (-68.766,-731.815)      242.214
