Fol_.53_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -1045.49525 -2647.93182 2260.10916 -2966.46803 -5113.33656 1172.44961       (-55.805,-1658.241) (-71.149,-735.782) (-566.299,-452.450)      0
1    -1044.51993 -2645.33710 2257.27992 -2964.23511 -5109.87801 1170.82308       (-51.456,-1652.273) (-74.847,-740.458) (-576.773,-454.349)      14.2613
2    -1043.54461 -2642.74238 2254.45068 -2962.00219 -5106.41945 1169.19656       (-47.107,-1646.305) (-78.545,-745.134) (-587.247,-456.248)      28.5226
3    -1042.56929 -2640.14766 2251.62145 -2959.76928 -5102.96090 1167.57003       (-42.758,-1640.336) (-82.243,-749.810) (-597.721,-458.146)      42.7838
4    -1041.59397 -2637.55293 2248.79221 -2957.53636 -5099.50234 1165.94350       (-38.409,-1634.368) (-85.941,-754.486) (-608.195,-460.045)      57.0451
5    -1040.61865 -2634.95821 2245.96297 -2955.30344 -5096.04379 1164.31698       (-34.060,-1628.400) (-89.638,-759.162) (-618.669,-461.944)      71.3064
6    -1039.64333 -2632.36349 2243.13373 -2953.07052 -5092.58524 1162.69045       (-29.711,-1622.431) (-93.336,-763.838) (-629.143,-463.843)      85.5677
7    -1038.66800 -2629.76877 2240.30450 -2950.83760 -5089.12668 1161.06393       (-25.362,-1616.463) (-97.034,-768.514) (-639.617,-465.741)      99.829
8    -1037.69268 -2627.17405 2237.47526 -2948.60468 -5085.66813 1159.43740       (-21.013,-1610.495) (-100.732,-773.190) (-650.091,-467.640)      114.09
9    -1036.71736 -2624.57933 2234.64602 -2946.37176 -5082.20958 1157.81087       (-16.664,-1604.526) (-104.429,-777.866) (-660.565,-469.539)      128.352
10    -1035.74204 -2621.98460 2231.81679 -2944.13884 -5078.75102 1156.18435       (-12.315,-1598.558) (-108.127,-782.542) (-671.039,-471.437)      142.613
11    -1034.76672 -2619.38988 2228.98755 -2941.90592 -5075.29247 1154.55782       (-7.966,-1592.589) (-111.825,-787.218) (-681.513,-473.336)      156.874
12    -1033.79140 -2616.79516 2226.15831 -2939.67300 -5071.83392 1152.93129       (-3.617,-1586.621) (-115.523,-791.894) (-691.987,-475.235)      171.135
13    -1032.81608 -2614.20044 2223.32908 -2937.44008 -5068.37536 1151.30477       (-0.732,-1581.384) (-118.489,-701.729) (-795.839,-476.402)      184.028
14    -1031.84076 -2611.60572 2220.49984 -2935.20716 -5064.91681 1149.67824       (-5.081,-1579.765) (-117.837,-707.854) (-796.166,-473.952)      190.242
15    -1030.86544 -2609.01100 2217.67060 -2932.97424 -5061.45825 1148.05172       (-9.430,-1578.146) (-117.186,-713.979) (-796.493,-471.502)      196.593
16    -1029.89011 -2606.41627 2214.84136 -2930.74132 -5057.99970 1146.42519       (-13.779,-1576.526) (-116.535,-720.105) (-796.820,-469.051)      203.068
17    -1028.91479 -2603.82155 2212.01213 -2928.50841 -5054.54115 1144.79866       (-18.127,-1574.907) (-115.884,-726.230) (-797.147,-466.601)      209.656
18    -1027.93947 -2601.22683 2209.18289 -2926.27549 -5051.08259 1143.17214       (-22.476,-1573.287) (-115.233,-732.355) (-797.474,-464.151)      216.347
19    -1026.96415 -2598.63211 2206.35365 -2924.04257 -5047.62404 1141.54561       (-26.825,-1571.668) (-114.581,-738.480) (-797.801,-461.701)      223.131
20    -1025.98883 -2596.03739 2203.52442 -2921.80965 -5044.16549 1139.91908       (-31.174,-1570.049) (-113.930,-744.605) (-798.128,-459.250)      230
21    -1025.01351 -2593.44267 2200.69518 -2919.57673 -5040.70693 1138.29256       (-35.523,-1568.429) (-113.279,-750.730) (-798.455,-456.800)      236.947
22    -1024.03819 -2590.84794 2197.86594 -2917.34381 -5037.24838 1136.66603       (-39.872,-1566.810) (-112.628,-756.855) (-798.783,-454.350)      243.965
23    -1023.06287 -2588.25322 2195.03671 -2915.11089 -5033.78982 1135.03951       (-44.221,-1565.190) (-111.977,-762.980) (-799.110,-451.900)      251.048
24    -1022.08755 -2585.65850 2192.20747 -2912.87797 -5030.33127 1133.41298       (-48.570,-1563.571) (-111.325,-769.105) (-799.437,-449.449)      257.103
25    -1021.11222 -2583.06378 2189.37823 -2910.64505 -5026.87272 1131.78645       (-52.919,-1561.952) (-110.674,-775.230) (-799.764,-446.999)      258.716
26    -1020.13690 -2580.46906 2186.54900 -2908.41213 -5023.41416 1130.15993       (-57.268,-1560.332) (-110.023,-781.355) (-800.091,-444.549)      260.572
27    -1019.16158 -2577.87434 2183.71976 -2906.17921 -5019.95561 1128.53340       (-61.617,-1558.713) (-109.372,-787.480) (-800.418,-442.099)      262.664
28    -1018.18626 -2575.27961 2180.89052 -2903.94629 -5016.49706 1126.90687       (-65.966,-1557.093) (-108.721,-793.605) (-800.745,-439.648)      264.987
29    -1017.21094 -2572.68489 2178.06128 -2901.71337 -5013.03850 1125.28035       (-70.315,-1555.474) (-108.069,-799.730) (-801.072,-437.198)      267.536
30    -1016.23562 -2570.09017 2175.23205 -2899.48045 -5009.57995 1123.65382       (-74.664,-1553.855) (-107.418,-805.855) (-801.399,-434.748)      270.303
31    -1015.26030 -2567.49545 2172.40281 -2897.24754 -5006.12140 1122.02729       (-79.013,-1552.235) (-106.767,-811.980) (-801.726,-432.298)      273.282
32    -1014.28498 -2564.90073 2169.57357 -2895.01462 -5002.66284 1120.40077       (-83.362,-1550.616) (-106.116,-818.106) (-802.053,-429.848)      276.467
33    -1013.30966 -2562.30601 2166.74434 -2892.78170 -4999.20429 1118.77424       (-87.711,-1548.996) (-105.465,-824.231) (-802.380,-427.397)      279.849
34    -1012.33433 -2559.71128 2163.91510 -2890.54878 -4995.74573 1117.14772       (-92.060,-1547.377) (-104.813,-830.356) (-802.708,-424.947)      283.423
35    -1011.35901 -2557.11656 2161.08586 -2888.31586 -4992.28718 1115.52119       (-96.409,-1545.758) (-104.162,-836.481) (-803.035,-422.497)      287.18
36    -1010.38369 -2554.52184 2158.25663 -2886.08294 -4988.82863 1113.89466       (-100.758,-1544.138) (-103.511,-842.606) (-803.362,-420.047)      291.115
37    -1009.40837 -2551.92712 2155.42739 -2883.85002 -4985.37007 1112.26814       (-105.107,-1542.519) (-102.860,-848.731) (-803.689,-417.596)      295.219
38    -1008.43305 -2549.33240 2152.59815 -2881.61710 -4981.91152 1110.64161       (-109.456,-1540.899) (-102.209,-854.856) (-804.016,-415.146)      299.486
39    -1007.45773 -2546.73768 2149.76891 -2879.38418 -4978.45297 1109.01508       (-113.805,-1539.280) (-101.557,-860.981) (-804.343,-412.696)      303.909
40    -1006.48241 -2544.14295 2146.93968 -2877.15126 -4974.99441 1107.38856       (-118.154,-1537.661) (-100.906,-867.106) (-804.670,-410.246)      308.482
41    -1005.50709 -2541.54823 2144.11044 -2874.91834 -4971.53586 1105.76203       (-122.503,-1536.041) (-100.255,-873.231) (-804.997,-407.795)      313.197
42    -1004.53177 -2538.95351 2141.28120 -2872.68542 -4968.07730 1104.13551       (-126.852,-1534.422) (-99.604,-879.356) (-805.324,-405.345)      318.048
43    -1003.55645 -2536.35879 2138.45197 -2870.45250 -4964.61875 1102.50898       (-131.200,-1532.802) (-98.953,-885.481) (-805.651,-402.895)      323.029
44    -1002.58112 -2533.76407 2135.62273 -2868.21958 -4961.16020 1100.88245       (-135.549,-1531.183) (-98.301,-891.606) (-805.978,-400.445)      328.135
45    -1001.60580 -2531.16935 2132.79349 -2865.98667 -4957.70164 1099.25593       (-139.898,-1529.564) (-97.650,-897.731) (-806.306,-397.995)      333.359
46    -1000.63048 -2528.57462 2129.96426 -2863.75375 -4954.24309 1097.62940       (-144.247,-1527.944) (-96.999,-903.856) (-806.633,-395.544)      338.697
47    -999.65516 -2525.97990 2127.13502 -2861.52083 -4950.78454 1096.00287       (-148.596,-1526.325) (-96.348,-909.982) (-806.960,-393.094)      344.142
48    -998.67984 -2523.38518 2124.30578 -2859.28791 -4947.32598 1094.37635       (-152.945,-1524.705) (-95.697,-916.107) (-807.287,-390.644)      349.69
49    -997.70452 -2520.79046 2121.47654 -2857.05499 -4943.86743 1092.74982       (-157.294,-1523.086) (-95.045,-922.232) (-807.614,-388.194)      355.336
50    -996.72920 -2518.19574 2118.64731 -2854.82207 -4940.40888 1091.12330       (-161.643,-1521.467) (-94.394,-928.357) (-807.941,-385.743)      361.075
51    -995.75388 -2515.60102 2115.81807 -2852.58915 -4936.95032 1089.49677       (-165.992,-1519.847) (-93.743,-934.482) (-808.268,-383.293)      366.904
52    -994.77856 -2513.00629 2112.98883 -2850.35623 -4933.49177 1087.87024       (-170.341,-1518.228) (-93.092,-940.607) (-808.595,-380.843)      372.817
53    -993.80323 -2510.41157 2110.15960 -2848.12331 -4930.03321 1086.24372       (-174.690,-1516.608) (-92.440,-946.732) (-808.922,-378.393)      378.811
54    -992.82791 -2507.81685 2107.33036 -2845.89039 -4926.57466 1084.61719       (-179.039,-1514.989) (-91.789,-952.857) (-809.249,-375.942)      384.882
55    -991.85259 -2505.22213 2104.50112 -2843.65747 -4923.11611 1082.99066       (-183.388,-1513.370) (-91.138,-958.982) (-809.576,-373.492)      391.027
56    -990.87727 -2502.62741 2101.67189 -2841.42455 -4919.65755 1081.36414       (-187.737,-1511.750) (-90.487,-965.107) (-809.904,-371.042)      397.241
57    -989.90195 -2500.03269 2098.84265 -2839.19163 -4916.19900 1079.73761       (-192.086,-1510.131) (-89.836,-971.232) (-810.231,-368.592)      403.523
58    -988.92663 -2497.43796 2096.01341 -2836.95871 -4912.74045 1078.11108       (-196.435,-1508.511) (-89.184,-977.357) (-810.558,-366.141)      409.868
59    -987.95131 -2494.84324 2093.18418 -2834.72580 -4909.28189 1076.48456       (-200.784,-1506.892) (-88.533,-983.482) (-810.885,-363.691)      416.274
60    -986.97599 -2492.24852 2090.35494 -2832.49288 -4905.82334 1074.85803       (-205.133,-1505.273) (-87.882,-989.607) (-811.212,-361.241)      422.738
61    -986.00067 -2489.65380 2087.52570 -2830.25996 -4902.36479 1073.23151       (-209.482,-1503.653) (-87.231,-995.732) (-811.539,-358.791)      429.258
62    -985.02534 -2487.05908 2084.69646 -2828.02704 -4898.90623 1071.60498       (-213.831,-1502.034) (-86.580,-1001.858) (-811.866,-356.341)      435.83
63    -984.05002 -2484.46436 2081.86723 -2825.79412 -4895.44768 1069.97845       (-218.180,-1500.414) (-85.928,-1007.983) (-812.193,-353.890)      442.453
64    -983.07470 -2481.86963 2079.03799 -2823.56120 -4891.98912 1068.35193       (-222.529,-1498.795) (-85.277,-1014.108) (-812.520,-351.440)      449.125
65    -982.09938 -2479.27491 2076.20875 -2821.32828 -4888.53057 1066.72540       (-226.878,-1497.176) (-84.626,-1020.233) (-812.847,-348.990)      455.843
66    -981.12406 -2476.68019 2073.37952 -2819.09536 -4885.07202 1065.09887       (-231.227,-1495.556) (-83.975,-1026.358) (-813.174,-346.540)      462.605
