Fol_.48_.txt     Output is probe cell, reduced cell, NCDist distance between
0    704.45905 457.12646 1938.65498 -3367.62506 -8201.92383 -2343.39707       (-1481.771,-514.717) (-5.032,-519.923) (-452.094,-204.762)      0
1    703.23865 456.46391 1936.70934 -3365.73732 -8194.16624 -2341.57177       (-1487.948,-516.100) (-8.419,-524.135) (-448.045,-201.270)      9.8925
2    702.01825 455.80136 1934.76371 -3363.84958 -8186.40866 -2339.74648       (-1494.125,-517.483) (-11.805,-528.346) (-443.996,-197.779)      19.785
3    700.79786 455.13881 1932.81808 -3361.96184 -8178.65107 -2337.92118       (-1500.303,-518.866) (-15.192,-532.558) (-439.947,-194.288)      29.6775
4    699.57746 454.47626 1930.87245 -3360.07410 -8170.89348 -2336.09588       (-1506.480,-520.249) (-18.578,-536.769) (-435.898,-190.797)      39.57
5    698.35706 453.81371 1928.92681 -3358.18635 -8163.13589 -2334.27058       (-1512.658,-521.632) (-21.965,-540.981) (-431.849,-187.306)      49.4625
6    697.13667 453.15116 1926.98118 -3356.29861 -8155.37831 -2332.44528       (-1518.835,-523.015) (-25.351,-545.192) (-427.800,-183.814)      59.355
7    695.91627 452.48861 1925.03555 -3354.41087 -8147.62072 -2330.61998       (-1525.013,-524.398) (-28.738,-549.403) (-423.751,-180.323)      69.2475
8    694.69587 451.82606 1923.08991 -3352.52313 -8139.86313 -2328.79468       (-1531.190,-525.781) (-32.124,-553.615) (-419.702,-176.832)      79.14
9    693.47548 451.16351 1921.14428 -3350.63538 -8132.10555 -2326.96938       (-1537.368,-527.164) (-35.511,-557.826) (-415.653,-173.341)      89.0325
10    692.25508 450.50096 1919.19865 -3348.74764 -8124.34796 -2325.14408       (-1543.545,-528.547) (-38.897,-562.038) (-411.604,-169.849)      98.925
11    691.03468 449.83841 1917.25301 -3346.85990 -8116.59037 -2323.31879       (-1549.722,-529.930) (-42.284,-566.249) (-407.554,-166.358)      108.818
